edge_name,op,inf,grnboost,genie3,grisli,grnvbem,leap,pidc,ppcor,scode,scribe,sincerities,ss_cor,ss_ranked,edge_exist
G58_G1,0.0170668604775641,0.0,0.2767499529870304,0.0124854832003278,9758.0,0.424852,0.176542212387663,1.9034691755827773,0.0,0.0174028400603129,0.0,0.0,0.0003249028224099147,-0.00414041404140414,0
G58_G2,0.0171532627985003,0.1953363087630994,1.048266029099553,0.0243865991206088,9418.0,0.424388,0.233600308818967,1.2862574590894216,0.0,0.019349230494751,0.0,0.0,7.809450146205325e-05,-0.32270648989454653,0
G58_G3,0.0065562011641615,0.0,0.2640190874095388,0.0068740468129083,9077.0,0.520902,0.225379719206347,0.4183206044150798,0.0,1.96091345665271,0.0047619047619047,0.157679688110986,0.0019577319892171807,0.05143714371437143,0
G58_G4,0.0018347340377414,0.0,0.2911782964526336,0.0015086366623469,7189.0,0.43819,0.109270157730814,0.4696170416241277,0.0,0.753501762153064,0.0,0.0,0.6586414170760486,-0.6806000600060005,0
G58_G5,0.0048882967339288,0.0,0.7847753159662104,0.001879120331886,4830.0,0.451555,0.219848924664782,0.2168690776294648,0.0,0.938952157185129,0.0,0.0,0.04163796505521409,0.1507895313224048,0
G58_G6,0.0037584015802311,0.0,1.468896086272358,0.0121508423872323,8193.0,0.474971,0.195552969675003,0.1816401529958461,0.0,1.5562172384427,0.0091666666666666,0.0161484546382053,0.23671955768109423,0.49439827199786784,0
G58_G7,0.0063882271875257,0.0,0.1140606365334706,0.0037775594265845,3855.0,0.665775,0.268070469075045,0.5969367564920841,0.0,0.162189538283164,0.0195238095238096,0.226033481661547,0.02564094369361341,-0.17669366936693667,0
G58_G8,0.003778928078458,0.0,0.0173578847685393,0.0044275136806802,7025.0,0.442262,0.260926195860994,0.3438761441323936,0.0,1.5551403697975,0.0,0.236587805636473,0.6592380664099879,0.7060357910204786,0
G58_G9,0.0045648325847118,0.0,0.8672649017594607,0.0152656206135723,1406.0,0.426221,0.17342313056206,0.3070669733737897,0.0,0.164893388577989,0.0,0.0,0.7563550968479272,-0.6824722472247224,0
G58_G10,0.0190378725921547,0.0,0.4666669272628838,0.0114278027272982,4609.0,0.712599,0.136551273656092,0.1394369641713316,0.0,0.133826881852469,0.0242857142857143,0.0,4.097090437126519e-05,0.10957095709570956,0
G58_G11,0.0086679998377618,0.1934684728967185,0.5265856013098172,0.0106598920915793,7350.0,0.580397,0.194669078698333,0.158271510177421,0.0,0.537488078882629,0.0166666666666667,0.0,0.4678816031458923,0.47778721208499497,0
G58_G12,0.002899566060427,0.0,0.5057928401648194,0.0011820596375717,2281.0,0.537874,0.192993204942051,1.6451990461001669,0.0,0.601193210784904,0.0,0.0046228882190381,0.08020893409124875,-0.03557166388153988,0
G58_G13,0.0084410735171127,0.0,0.129959935733266,0.0071729454932033,7801.0,0.997066,0.275929605861747,0.6385522914390391,0.0,2.47582940188119,0.0147619047619048,0.119601886106332,0.006707751749237532,-0.06570254135994678,0
G58_G14,0.0030621781444149,0.0,0.3002787075256661,0.003905930601063,6157.0,0.444575,0.171825429610655,0.4208907045163794,0.0,2.20272483236869,0.0977654883570408,0.0,0.006018066397440191,-0.15183918391839182,0
G58_G15,0.0091832503911561,0.0,0.1387022399077143,0.0102313650526866,3887.0,0.568194,0.196668165763252,1.5318102407418412,0.0,0.13560003462681,0.07,0.0,0.03743906658637212,-0.16026695380591355,0
G58_G16,0.0147041244450755,0.0,0.3656993629416551,0.0102779908861027,9090.0,0.75421,0.188007134640633,1.8473090961468424,0.0,1.64560332741741,0.0,0.0,0.008459153391048019,-0.14161416141614158,0
G58_G17,0.0038044465561571,0.0,0.1402388037975747,0.0034995289391919,9114.0,0.439823,0.185278563832357,1.497704521020495,0.0,2.90396718181258,0.0,0.100850635456261,0.14532540853637335,0.22595859585958591,0
G58_G18,0.0105474608591792,0.0,0.0149496656845233,0.0102274232035235,5779.0,0.491625,0.137618247016368,1.4034123346161538,0.0,0.710469894767036,0.0291666666666667,0.0072164238707758,0.01392484129456074,-0.04451245124512451,0
G58_G19,0.0133186666171009,0.0,0.6265078046948215,0.010512238798197,3989.0,0.63361,0.1457714112285,1.6313914745161415,0.0,1.66531721044954,0.0090262911691483,0.0,0.0018787012851603827,-0.02513058845072352,0
G58_G20,0.0041564352169092,0.0,0.6200098551881964,0.0017246599140294,9342.0,0.434462,0.196333756447429,0.2241119948029677,0.0,2.75027289053704,0.0,0.0,0.029409734154187146,-0.1453591710452776,0
G58_G21,0.0075617997584308,0.0,0.1425890218144177,0.0035214174419657,4460.0,0.444435,0.205518119600717,0.0247031769310866,0.0,1.29183143931863,0.0276190476190476,9.40492201173492e-36,0.0007575021924039028,0.04009600960096008,0
G58_G22,0.0045638781471619,0.0,0.0137556225850775,0.0026437227784322,9402.0,0.440891,0.117704112686159,0.2572582132565916,0.0,1.11443934064647,0.01,0.0,0.0027805373367490263,0.08348659912008509,0
G58_G23,0.0061881765017328,0.0,0.2432720186461747,0.0041091772315887,5276.0,0.546963,0.214172135864532,0.796681581231703,0.0,2.00976584779089,0.0147619047619048,0.0021812667727257,0.049110381503775856,0.05406102795796516,0
