Gene1	Gene2	Score
G8	G4	0.865670957444257
G4	G8	0.865670957444257
G48	G44	-0.8252762532288
G44	G48	-0.8252762532288
G46	G44	-0.815803805484792
G44	G46	-0.815803805484792
G44	G24	-0.810625277761996
G24	G44	-0.810625277761996
G4	G1	-0.794125756677375
G1	G4	-0.794125756677375
G19	G13	0.790032513807939
G13	G19	0.790032513807939
G44	G6	0.785404382880262
G6	G44	0.785404382880262
G40	G26	-0.773316829604549
G26	G40	-0.773316829604549
G44	G38	0.771401098096063
G38	G44	0.771401098096063
G51	G26	-0.770925291432614
G26	G51	-0.770925291432614
G55	G54	-0.768448399708408
G54	G55	-0.768448399708408
G61	G51	-0.764747557899147
G51	G61	-0.764747557899147
G83	G8	0.758098207021525
G8	G83	0.758098207021525
G48	G38	-0.757965200230314
G38	G48	-0.757965200230314
G48	G46	0.748996275884656
G46	G48	0.748996275884656
G51	G46	-0.743842971072809
G46	G51	-0.743842971072809
G98	G97	-0.741229913146918
G97	G98	-0.741229913146918
G17	G16	-0.738057041997107
G16	G17	-0.738057041997107
G100	G99	0.73311054147001
G99	G100	0.73311054147001
G98	G14	0.731638876810593
G14	G98	0.731638876810593
G8	G1	-0.731274963612791
G1	G8	-0.731274963612791
G46	G20	-0.729987928950827
G20	G46	-0.729987928950827
G38	G6	0.72847663214404
G6	G38	0.72847663214404
G51	G44	0.726564482081394
G44	G51	0.726564482081394
G61	G26	0.726468079526815
G26	G61	0.726468079526815
G56	G36	0.7210201259978
G36	G56	0.7210201259978
G84	G29	-0.716360628992391
G29	G84	-0.716360628992391
G78	G46	-0.713857197366692
G46	G78	-0.713857197366692
G83	G4	0.713614735904839
G4	G83	0.713614735904839
G83	G1	-0.711286412580602
G1	G83	-0.711286412580602
G48	G6	-0.709696460446027
G6	G48	-0.709696460446027
G38	G24	-0.708828651666022
G24	G38	-0.708828651666022
G48	G24	0.708347171978637
G24	G48	0.708347171978637
G8	G5	0.707749021470707
G5	G8	0.707749021470707
G46	G6	-0.698207816473198
G6	G46	-0.698207816473198
G63	G46	-0.695719384481408
G46	G63	-0.695719384481408
G46	G24	0.695434257875573
G24	G46	0.695434257875573
G95	G74	0.690198101675634
G74	G95	0.690198101675634
G52	G13	0.689133808530169
G13	G52	0.689133808530169
G53	G26	0.688490827694836
G26	G53	0.688490827694836
G88	G67	0.687176153338492
G67	G88	0.687176153338492
G86	G48	-0.684978127812969
G48	G86	-0.684978127812969
G68	G13	-0.683640565546386
G13	G68	-0.683640565546386
G71	G31	0.683049399375628
G31	G71	0.683049399375628
G67	G36	-0.673499643020995
G36	G67	-0.673499643020995
G24	G6	-0.673395503491982
G6	G24	-0.673395503491982
G57	G55	0.672285913204628
G55	G57	0.672285913204628
G51	G40	0.668105113401997
G40	G51	0.668105113401997
G78	G44	0.664550947558722
G44	G78	0.664550947558722
G51	G48	-0.664216633630063
G48	G51	-0.664216633630063
G57	G54	-0.662949604234467
G54	G57	-0.662949604234467
G67	G56	-0.662753603273597
G56	G67	-0.662753603273597
G51	G20	0.661379085726897
G20	G51	0.661379085726897
G59	G52	-0.661255734560807
G52	G59	-0.661255734560807
G84	G4	0.65816448247347
G4	G84	0.65816448247347
G46	G38	-0.651137931920326
G38	G46	-0.651137931920326
G44	G20	0.64926720837747
G20	G44	0.64926720837747
G46	G26	0.646681912310353
G26	G46	0.646681912310353
G48	G43	-0.642271961933305
G43	G48	-0.642271961933305
G3	G1	-0.641313742304656
G1	G3	-0.641313742304656
G77	G74	0.641130141423291
G74	G77	0.641130141423291
G70	G65	-0.640222578006454
G65	G70	-0.640222578006454
G21	G16	-0.639400101472304
G16	G21	-0.639400101472304
G44	G40	0.63929456210327
G40	G44	0.63929456210327
G19	G17	-0.637662570595094
G17	G19	-0.637662570595094
G79	G56	-0.637176060114667
G56	G79	-0.637176060114667
G51	G24	-0.635170016076526
G24	G51	-0.635170016076526
G56	G4	0.634566449626474
G4	G56	0.634566449626474
G86	G34	0.630179669005854
G34	G86	0.630179669005854
G83	G26	0.626863644321022
G26	G83	0.626863644321022
G27	G26	0.626395909565951
G26	G27	0.626395909565951
G15	G13	-0.6252266546334
G13	G15	-0.6252266546334
G56	G53	0.624167478175159
G53	G56	0.624167478175159
G49	G34	0.623821099571442
G34	G49	0.623821099571442
G98	G92	-0.623263494001951
G92	G98	-0.623263494001951
G91	G10	-0.621318954509961
G10	G91	-0.621318954509961
G89	G71	0.620253387909283
G71	G89	0.620253387909283
G61	G47	-0.62017293413474
G47	G61	-0.62017293413474
G43	G42	0.619070620177712
G42	G43	0.619070620177712
G75	G45	-0.61740622615285
G45	G75	-0.61740622615285
G4	G3	0.615649773875522
G3	G4	0.615649773875522
G84	G1	-0.614912312192098
G1	G84	-0.614912312192098
G63	G47	0.614682519710797
G47	G63	0.614682519710797
G47	G40	0.614317110738303
G40	G47	0.614317110738303
G56	G26	0.614012140431142
G26	G56	0.614012140431142
G53	G40	-0.610786118491239
G40	G53	-0.610786118491239
G48	G15	-0.610537236099905
G15	G48	-0.610537236099905
G47	G26	-0.609947591811433
G26	G47	-0.609947591811433
G67	G26	-0.609197114234143
G26	G67	-0.609197114234143
G83	G27	0.608807646211908
G27	G83	0.608807646211908
G63	G40	0.6086859344194
G40	G63	0.6086859344194
G5	G4	0.607908273424477
G4	G5	0.607908273424477
G61	G46	0.607751223302277
G46	G61	0.607751223302277
G61	G40	-0.607656902591248
G40	G61	-0.607656902591248
G63	G26	-0.607267483646112
G26	G63	-0.607267483646112
G88	G56	-0.607050858415203
G56	G88	-0.607050858415203
G78	G3	-0.606485666396733
G3	G78	-0.606485666396733
G46	G40	-0.60623212681512
