G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0110330	0.3700371	0.6584337	0.7600911	0.0116457	0.9018010	0.7937626	0.6786336	0.4730740	0.2310516	0.0613785	0.0608257	0.6242726	0.7994221	0.0523922	0.0574826	0.7487661	0.0687729	0.6923226	0.0079429	0.5279659	0.1027743	0.0094321	0.8354343	0.7742973	0.7574940	0.0399049	0.5999160	0.0150168	0.7381442	0.0000000	0.6582486	0.0184023	0.0281453	0.6968498	0.0002019	0.0848148	0.2951419	0.0000000	0.0102799	0.0387028	0.6221941	0.7693953	0.5531495	0.6318101	0.5887717	0.7458897	0.6868825	0.6257042	0.5578624	0.7130842	0.0769871	0.5240547	0.7993695	0.3907624	0.6399465	0.0183471	0.6901052	0.5510890	0.0380539	0.6365100	0.4736167	0.6712406	0.6444922	0.0434568	0.6851009	0.6427467	0.0424668	0.6716007	0.6483052	0.0405586	0.7301793	0.3979061	0.6642433	0.7200824	0.6387358	0.0222220	0.0598057	0.0090517	0.5851393	0.7816922	0.6428303	0.6773672	0.0327034	0.3302098	0.6260571	0.7360745	0.0945419	0.6669851	0.0383092	0.1026619	0.6726160	0.0207263	0.1323240	0.0397869	0.4289185	0.7416059	0.0141087	0.7500320	0.7489396
0.0000000	0.6749939	0.6688642	0.6204181	0.1831432	0.0000000	0.0318303	0.0205018	0.0339768	0.6917712	0.8568623	0.8003598	0.0170614	0.0603396	0.5670177	0.6820877	0.0279010	0.6704244	0.0504975	0.5836219	0.0344409	0.6090951	0.8047775	0.0071072	0.0140093	0.0376812	0.6538525	0.0158043	0.6946828	0.6339381	0.6212375	0.0518411	0.7116692	0.7003460	0.0216437	0.6597359	0.6262780	0.3828325	0.6440955	0.7189293	0.0550096	0.0003894	0.1005165	0.7337352	0.7186729	0.5861903	0.6142786	0.6783302	0.6249936	0.6082546	0.7467159	0.0776315	0.6245038	0.6894450	0.3713760	0.7036055	0.0070448	0.5764095	0.6526266	0.0251037	0.6866615	0.5267295	0.6448079	0.6568819	0.0307516	0.6846956	0.6718844	0.0193853	0.5923041	0.7337279	0.0243196	0.6232351	0.3876321	0.6496744	0.7066908	0.6702676	0.0383070	0.0602409	0.0423712	0.6452638	0.7685306	0.6837425	0.7625661	0.0333013	0.2430339	0.6352012	0.6733287	0.1379256	0.7051411	0.0368522	0.0790404	0.6056858	0.0070912	0.1206589	0.0403279	0.3540996	0.8169147	0.0329407	0.5631709	0.8141131
0.0000000	0.6788227	0.6700533	0.6498566	0.0054802	0.5617171	0.7112275	0.5988190	0.0122539	0.3066127	0.0434923	0.0405854	0.5484560	0.6230960	0.0848088	0.0649103	0.7239259	0.0601065	0.7256332	0.0128771	0.7078121	0.1539073	0.0310135	0.7599552	0.7981443	0.6565200	0.0641832	0.7968055	0.0305116	0.6502484	0.0000000	0.7480297	0.0057107	0.0459571	0.6741091	0.0024119	0.5247938	0.6830682	0.6468449	0.3627247	0.6994604	0.2800677	0.1279152	0.5046587	0.8271099	0.6687622	0.6827518	0.6384928	0.7047562	0.7386149	0.6167019	0.0616142	0.6059788	0.7255699	0.2726714	0.5954672	0.0160559	0.7082237	0.6385000	0.0401247	0.6776103	0.5337726	0.5842989	0.6053889	0.0074417	0.7005916	0.5620771	0.0280033	0.7018750	0.5404794	0.0230091	0.7282421	0.3279060	0.6841151	0.6475009	0.7177191	0.0517828	0.0836317	0.0247989	0.6872795	0.7140313	0.5576962	0.7400408	0.0304550	0.3025051	0.7314427	0.6925548	0.0945958	0.5380907	0.0389377	0.1037676	0.7048173	0.0121514	0.0666246	0.0255904	0.3440398	0.6089701	0.0238735	0.5901752	0.5829001
0.5202933	0.0916192	0.2577621	0.1692163	0.2784087	0.5256007	0.6121518	0.0310301	0.6846163	0.0147536	0.0425904	0.0351870	0.7117338	0.6458772	0.0648761	0.0409790	0.7978651	0.0685359	0.6726115	0.0133325	0.5807367	0.1173019	0.0215342	0.6811401	0.8118552	0.6677748	0.0405803	0.5951745	0.0354860	0.0430284	0.0315059	0.5171183	0.0111709	0.0875960	0.5679802	0.0204553	0.0734331	0.2824258	0.0029893	0.0074341	0.0758774	0.4935149	0.6544993	0.0000000	0.0000965	0.0898483	0.6551320	0.6837307	0.0053812	0.6411823	0.0000000	0.0855529	0.0549417	0.0518841	0.5736022	0.4290269	0.3010325	0.5973842	0.8117732	0.0245618	0.6784026	0.6129353	0.0220905	0.5618032	0.0389383	0.7127399	0.5882346	0.6529760	0.0122597	0.3882921	0.6380672	0.6804741	0.3581193	0.6366810	0.6976216	0.6684602	0.0692975	0.0643718	0.0159937	0.7306000	0.6821780	0.5679985	0.5967093	0.0335346	0.2143577	0.6456249	0.7092598	0.1247097	0.6400670	0.0716624	0.0558963	0.7375296	0.0084399	0.1404692	0.0239244	0.3604120	0.7765746	0.0243911	0.5843462	0.7050930
0.7194308	0.1220835	0.1642529	0.1864828	0.2599499	0.6353381	0.5939752	0.0401313	0.7843377	0.0056304	0.0881769	0.0317314	0.6247695	0.6552780	0.0486070	0.0490484	0.7494857	0.0851204	0.6472579	0.0351171	0.7020913	0.1572721	0.0171969	0.7113902	0.6237095	0.5629593	0.0398083	0.6936664	0.0581015	0.0040873	0.6345129	0.0806050	0.6368304	0.6635502	0.0874189	0.4959580	0.7648509	0.3805245	0.5933987	0.7421777	0.0552916	0.0015265	0.1039785	0.4779294	0.7782169	0.6303825	0.0419809	0.6916576	0.0111851	0.5788742	0.0000000	0.1102705	0.0669256	0.0434552	0.5694537	0.5577082	0.5791578	0.5595675	0.6373628	0.0256275	0.7209648	0.5962878	0.0378181	0.0000000	0.0299438	0.0404316	0.0666598	0.6056824	0.0017920	0.4466072	0.6665039	0.6287347	0.3563584	0.6651020	0.6998444	0.6920878	0.0357226	0.0802726	0.0218542	0.6856287	0.5892957	0.5857346	0.7421933	0.0098563	0.2475008	0.7623378	0.6725629	0.1306801	0.5526556	0.0414759	0.0887112	0.6752938	0.0156206	0.0998927	0.0379286	0.3846921	0.5503214	0.0378269	0.5776299	0.9021024
0.0321792	0.5354795	0.7769847	0.7131137	0.0114861	0.7306460	0.6241189	0.6529978	0.2685760	0.3678330	0.1003184	0.0488866	0.6262303	0.6525368	0.0919213	0.0510491	0.6658349	0.0712510	0.7545358	0.0233576	0.5941192	0.1204309	0.0375585	0.6550909	0.7666755	0.8103180	0.1234468	0.6149058	0.6259532	0.1831779	0.6177480	0.0771049	0.6726070	0.6332294	0.0433850	0.5406333	0.6302074	0.3354345	0.5600496	0.6784630	0.0782903	0.0002853	0.1242229	0.6594146	0.6841526	0.7067474	0.5842422	0.5834950	0.5272771	0.6879894	0.7698423	0.0780683	0.5108088	0.6148608	0.4418172	0.5706207	0.0065811	0.6929164	0.6404254	0.7560887	0.7985438	0.6958450	0.6676631	0.6408175	0.0262972	0.6881185	0.6055891	0.0082950	0.6779300	0.7016287	0.6238650	0.5681121	0.0034864	0.6118972	0.5699332	0.0000000	0.0365207	0.6407621	0.6843037	0.0422321	0.7261989	0.6050777	0.6014184	0.0218265	0.2407885	0.6108951	0.0000000	0.6681468	0.0059124	0.7798914	0.6399058	0.0829287	0.6307738	0.6824012	0.6869666	0.1042378	0.7322814	0.6972258	0.0145075	0.0187686
0.0156538	0.4318834	0.6282403	0.5555669	0.0120485	0.7300347	0.5882496	0.7505266	0.5684699	0.3470825	0.0760026	0.0342923	0.6228624	0.6573926	0.0638081	0.0559984	0.6329680	0.0451825	0.6458015	0.0334142	0.6497072	0.1262660	0.0102680	0.8226739	0.7530319	0.5147031	0.0828059	0.5650905	0.0203093	0.7448665	0.0208995	0.7311495	0.0137259	0.0339088	0.5868245	0.0113508	0.0743472	0.2647859	0.0000000	0.0253767	0.0574658	0.7580271	0.5881127	0.0000000	0.0079830	0.0659963	0.6650794	0.6451956	0.0227659	0.6874445	0.7293957	0.0843820	0.5771215	0.7368155	0.4214986	0.6228414	0.0184553	0.6371404	0.6204449	0.0287460	0.6655999	0.4774310	0.5638331	0.5834749	0.0478886	0.6742579	0.5148816	0.0153537	0.7135808	0.6938711	0.0232320	0.6323199	0.4259455	0.6705693	0.6942111	0.8577058	0.0570549	0.0907842	0.0253500	0.6143375	0.6214272	0.6345043	0.6125690	0.0220071	0.2316268	0.6871663	0.7533517	0.1352431	0.6920844	0.0428283	0.0489982	0.6952215	0.0165181	0.1474974	0.0483401	0.3664473	0.7336038	0.0486942	0.7277341	0.6948296
0.0087324	0.6124162	0.5952426	0.7314101	0.0049460	0.6610134	0.5717096	0.7226274	0.1102162	0.3139823	0.0785122	0.0492280	0.5975718	0.7011868	0.0826090	0.0489287	0.6899397	0.0536412	0.6987183	0.0138677	0.6753847	0.1266494	0.0166892	0.7278907	0.7160829	0.6800501	0.0580562	0.7203990	0.0576232	0.7118397	0.0161254	0.6614953	0.0038557	0.0451463	0.4906035	0.0272607	0.0566059	0.3385761	0.0043297	0.0083816	0.0780612	0.4302708	0.7357389	0.0000000	0.0006511	0.0717220	0.7455244	0.0000000	0.0267931	0.6609680	0.6854633	0.1024914	0.5015286	0.8398123	0.3823730	0.6950583	0.0153379	0.7665187	0.7787516	0.0242357	0.6985527	0.4988048	0.5936970	0.8031999	0.0368297	0.7120222	0.5299305	0.0100884	0.6246332	0.5231493	0.0314940	0.5961141	0.3636583	0.7432269	0.5714942	0.7274237	0.0333823	0.0877291	0.0229016	0.6111447	0.6840110	0.6280264	0.6916190	0.0149092	0.2254458	0.7020122	0.8002610	0.1218996	0.6842241	0.0319549	0.0957687	0.7102092	0.0198214	0.0869165	0.0335022	0.4307717	0.6266759	0.0624183	0.5694914	0.6869329
0.0126275	0.4555792	0.6949517	0.7187643	0.0180034	0.7927531	0.6420840	0.7683367	0.5435030	0.3042612	0.0440054	0.0594225	0.6689484	0.6303896	0.1296322	0.0369475	0.7030812	0.0446919	0.6987674	0.0072904	0.6363275	0.1102725	0.0257504	0.6492498	0.7299210	0.6824919	0.0579714	0.7057310	0.0568223	0.6574592	0.0364087	0.6352951	0.0245570	0.0304918	0.4831658	0.0089757	0.4029985	0.5683222	0.8076842	0.2231624	0.7262827	0.1531588	0.0775311	0.0000000	0.0001842	0.0570708	0.7890391	0.6652316	0.0138815	0.5696213	0.6565423	0.0596353	0.5791187	0.7719274	0.3714435	0.6473254	0.0174655	0.6342140	0.7390589	0.0283377	0.6193272	0.5235293	0.5984401	0.6919574	0.0434221	0.6921521	0.5468049	0.0193231	0.7020623	0.6522907	0.0407470	0.6477117	0.3541219	0.6916198	0.6972013	0.6591656	0.0304982	0.1214436	0.0215263	0.7260954	0.6247318	0.0221025	0.0000000	0.0078266	0.3687070	0.0636434	0.7075282	0.1362320	0.6893576	0.0721240	0.0608270	0.6318169	0.0164461	0.1060535	0.0343706	0.4409100	0.0219792	0.0386894	0.6053308	0.7281409
0.6824926	0.1026575	0.1456383	0.1356680	0.4190761	0.6299763	0.7027894	0.0160041	0.6856411	0.0076721	0.0976633	0.0448142	0.5482932	0.6077356	0.0610120	0.0587867	0.7026978	0.0672000	0.7086875	0.0164805	0.7301491	0.1007046	0.0119926	0.6135370	0.6654820	0.7026737	0.0405402	0.6271391	0.0337116	0.0073026	0.6356211	0.0805503	0.8714177	0.7810112	0.0247170	0.5595858	0.6883877	0.4322684	0.5665000	0.8205727	0.0691306	0.0113036	0.0867924	0.6810736	0.7806095	0.6840263	0.6781964	0.0000000	0.0213906	0.6695708	0.0000000	0.0581983	0.0651723	0.0725592	0.6215531	0.4051338	0.3139209	0.6219525	0.6707172	0.0042350	0.6920198	0.5881003	0.0427915	0.7050831	0.0208550	0.5562817	0.5404436	0.6807011	0.0052330	0.3453334	0.6728472	0.6511752	0.4032189	0.6490106	0.6597917	0.6133854	0.0302491	0.0760976	0.0165928	0.6585135	0.7120118	0.6376024	0.6902751	0.0329329	0.2809761	0.7019709	0.6730175	0.0994391	0.6557698	0.0646469	0.0698351	0.7154656	0.0067707	0.0868526	0.0484382	0.3857071	0.7307250	0.0408429	0.6788651	0.5989870
0.6450042	0.1298411	0.2023090	0.1982438	0.2719169	0.6296018	0.7291433	0.0195629	0.5740640	0.0077425	0.0583868	0.0522534	0.6960913	0.6653906	0.0601387	0.0370315	0.7318570	0.0702960	0.6224618	0.0199219	0.6698160	0.1688100	0.0098058	0.6273919	0.6547567	0.8417790	0.0371464	0.7596643	0.0578249	0.0023405	0.5944047	0.0744568	0.7333661	0.7931298	0.0167307	0.6174984	0.5810670	0.3106959	0.6025594	0.6979011	0.0672986	0.0009732	0.1014490	0.6229245	0.6888826	0.6561649	0.0191531	0.6702949	0.0155655	0.6587255	0.0000000	0.0718117	0.0507283	0.0933582	0.2876935	0.5856472	0.3351846	0.0000000	0.0602741	0.0137537	0.6859244	0.6596830	0.0353340	0.6063831	0.0482264	0.6324367	0.6674539	0.6444528	0.0083299	0.3714501	0.6283376	0.6852943	0.3459074	0.7234063	0.6059565	0.6839925	0.1144475	0.0772282	0.0363705	0.7258483	0.6611460	0.6415022	0.6919737	0.0188746	0.3189916	0.7009384	0.6515939	0.1193632	0.6687473	0.0373928	0.0922758	0.7365136	0.0042573	0.0977344	0.0344795	0.3885699	0.6417501	0.0143864	0.8310232	0.5747050
