TF	target	importance
G36	G87	112.1758947944942
G85	G87	73.46320773540837
G92	G30	70.26191602401913
G22	G85	66.22185619726832
G59	G89	65.22568461157972
G9	G70	64.67444770988801
G22	G87	63.613812766612504
G54	G56	62.50743528487414
G87	G36	60.435336472025455
G100	G99	60.32444425316319
G2	G51	58.06579405468731
G61	G45	57.93759790693737
G35	G30	57.81318586642035
G87	G85	55.740610922121235
G73	G30	54.77164106572404
G9	G10	54.68781109581894
G86	G22	54.60550146995004
G97	G76	54.49951543810898
G56	G54	54.26508728371569
G85	G22	53.81627990982174
G22	G36	52.5478504017337
G51	G2	52.304302974175
G65	G68	51.06756728926968
G67	G43	50.717663289778926
G68	G62	50.51519838438949
G29	G57	50.36290556419271
G34	G67	49.82104538111972
G43	G67	49.54417662778312
G20	G4	48.20864973960427
G62	G58	48.19619657050428
G72	G65	48.12650249527237
G19	G30	47.475225862646404
G36	G13	47.368151660718205
G10	G70	46.9796739986801
G86	G19	46.60655635962722
G81	G99	46.51834923727353
G13	G76	46.49403294195756
G57	G29	45.989964270853484
G48	G47	45.7148821090104
G58	G70	45.27905850906076
G23	G58	44.372438139487876
G68	G58	43.92696990400676
G99	G74	43.6884903642727
G51	G72	43.573765637975306
G30	G92	43.51373664135159
G13	G36	43.19080802143279
G76	G97	43.045305126620306
G51	G65	42.69938718604237
G65	G51	41.947087213938545
G57	G56	41.91076322575606
G40	G20	41.899050595923065
G77	G38	41.07903423993204
G78	G74	41.03751417860435
G12	G61	40.6208981969102
G74	G99	40.33655081778187
G31	G57	40.142637416541206
G45	G29	39.94468934363648
G55	G67	39.45795846371562
G62	G79	39.37219982413252
G61	G8	39.20007561093829
G4	G20	39.15172264449151
G65	G2	38.72403386621445
G81	G74	38.66762337121764
G80	G60	38.61931499374512
G22	G86	38.53402015702837
G85	G15	38.2943687009224
G68	G42	38.13514016913758
G41	G45	38.129365993321876
G54	G87	38.11525145849682
G67	G55	37.973341959239505
G10	G12	37.81840257001323
G62	G42	37.76080888885
G19	G24	37.72832864406869
G85	G86	37.151160395730976
G71	G99	37.14812984730879
G82	G14	37.12948030598782
G36	G76	37.03503608896367
G27	G88	37.03496175946855
G57	G84	36.97199610147653
G3	G61	36.82041404609992
G72	G84	36.65822222959291
G45	G52	36.57100020660701
G70	G10	36.2243649366206
G19	G86	36.06869713582105
G71	G74	36.048824488970986
G36	G22	35.98030891098923
G84	G98	35.88916095877092
G78	G99	35.85961840078006
G71	G68	35.554447683703955
