TF	target	importance
G27	G33	0.13350693558684706
G65	G68	0.13031973776422462
G20	G2	0.12979390943193647
G94	G86	0.12451484585614385
G68	G65	0.12365859994678437
G99	G77	0.12234926333595265
G63	G66	0.11814270601452036
G33	G27	0.11732121174900845
G55	G15	0.11468902278887554
G97	G77	0.1129343827844769
G70	G47	0.11265422332704485
G66	G63	0.11097041852610806
G59	G58	0.11024362431616906
G86	G94	0.10992628926717508
G58	G59	0.10962402605625063
G15	G56	0.1074412295385717
G66	G68	0.10725330008486132
G56	G15	0.1069466989492773
G89	G51	0.10651391602244385
G63	G60	0.10379759022524539
G4	G55	0.10130105766933593
G48	G52	0.10007809933740475
G32	G33	0.09937891875930278
G66	G60	0.09937568301933741
G55	G3	0.09893309164936426
G50	G48	0.09677036486689068
G47	G70	0.09606412249448949
G88	G5	0.09577563432053364
G15	G3	0.09541373075074165
G66	G65	0.09510717781289287
G52	G50	0.09471191831016763
G23	G5	0.09419836012520633
G58	G55	0.0937672038696482
G97	G99	0.09315919363711081
G31	G52	0.09309525900501522
G60	G66	0.09263419056795368
G66	G57	0.09213914976393524
G63	G65	0.09207690200320202
G68	G22	0.09176227127143768
G57	G61	0.09173856125810156
G39	G37	0.09104955187604771
G6	G100	0.09057482198562865
G33	G32	0.09057381439538019
G22	G20	0.08987609640830477
G48	G50	0.08984072346557119
G68	G2	0.08967126416476527
G61	G57	0.08941244063443646
G20	G88	0.08895233058999584
G84	G17	0.08848465671783634
G12	G11	0.08846117980173733
G13	G6	0.08837087194784557
G55	G56	0.08833790920180072
G66	G64	0.0882524333608333
G61	G52	0.0881282814313009
G32	G27	0.08788086421116577
G56	G1	0.08687107096171806
G65	G66	0.08638126395077327
G51	G89	0.08625804925686793
G11	G6	0.0852765801136593
G86	G43	0.08507095004222266
G14	G11	0.08421229492710626
G14	G6	0.0836527324052659
G52	G48	0.0835029204000837
G85	G44	0.08328290858499701
G57	G15	0.08300233863199716
G77	G99	0.08276129902224492
G60	G63	0.08256665827845798
G55	G57	0.08216651447603385
G15	G1	0.08205847295964087
G12	G6	0.08202572871017995
G85	G90	0.08181157728905324
G71	G39	0.08007395246207487
G5	G88	0.07964469404257583
G71	G37	0.07934820150071416
G27	G32	0.07914441985184544
G51	G38	0.079115667935415
G55	G4	0.07907174516372435
G60	G68	0.07886377352939923
G79	G90	0.0784628245706033
G65	G63	0.07841482363112968
G20	G22	0.07780288285906313
G89	G90	0.07767489303033863
G4	G3	0.07765496191244672
G5	G23	0.07718355532915595
G41	G32	0.07634350374930822
G81	G39	0.07618372656276741
G38	G51	0.07473172345506905
G66	G61	0.07411056727948079
G32	G41	0.07393657239313717
G6	G11	0.0734506878765572
G63	G68	0.07226880502707536
G2	G22	0.07212198165052106
G68	G20	0.07198779877957764
G37	G39	0.07146759646708868
G57	G56	0.07128748668573226
G89	G79	0.07126674752277593
G6	G14	0.07118571283808249
G39	G33	0.07114278566093502
G60	G65	0.07066599900490213
G15	G55	0.070639693301812
G55	G58	0.07061564381501766
G15	G58	0.07034001935617544
G84	G90	0.06990773528375248
G88	G23	0.06990711380729032
G44	G85	0.06939031768630112
G47	G48	0.06913629049012626
G6	G5	0.0690359717468149
G59	G70	0.06879924397192637
G11	G77	0.06878698639206768
G32	G37	0.06870467021607754
G13	G11	0.0682971019731143
G52	G51	0.06817798166270295
G2	G15	0.06794058209012288
G48	G47	0.06792789792296863
G5	G17	0.06773292942849639
G14	G12	0.0674462639893342
G43	G94	0.06602476601803195
G23	G88	0.06599339973067987
G73	G94	0.06598551414468853
G1	G15	0.06565741051982199
G3	G55	0.06559313643756046
G68	G66	0.06553007925404984
G12	G14	0.0654917741342903
G5	G89	0.06503010551695958
G57	G55	0.06443671946739013
G71	G33	0.06427988872641782
G65	G64	0.06397935243467132
G97	G11	0.06388631419467498
G5	G14	0.06335598207674091
G61	G66	0.06318486169857193
G92	G62	0.06199553332217778
G57	G66	0.06192423737673887
G68	G60	0.061178751529149665
G97	G6	0.06116787581189074
G22	G2	0.060966276279481715
G50	G52	0.060740699929790684
G56	G64	0.06068950568003319
G47	G31	0.06049487368628729
G88	G20	0.060472140045483194
G82	G90	0.060327867806384175
G11	G13	0.06003570216073771
G85	G79	0.059928844412349296
G57	G63	0.05959987668173505
G3	G4	0.05946880363155097
G68	G63	0.05934812401330037
G57	G58	0.059339308778826566
G17	G6	0.05930435570168544
G30	G47	0.059298693662482485
G4	G6	0.05911163976331552
G62	G92	0.05904956486938202
G1	G55	0.05902932233774155
G1	G56	0.05892805002341673
G10	G11	0.05873441059212987
G6	G13	0.05868954185924301
G15	G59	0.05867330817026345
G41	G52	0.05852646558737904
G61	G63	0.058023418873095416
G65	G61	0.05726264449274614
G47	G50	0.057237261024826305
G19	G94	0.05718716375089583
G61	G41	0.05685206627943342
G17	G12	0.05678698953537223
G65	G60	0.05661690866104497
G5	G6	0.05658976383463736
G72	G86	0.056545936906657254
G88	G89	0.05646497919688645
G15	G4	0.0560115864089526
G72	G67	0.055952318482026434
G14	G17	0.05573985542557275
G56	G57	0.05552973089713821
G6	G12	0.05517466160523214
G99	G92	0.0550189367342202
G12	G13	0.054896474421360336
G60	G41	0.05464119997213235
G17	G14	0.05460663309048747
G13	G14	0.0544508028358254
G41	G31	0.05420736467317917
G2	G20	0.05407111574003593
G17	G5	0.05401772508315576
G33	G37	0.05380215136340239
G52	G30	0.05380175332586505
G23	G89	0.053645145210438484
G63	G57	0.05336886287905977
G70	G59	0.053021621321542804
G47	G52	0.052934939047309434
G52	G38	0.052851536611023084
G32	G100	0.052842244717387805
G90	G79	0.05275229432032223
G50	G47	0.052633658539504496
G15	G2	0.05232770694331345
G10	G6	0.05226240911435393
G3	G50	0.052193962264412135
G79	G85	0.05218788205994123
G12	G5	0.052164692356264634
G89	G38	0.052046210981246746
G55	G1	0.05184788274352962
G52	G47	0.05182730449233237
G92	G77	0.05173638928784627
G57	G3	0.051675867075199035
G97	G14	0.05154733014091679
G61	G65	0.051491489579001945
G85	G67	0.05146830814451844
G85	G91	0.0514238456775581
G48	G30	0.05136550043004568
G64	G61	0.0512800189503127
G11	G14	0.05093315895922475
G56	G61	0.050842413730008064
G43	G86	0.050775836998598736
G56	G66	0.050708043350916075
G61	G31	0.050373646776605795
G11	G5	0.05011266774134141
G17	G11	0.05000724106805737
G1	G4	0.04999617700489114
G61	G56	0.04982247069477483
G58	G57	0.0497810749377329
G86	G19	0.049719443203043674
G89	G29	0.04962589886505835
G82	G17	0.04940521981493619
G29	G20	0.04921445808496494
G30	G52	0.04854246812467916
G77	G92	0.04837261738095675
G91	G85	0.04836844153913593
G37	G33	0.047714038806986624
G89	G84	0.04736318589359648
G94	G19	0.04733603281578128
G79	G51	0.04725974763490472
G44	G67	0.047209619784660234
G1	G3	0.04720597209347376
G58	G70	0.047120870021252
G19	G86	0.047103712249707115
G2	G60	0.0470404238554013
G4	G11	0.04700546966777182
G97	G92	0.0467251940319407
G66	G56	0.04668701042244555
G6	G32	0.04660348473766102
G60	G56	0.04657012744811081
G5	G12	0.04646748399602879
G52	G79	0.04644126883166009
G82	G84	0.04642168944064187
G82	G79	0.04633374579737283
G9	G70	0.04631254796004606
G11	G20	0.04619535836632622
G47	G30	0.04614114317316515
G56	G59	0.045881336220474946
G64	G66	0.04584243810220138
G11	G12	0.045830600362376274
G92	G99	0.045827716813066736
G11	G51	0.04568744126648149
G30	G70	0.045681295694589445
G3	G15	0.045619036282762156
G14	G5	0.0455208804048578
G17	G93	0.0453334351757113
G9	G47	0.045309658408438
G57	G59	0.04523351503307371
G70	G58	0.04521084911416907
G15	G57	0.045199790006638
G89	G85	0.04501380166551784
G90	G85	0.044939763522256274
G44	G91	0.044830531167340225
G5	G11	0.04481270867633029
G60	G64	0.04475758195049642
G37	G38	0.044532304564215315
G81	G38	0.04452187888611106
G70	G48	0.044487757819887896
G17	G19	0.04445920082568645
G11	G97	0.044345716514207566
G93	G17	0.04431306774087872
G56	G58	0.04429962730479062
G41	G26	0.04424358021774791
G57	G65	0.04412187786781261
G63	G43	0.04394440973816957
G89	G82	0.04389095191942831
G12	G97	0.04342244242636392
G14	G13	0.04340159945082505
G6	G97	0.043264475545603545
G90	G82	0.043225851012405704
G9	G6	0.04301732400615626
G56	G65	0.04293687188092714
G5	G93	0.042910420333385185
G63	G64	0.04288915734772241
G63	G61	0.04276926303220695
G20	G29	0.04276369089907798
G82	G37	0.04275212208155886
G48	G70	0.04242040433541732
G89	G23	0.04235336844627411
G65	G56	0.0421349370856117
G11	G9	0.04197553405049739
G61	G60	0.041957334204727983
G59	G47	0.041863583013683064
G85	G82	0.04168134941366545
G73	G86	0.04163264984359118
G60	G22	0.04162961452555684
G81	G37	0.04160407193900746
G86	G87	0.04160079218077982
G79	G82	0.04141092624063183
G29	G22	0.041386840004608814
G27	G37	0.041299496712431445
G91	G36	0.04120519423642523
G43	G100	0.041065722553158206
G55	G44	0.04104095316817415
G41	G92	0.04090640086588585
G12	G17	0.040877702326507954
G13	G12	0.04086197370361193
G32	G39	0.040665676255803286
G60	G61	0.040604080753285844
G26	G41	0.04053922918042272
G61	G68	0.04053611132122315
G15	G77	0.04052459151748951
