TF	target	importance
G26	G4	0.14459552546584045
G46	G81	0.12771814986842375
G4	G26	0.11911127676554391
G41	G28	0.10469120438510397
G7	G2	0.10469057038719354
G33	G34	0.10466504084220118
G84	G64	0.10233610930998728
G7	G33	0.09875592550689889
G46	G33	0.09717981358218362
G34	G33	0.09507508954077994
G100	G95	0.09369301676808703
G29	G56	0.09320166110755874
G85	G100	0.09259183909784469
G77	G4	0.09152820266385611
G37	G91	0.08982588790698641
G24	G45	0.0897013732132575
G33	G46	0.08730500213931737
G33	G7	0.08711695177374695
G41	G97	0.08650025091566352
G64	G84	0.08540935993097637
G85	G31	0.08508673789473988
G63	G97	0.0849710877103879
G45	G51	0.08486131488432451
G44	G40	0.08434716978880019
G100	G85	0.0842861316240353
G54	G29	0.08426040727584173
G94	G86	0.08328445548968696
G81	G78	0.08283688419443344
G29	G91	0.08005755541995363
G45	G24	0.0798799906910491
G28	G97	0.07955356722464606
G67	G78	0.07939177005293928
G31	G85	0.07866379731209325
G79	G40	0.07771318237727556
G54	G24	0.07763048782354937
G2	G7	0.07741854947316994
G85	G95	0.07741550457822614
G26	G77	0.07735554858036457
G86	G94	0.07731473560622043
G40	G19	0.07725505280259194
G97	G54	0.07709550660346234
G51	G39	0.07706899529020024
G19	G53	0.07623753911527306
G92	G51	0.07602796299048056
G4	G77	0.07581792029121825
G53	G19	0.07468352518703153
G67	G52	0.07456282673889357
G40	G44	0.0742209988225947
G44	G45	0.07290064896883877
G92	G40	0.07156996829923987
G86	G81	0.07115028466480007
G84	G43	0.06954177685850464
G73	G41	0.06927669878457285
G78	G64	0.06884674488627911
G46	G78	0.06825905913321327
G97	G24	0.06782227555111829
G37	G55	0.06738019947322268
G7	G34	0.06644902820476414
G78	G84	0.06610834447297606
G90	G65	0.06583625741332139
G29	G65	0.0658359640706495
G29	G24	0.06553643437558714
G67	G50	0.06513521108111307
G31	G70	0.06504941464382116
G51	G92	0.06484743037238042
G17	G31	0.06446701132255479
G37	G70	0.06403919755952582
G54	G65	0.06351889635329032
G65	G29	0.06342480683845243
G46	G47	0.06334960378859554
G29	G52	0.06303257451300916
G79	G44	0.06300862706062198
G81	G23	0.06288331056365717
G92	G44	0.06283831565109849
G67	G13	0.06267803117621706
G95	G100	0.06250120575683009
G13	G52	0.06238116244232863
G79	G64	0.06226750383753281
G91	G56	0.06218897163895699
G46	G7	0.061860069381389896
G29	G54	0.06155243681463925
G33	G2	0.06154896421774304
G46	G30	0.06153131300948423
G78	G81	0.060958853486217913
G79	G84	0.06085202590914367
G84	G28	0.060310989001125796
G16	G54	0.06021442207223705
G86	G16	0.06004842899757049
G31	G17	0.05980012474434393
G77	G26	0.05830282210085219
G55	G91	0.05814056102260179
G90	G27	0.058072423468783475
G17	G85	0.058053806165436164
G33	G81	0.058010441199021226
G85	G17	0.057991579325164286
G17	G21	0.05751906748593958
G81	G46	0.05723169873727135
G34	G30	0.05707687257948002
G13	G67	0.056617943078999124
G24	G86	0.0565345001994725
G91	G55	0.056501411786210265
G95	G92	0.05639504083042359
G24	G29	0.05625961701873864
G30	G47	0.055793176653885765
G85	G99	0.05576731263958205
G53	G41	0.05573934619894694
G46	G23	0.05572917802419832
G4	G45	0.055680881994826056
G23	G81	0.05563079282965914
G44	G24	0.05516851074349626
G30	G34	0.05511473661951773
G78	G86	0.054897671548227875
G2	G33	0.0547632316771728
G34	G7	0.05454629178107629
G31	G13	0.05452177898381695
G37	G76	0.05403426657704193
G13	G78	0.05402712163645117
G23	G38	0.05399177847223506
G28	G23	0.05390351620411624
G92	G79	0.053819723677137395
G44	G69	0.053492254528699816
G41	G73	0.05343322702161083
G97	G29	0.05340344362710499
G39	G51	0.05338139568934485
G73	G19	0.053192562083101476
G72	G37	0.05305284947105795
G40	G41	0.05304317801605767
G19	G41	0.05300480789501045
G53	G73	0.052794604673627094
G77	G45	0.05270240179292747
G1	G78	0.05251444996511231
G27	G65	0.05230396319372899
G45	G77	0.05215298912418189
G45	G4	0.05214731372115317
G37	G17	0.05165010794248912
G40	G79	0.0514915672691079
G47	G46	0.05119701142405079
G95	G29	0.05109849084672909
G100	G92	0.05087618788587094
G76	G69	0.05058440401547721
G92	G95	0.05053723238200136
G31	G37	0.050303187933738114
G46	G34	0.05014055923762568
G41	G19	0.05005276402746871
G51	G82	0.04996094094966344
G55	G56	0.04982471066685076
G46	G14	0.049786028744228585
G86	G78	0.04975717855333288
G13	G50	0.04973809691975239
G64	G27	0.04950229911036774
