Gene1	Gene2	Score
G50	G49	0.912927327743648
G49	G50	0.912927327743648
G49	G48	0.910620580224566
G48	G49	0.910620580224566
G32	G28	0.826100067324244
G28	G32	0.826100067324244
G32	G26	-0.809471025210178
G26	G32	-0.809471025210178
G50	G48	0.806015542990469
G48	G50	0.806015542990469
G31	G25	0.794011298491325
G25	G31	0.794011298491325
G59	G48	-0.788728116034278
G48	G59	-0.788728116034278
G59	G49	-0.786120950778819
G49	G59	-0.786120950778819
G12	G1	-0.771335400378205
G1	G12	-0.771335400378205
G14	G5	-0.7661044525609
G5	G14	-0.7661044525609
G54	G50	0.761260113466682
G50	G54	0.761260113466682
G99	G84	0.753805103712228
G84	G99	0.753805103712228
G79	G12	-0.740162076821308
G12	G79	-0.740162076821308
G81	G72	0.734044299780078
G72	G81	0.734044299780078
G6	G5	0.732436297212531
G5	G6	0.732436297212531
G28	G26	-0.725876100829446
G26	G28	-0.725876100829446
G71	G12	-0.717249761346012
G12	G71	-0.717249761346012
G99	G95	-0.715351843347515
G95	G99	-0.715351843347515
G64	G5	0.713844309785648
G5	G64	0.713844309785648
G59	G50	-0.713046243158158
G50	G59	-0.713046243158158
G71	G1	0.709197201333122
G1	G71	0.709197201333122
G54	G49	0.697971878259855
G49	G54	0.697971878259855
G14	G6	-0.684090170343472
G6	G14	-0.684090170343472
G82	G77	0.679636936195788
G77	G82	0.679636936195788
G81	G80	-0.678124747607307
G80	G81	-0.678124747607307
G23	G20	-0.678038193899218
G20	G23	-0.678038193899218
G77	G17	-0.676929930669266
G17	G77	-0.676929930669266
G2	G1	0.675349439564892
G1	G2	0.675349439564892
G31	G26	0.669321819360574
G26	G31	0.669321819360574
G44	G40	0.665442265261996
G40	G44	0.665442265261996
G68	G62	-0.65914552270643
G62	G68	-0.65914552270643
G12	G2	-0.657437934904972
G2	G12	-0.657437934904972
G68	G43	0.653281013871662
G43	G68	0.653281013871662
G84	G83	-0.651334494933371
G83	G84	-0.651334494933371
G81	G30	0.649294325102439
G30	G81	0.649294325102439
G79	G1	0.648710779667479
G1	G79	0.648710779667479
G51	G16	-0.647508122927815
G16	G51	-0.647508122927815
G30	G6	0.639677737600772
G6	G30	0.639677737600772
G88	G85	0.639351116302695
G85	G88	0.639351116302695
G95	G84	-0.638029958834304
G84	G95	-0.638029958834304
G32	G31	-0.636746450755834
G31	G32	-0.636746450755834
G59	G54	-0.634882568280084
G54	G59	-0.634882568280084
G98	G28	0.629327657247224
G28	G98	0.629327657247224
G76	G29	0.625545525212472
G29	G76	0.625545525212472
G98	G82	0.62549638238698
G82	G98	0.62549638238698
G98	G77	0.62427035572044
G77	G98	0.62427035572044
G87	G61	0.619887758484539
G61	G87	0.619887758484539
G54	G48	0.608297700685296
G48	G54	0.608297700685296
G95	G86	-0.605303789460228
G86	G95	-0.605303789460228
G10	G8	0.604936661973355
G8	G10	0.604936661973355
G23	G21	0.600713787522589
G21	G23	0.600713787522589
G72	G29	-0.597170299236504
G29	G72	-0.597170299236504
G46	G16	-0.59638632249362
G16	G46	-0.59638632249362
G70	G28	-0.589132214621231
G28	G70	-0.589132214621231
G68	G44	-0.582825898702874
G44	G68	-0.582825898702874
G74	G5	-0.581753477416773
G5	G74	-0.581753477416773
G77	G62	-0.581118985448568
G62	G77	-0.581118985448568
G72	G40	-0.576656939021524
G40	G72	-0.576656939021524
G48	G38	-0.56876619539422
G38	G48	-0.56876619539422
G70	G65	0.563397939100941
G65	G70	0.563397939100941
G82	G62	-0.561662260603681
G62	G82	-0.561662260603681
G29	G16	-0.560304668498895
G16	G29	-0.560304668498895
G98	G32	0.554414535106953
G32	G98	0.554414535106953
G90	G65	-0.553657694968189
G65	G90	-0.553657694968189
G96	G95	0.553302639858184
G95	G96	0.553302639858184
G80	G6	-0.55144626318496
G6	G80	-0.55144626318496
G49	G16	0.550789805081534
G16	G49	0.550789805081534
G81	G40	-0.549317490291894
G40	G81	-0.549317490291894
G70	G68	-0.549103320587533
G68	G70	-0.549103320587533
G80	G30	-0.54876431692228
G30	G80	-0.54876431692228
G31	G28	-0.545217014612443
G28	G31	-0.545217014612443
G68	G33	-0.542616337083769
G33	G68	-0.542616337083769
G98	G70	-0.539147814847439
G70	G98	-0.539147814847439
G98	G11	0.537322175598367
G11	G98	0.537322175598367
G79	G2	0.534921094011789
G2	G79	0.534921094011789
G85	G82	-0.534766440931881
G82	G85	-0.534766440931881
G16	G14	-0.533561370058174
G14	G16	-0.533561370058174
G81	G54	0.532774033522969
G54	G81	0.532774033522969
G70	G32	-0.531757148048232
G32	G70	-0.531757148048232
G84	G79	-0.531699539125335
G79	G84	-0.531699539125335
G71	G2	0.531121209714117
G2	G71	0.531121209714117
G99	G11	0.526404519535367
G11	G99	0.526404519535367
G26	G25	0.526275928446673
G25	G26	0.526275928446673
G64	G6	0.526227991323766
G6	G64	0.526227991323766
G48	G16	0.525743115406265
G16	G48	0.525743115406265
G15	G5	-0.523947213551378
G5	G15	-0.523947213551378
G72	G11	0.52351536414896
G11	G72	0.52351536414896
G74	G12	0.522020971938193
G12	G74	0.522020971938193
G32	G25	-0.520984194388196
G25	G32	-0.520984194388196
G25	G18	0.517351805829178
G18	G25	0.517351805829178
G25	G11	-0.514654078983999
G11	G25	-0.514654078983999
G31	G11	-0.514097009710741
G11	G31	-0.514097009710741
G74	G58	-0.513568418336364
G58	G74	-0.513568418336364
G73	G32	-0.511454739093255
G32	G73	-0.511454739093255
G92	G72	-0.511407285755412
G72	G92	-0.511407285755412
G50	G16	0.511385561752249
G16	G50	0.511385561752249
G81	G35	-0.511382066120466
G35	G81	-0.511382066120466
G30	G18	-0.510902794737252
G18	G30	-0.510902794737252
G99	G96	-0.508840166076921
G96	G99	-0.508840166076921
G79	G71	0.508284419108167
G71	G79	0.508284419108167
G49	G38	-0.507688203303916
G38	G49	-0.507688203303916
G80	G35	0.507602033258483
G35	G80	0.507602033258483
G96	G86	-0.506312077062281
G86	G96	-0.506312077062281
G95	G83	0.504080901802086
G83	G95	0.504080901802086
G73	G28	-0.503901597401041
G28	G73	-0.503901597401041
G75	G30	-0.499389946887494
G30	G75	-0.499389946887494
G36	G34	0.49895465620656
G34	G36	0.49895465620656
G19	G11	-0.498864824858212
G11	G19	-0.498864824858212
G60	G38	0.498709421294401
G38	G60	0.498709421294401
G99	G86	0.498141594388951
G86	G99	0.498141594388951
G71	G43	0.497312734281818
G43	G71	0.497312734281818
G80	G57	0.494997903319317
G57	G80	0.494997903319317
G68	G29	-0.494445561868763
G29	G68	-0.494445561868763
G82	G68	0.492724592684123
G68	G82	0.492724592684123
G94	G16	-0.490724561029586
G16	G94	-0.490724561029586
G98	G26	-0.48925660790539
G26	G98	-0.48925660790539
G64	G30	0.487523244608966
G30	G64	0.487523244608966
G75	G29	0.485986257942863
G29	G75	0.485986257942863
G72	G44	-0.485046209092074
G44	G72	-0.485046209092074
G22	G20	0.484593626517633
G20	G22	0.484593626517633
G40	G12	-0.483853754030724
G12	G40	-0.483853754030724
G64	G15	-0.483418152484458
G15	G64	-0.483418152484458
G72	G70	-0.482106444362792
G70	G72	-0.482106444362792
G20	G12	-0.479966185150169
G12	G20	-0.479966185150169
G62	G17	0.479570157507838
G17	G62	0.479570157507838
G16	G5	0.479012405034312
G5	G16	0.479012405034312
G59	G38	0.478655595984775
G38	G59	0.478655595984775
G74	G14	0.477028627805235
G14	G74	0.477028627805235
G24	G20	0.476394541041676
G20	G24	0.476394541041676
G79	G25	0.475917890763135
G25	G79	0.475917890763135
G26	G11	-0.475652050528069
G11	G26	-0.475652050528069
G99	G31	-0.475497031863655
G31	G99	-0.475497031863655
G48	G46	-0.475475538581198
G46	G48	-0.475475538581198
G92	G77	-0.475419375204885
G77	G92	-0.475419375204885
G87	G23	-0.47264106207056
G23	G87	-0.47264106207056
G60	G1	0.472401847781201
G1	G60	0.472401847781201
G77	G68	0.471318652159218
G68	G77	0.471318652159218
G60	G18	0.47075051762052
G18	G60	0.47075051762052
G77	G64	0.470705701645393
G64	G77	0.470705701645393
G87	G83	0.469476869309778
G83	G87	0.469476869309778
G95	G79	0.467324487903297
G79	G95	0.467324487903297
G62	G33	0.466066526101512
G33	G62	0.466066526101512
G92	G75	0.4653408776876
G75	G92	0.4653408776876
G85	G58	-0.464905473168936
G58	G85	-0.464905473168936
G84	G67	-0.463134391967551
G67	G84	-0.463134391967551
G71	G18	0.462662081917808
G18	G71	0.462662081917808
G72	G68	0.462438674123409
G68	G72	0.462438674123409
G73	G49	-0.462380845916642
G49	G73	-0.462380845916642
G50	G28	0.462157302526019
G28	G50	0.462157302526019
G83	G1	0.460912719268744
G1	G83	0.460912719268744
G87	G58	-0.459603519301019
G58	G87	-0.459603519301019
G16	G6	0.459295357777777
G6	G16	0.459295357777777
G85	G77	-0.458415215131735
G77	G85	-0.458415215131735
G68	G40	-0.457613991376725
G40	G68	-0.457613991376725
G81	G44	-0.457141614039546
G44	G81	-0.457141614039546
G76	G70	0.456070883648389
G70	G76	0.456070883648389
G62	G40	0.456056532590808
G40	G62	0.456056532590808
G76	G18	-0.454753840436253
G18	G76	-0.454753840436253
G77	G70	-0.454588080714444
G70	G77	-0.454588080714444
G61	G58	-0.454572756802274
G58	G61	-0.454572756802274
G18	G15	0.453675614433846
G15	G18	0.453675614433846
G92	G81	-0.453207139090576
G81	G92	-0.453207139090576
G76	G16	-0.451600397766357
G16	G76	-0.451600397766357
G23	G22	-0.450458556505662
G22	G23	-0.450458556505662
G72	G54	0.450371008725116
G54	G72	0.450371008725116
G75	G42	0.450077181474921
G42	G75	0.450077181474921
G30	G5	0.449919122363724
G5	G30	0.449919122363724
G72	G30	0.449269376756016
G30	G72	0.449269376756016
G99	G25	-0.447133125313684
G25	G99	-0.447133125313684
G67	G27	0.446080022713907
G27	G67	0.446080022713907
G73	G48	-0.446073051121691
G48	G73	-0.446073051121691
G84	G34	0.44568688892267
G34	G84	0.44568688892267
G99	G67	-0.444547101892367
G67	G99	-0.444547101892367
G86	G84	0.444510828386993
G84	G86	0.444510828386993
