TF	target	importance
G33	G34	0.14255948176500555
G80	G1	0.1366132412540597
G40	G37	0.13325795385413472
G34	G33	0.1321124950611863
G53	G22	0.1272011714895683
G1	G37	0.12180238588113376
G1	G80	0.120081764610715
G82	G92	0.11792782677030922
G92	G82	0.11632004427932724
G52	G86	0.1149583227618539
G74	G52	0.11319007017355465
G33	G36	0.11021666952413803
G62	G79	0.10972063000508342
G54	G68	0.10502916886981133
G86	G52	0.10277315078647353
G36	G28	0.10140838787229565
G67	G55	0.1006430038670628
G22	G73	0.09848911644620838
G34	G36	0.0981550603008936
G33	G28	0.09807692111045915
G73	G22	0.09764977320940242
G79	G62	0.09667915309848572
G22	G50	0.09543509647364447
G63	G94	0.09509534800529822
G22	G74	0.0941059056675333
G70	G68	0.09291842274584818
G4	G6	0.09254298104109639
G28	G33	0.09172617680507389
G74	G50	0.09023747009260832
G25	G79	0.08982744089112506
G28	G36	0.08943008497080365
G34	G28	0.08921305590318593
G30	G73	0.08876301346494475
G76	G47	0.08866223708672018
G61	G92	0.08844742930595208
G62	G76	0.08802249097340571
G76	G62	0.08727046479877996
G50	G74	0.08715403184842568
G33	G82	0.08701639887127748
G3	G23	0.08666603445093231
G22	G53	0.08608255252106917
G94	G63	0.08470588332823956
G50	G41	0.08458843937879304
G79	G47	0.08396046762376
G48	G3	0.08290804304717103
G28	G34	0.08280427416350392
G93	G85	0.08216513241984169
G73	G53	0.08159358771335275
G34	G29	0.08105678511045648
G34	G64	0.08046750673783123
G83	G66	0.08019764881200728
G24	G68	0.080142267361291
G94	G72	0.07984229468183723
G74	G86	0.07975591156204216
G37	G40	0.07964931755038636
G8	G68	0.07952757526637769
G6	G4	0.07936361952549394
G36	G34	0.07878644861723219
G76	G58	0.07812987871559422
G41	G23	0.07794377240591276
G58	G66	0.07723094389476015
G33	G90	0.07708296510552183
G24	G37	0.07706159259549077
G22	G30	0.07635102406718275
G41	G69	0.07559535466148738
G82	G33	0.07531799077789499
G25	G80	0.0752068810012522
G53	G73	0.07512803863915452
G63	G68	0.07493584306455807
G30	G22	0.07472105927849525
G90	G81	0.07430464718650905
G90	G36	0.07419170725800349
G5	G20	0.07417296596999393
G86	G43	0.07402056718485656
G55	G67	0.07396420026869055
G1	G40	0.07377827160183076
G34	G35	0.07329073815422381
G50	G15	0.07320082164905081
G68	G54	0.07277334133194692
G28	G82	0.0724710202790543
G29	G90	0.07197920780570027
G90	G33	0.07189971349557539
G47	G79	0.07184872172382367
G80	G25	0.07174263583142858
G79	G76	0.07131472301215844
G69	G41	0.07125207693263744
G26	G66	0.0711089232338756
G32	G69	0.07084833849606038
G83	G58	0.07057949071621485
G7	G6	0.07057943943443398
G30	G46	0.07044274420501895
G73	G30	0.07036915659597814
G70	G54	0.0702605642290721
G24	G40	0.07019088558478517
G36	G33	0.07016810066254868
G69	G32	0.06971622899434539
G79	G25	0.0696121446706248
G78	G88	0.0685231989985805
G58	G76	0.06816105606318908
G94	G96	0.06761603798733985
G29	G34	0.06733788447337419
G24	G71	0.06695063931992076
G9	G74	0.0666639758169338
G76	G79	0.06612898083143183
G50	G3	0.06593060695465242
G36	G90	0.06538264940228646
G92	G61	0.06526066606715379
G63	G96	0.06491962009103656
G47	G76	0.0642234644514687
G41	G50	0.063836673207229
G83	G9	0.06382435452458265
G33	G29	0.06356685388664929
G76	G80	0.0635042044527717
G9	G86	0.06339921639264606
G22	G5	0.06306609616512894
G3	G48	0.06294253490868049
G90	G34	0.06293827371919566
G62	G47	0.06292634280255223
G47	G80	0.06274561628560335
G48	G7	0.06265120499640355
G25	G62	0.06197348802960814
G33	G83	0.06193589307345332
G7	G68	0.061592821566778116
G30	G78	0.06157781759529699
G83	G81	0.061326796517763994
G74	G9	0.061284601063215
G7	G48	0.060983303722225685
G95	G23	0.06096543945291692
G90	G29	0.06087253460275907
G24	G60	0.06075443743710303
G30	G53	0.060699265818454036
G47	G62	0.06052396327135662
G24	G54	0.06045566296327193
G24	G70	0.060337080160580765
G74	G94	0.060310135077300604
G33	G35	0.06020865977675827
G63	G54	0.060008829786291545
G94	G74	0.05997185543779823
G96	G63	0.0599390006893865
G10	G6	0.05985900724838742
G78	G30	0.05907881744131754
G68	G70	0.058947004162882545
G89	G87	0.05889979466020906
G63	G70	0.05876695519214196
G83	G72	0.058757832984425676
G34	G92	0.058627934654776434
G54	G10	0.05849404916241625
G34	G90	0.0584072865627261
G36	G35	0.058236992162146804
G41	G2	0.0580321827059582
G86	G9	0.05753713437507087
G52	G74	0.057341271352366524
G81	G90	0.05727044094332954
G35	G37	0.05677928316358788
G80	G47	0.05655212631392522
G69	G99	0.056192278383410926
G9	G83	0.05600500813777095
G58	G83	0.05585470272211932
G50	G52	0.05552138847142505
G34	G82	0.05526500958294798
G69	G16	0.05522576813934222
G53	G5	0.05498613333401601
G5	G22	0.05492454276812601
G86	G74	0.054547606319354576
G3	G95	0.05429751065531968
G40	G1	0.05363206432928917
G95	G3	0.05355390530936269
G24	G56	0.053503380181638034
G66	G58	0.05348779353449379
G88	G78	0.05345767616026034
G50	G23	0.05317519525868382
G76	G3	0.05315850429632694
G3	G59	0.05307609285998633
G6	G10	0.05284814815032116
G54	G70	0.05272437934136574
G8	G54	0.0527075166280822
G55	G48	0.052599853619916065
G74	G16	0.052520961031912804
G50	G69	0.052354281016921723
G23	G5	0.051985896739932695
G66	G61	0.05190497712150939
G69	G23	0.051881265948793595
G47	G25	0.051789574588094425
G90	G28	0.05157601600781203
G35	G33	0.051388743292000015
G94	G87	0.0513810926831659
G34	G83	0.051255443829981706
G38	G90	0.05095666066018213
G78	G68	0.05069782529292648
G23	G41	0.0504738090346215
G24	G1	0.050361554634715755
G29	G33	0.050125061597449526
G46	G30	0.04992834174429353
G63	G100	0.04992328365753332
G50	G86	0.04984044128383419
