SourceGENES,TargetGENES,Interaction,Edges
G68,G67,1,activation
G50,G67,0.833115060314519,repression
G37,G67,0.725467052651441,repression
G35,G67,0.614447898402648,repression
G50,G76,0.550103474383859,repression
G63,G67,0.546939927727811,repression
G10,G90,0.532484202426452,repression
G50,G26,0.495232828540762,repression
G10,G67,0.473345559615277,activation
G68,G26,0.463410825357162,activation
G31,G67,0.44470820244605,activation
G50,G25,0.425666240585086,activation
G70,G67,0.418419513403835,repression
G4,G67,0.407615785511384,repression
G37,G26,0.388358618625787,repression
G68,G83,0.387229859240198,activation
G68,G76,0.34985007456299,activation
G37,G76,0.348750305297059,activation
G28,G25,0.338970126487954,repression
G18,G67,0.338646039056515,activation
G28,G62,0.335007151600224,activation
G50,G70,0.318878720152419,activation
G16,G67,0.31873180585835,repression
G10,G62,0.308740866627338,repression
G50,G83,0.306965701148882,activation
G50,G81,0.305829322354713,activation
G68,G27,0.286085372568598,activation
G50,G3,0.282144296287798,activation
G37,G83,0.279987061495332,activation
G37,G25,0.279085340690646,repression
G10,G21,0.27700919243199,repression
G50,G93,0.271957491540821,repression
G35,G90,0.268859925228836,activation
G50,G4,0.266038153743907,repression
G28,G93,0.263342448890897,repression
G50,G27,0.262854750387384,repression
G78,G67,0.258673021642126,activation
G50,G82,0.25675543707482,repression
G50,G8,0.251634655196166,repression
G68,G3,0.249982630561636,activation
G35,G83,0.249459021310928,activation
G10,G26,0.248988925244968,activation
G36,G76,0.248820489895753,repression
G35,G26,0.248794735017179,activation
G68,G25,0.246893263565662,repression
G28,G26,0.240414157752018,activation
G63,G90,0.238135297134549,repression
G10,G98,0.234572248525671,repression
G35,G2,0.228529503934155,repression
G68,G75,0.227757873938679,repression
G10,G75,0.226510234625757,repression
G10,G2,0.226080461988222,repression
G37,G27,0.22447283183549,activation
G10,G58,0.224175672129172,activation
G10,G83,0.222678980255278,repression
G63,G83,0.221130125531948,activation
G28,G98,0.2202388094457,activation
G63,G26,0.215227811209815,activation
G50,G53,0.214458219472273,repression
G41,G90,0.213574773707204,repression
G68,G100,0.213025576226564,repression
G28,G76,0.211542873314637,activation
G63,G2,0.211143790611404,repression
G68,G43,0.21027043885536,activation
G35,G75,0.207639288465269,repression
G10,G38,0.205991307311648,repression
G68,G19,0.205643985116146,activation
G50,G6,0.20514774703815,activation
G50,G19,0.203452787667544,activation
G36,G25,0.203034505798867,repression
G50,G13,0.202469937378853,repression
G68,G82,0.202420747534353,activation
G33,G90,0.200215591234594,activation
G4,G90,0.198460912229493,activation
G50,G80,0.198121945578285,repression
G68,G98,0.194432605987411,activation
G68,G4,0.194127166474009,activation
G81,G67,0.193931372180379,repression
G13,G90,0.192947146803378,repression
G37,G81,0.192805639070909,repression
G37,G3,0.192771032359348,repression
G68,G81,0.192386881499646,repression
G50,G65,0.192104142376999,activation
G50,G30,0.191510436148864,activation
G68,G62,0.19119700095491,repression
G50,G99,0.190267364423811,activation
G10,G43,0.189342096948303,repression
G36,G70,0.187568087877078,activation
G10,G22,0.187035919254224,repression
G63,G75,0.186373438304734,repression
G68,G41,0.182860673039485,repression
G50,G32,0.182121647157922,repression
G36,G67,0.181738341594336,repression
G35,G100,0.181729085936419,activation
G31,G26,0.180727152822567,repression
