,PseudoTime1,PseudoTime2
TS_0_0,0,0
TS_0_1,100,100
TS_0_2,200,200
TS_0_3,300,300
TS_0_4,400,400
TS_0_5,500,500
TS_0_6,600,600
TS_0_7,700,700
TS_0_8,800,800
TS_0_9,900,900
TS_0_10,1000,1000
TS_1_0,0,0
TS_1_1,100,100
TS_1_2,200,200
TS_1_3,300,300
TS_1_4,400,400
TS_1_5,500,500
TS_1_6,600,600
TS_1_7,700,700
TS_1_8,800,800
TS_1_9,900,900
TS_1_10,1000,1000
TS_2_0,0,0
TS_2_1,100,100
TS_2_2,200,200
TS_2_3,300,300
TS_2_4,400,400
TS_2_5,500,500
TS_2_6,600,600
TS_2_7,700,700
TS_2_8,800,800
TS_2_9,900,900
TS_2_10,1000,1000
TS_3_0,0,0
TS_3_1,100,100
TS_3_2,200,200
TS_3_3,300,300
TS_3_4,400,400
TS_3_5,500,500
TS_3_6,600,600
TS_3_7,700,700
TS_3_8,800,800
TS_3_9,900,900
TS_3_10,1000,1000
TS_4_0,0,0
TS_4_1,100,100
TS_4_2,200,200
TS_4_3,300,300
TS_4_4,400,400
TS_4_5,500,500
TS_4_6,600,600
TS_4_7,700,700
TS_4_8,800,800
TS_4_9,900,900
TS_4_10,1000,1000
TS_5_0,0,0
TS_5_1,100,100
TS_5_2,200,200
TS_5_3,300,300
TS_5_4,400,400
TS_5_5,500,500
TS_5_6,600,600
TS_5_7,700,700
TS_5_8,800,800
TS_5_9,900,900
TS_5_10,1000,1000
TS_6_0,0,0
TS_6_1,100,100
TS_6_2,200,200
TS_6_3,300,300
TS_6_4,400,400
TS_6_5,500,500
TS_6_6,600,600
TS_6_7,700,700
TS_6_8,800,800
TS_6_9,900,900
TS_6_10,1000,1000
TS_7_0,0,0
TS_7_1,100,100
TS_7_2,200,200
TS_7_3,300,300
TS_7_4,400,400
TS_7_5,500,500
TS_7_6,600,600
TS_7_7,700,700
TS_7_8,800,800
TS_7_9,900,900
TS_7_10,1000,1000
TS_8_0,0,0
TS_8_1,100,100
TS_8_2,200,200
TS_8_3,300,300
TS_8_4,400,400
TS_8_5,500,500
TS_8_6,600,600
TS_8_7,700,700
TS_8_8,800,800
TS_8_9,900,900
TS_8_10,1000,1000
TS_9_0,0,0
TS_9_1,100,100
TS_9_2,200,200
TS_9_3,300,300
TS_9_4,400,400
TS_9_5,500,500
TS_9_6,600,600
TS_9_7,700,700
TS_9_8,800,800
TS_9_9,900,900
TS_9_10,1000,1000
