TF	target	importance
G68	G33	0.14055014068611602
G37	G36	0.13683908201529119
G33	G68	0.13584273004652136
G56	G55	0.1308959342652162
G36	G37	0.12970050624287638
G24	G22	0.12619319952190775
G33	G53	0.11937261991560819
G6	G89	0.11891293503597675
G55	G56	0.1182529977196915
G80	G65	0.10953101201946071
G5	G85	0.1093754122832168
G89	G6	0.10833500657141663
G99	G54	0.10670571221377782
G23	G94	0.10535593068830236
G88	G78	0.10328410479931706
G68	G37	0.10302238212313557
G39	G41	0.1018567477370792
G48	G90	0.10149038903275671
G53	G33	0.09832861325011065
G34	G55	0.09751678925022148
G16	G34	0.09650141911022589
G68	G53	0.09626042613532518
G87	G99	0.0956915616494294
G90	G38	0.09541155962241404
G43	G48	0.09424497779144832
G53	G68	0.0939144580980654
G24	G82	0.09326200700475423
G36	G16	0.09317795760628829
G83	G79	0.09311605124505067
G38	G90	0.09302159276526314
G39	G46	0.09301093728419436
G91	G20	0.09265119754770361
G16	G36	0.09219234659359384
G65	G95	0.09210989018678294
G73	G7	0.09099746980668247
G20	G91	0.09091870438316647
G34	G16	0.0907995434852296
G30	G32	0.0907296269487517
G61	G79	0.09031766580389383
G95	G65	0.08950711121133625
G40	G97	0.08922731784383772
G34	G56	0.08914958087796757
G25	G76	0.08623495792030304
G5	G76	0.08450407913381024
G30	G29	0.08441195652159239
G75	G74	0.0824747105088824
G22	G24	0.08175706470692105
G29	G94	0.08167769254208622
G16	G56	0.08163393998952549
G55	G31	0.08156879856120905
G32	G19	0.08134491146799573
G32	G30	0.08124032508581192
G99	G87	0.08070428997419268
G33	G37	0.07918871302267767
G46	G39	0.07913762429085501
G24	G74	0.07890261296628666
G1	G18	0.07865445744083992
G6	G35	0.07832009744760074
G97	G40	0.0781324893585372
G68	G50	0.07664398527020513
G32	G42	0.07659772060201449
G88	G89	0.07654371775120145
G56	G34	0.0765398681783335
G37	G68	0.07653463504399709
G29	G30	0.07649895284205459
G94	G23	0.07634589983479356
G73	G85	0.0763048235944992
