,PseudoTime1,PseudoTime2
TS_0_0,0,0
TS_0_1,100,100
TS_0_2,200,200
TS_0_3,300,300
TS_0_4,400,400
TS_0_5,500,500
TS_0_6,600,600
TS_0_7,700,700
TS_0_8,800,800
TS_0_9,900,900
TS_0_10,1000,1000
TS_0_11,0,0
TS_0_12,100,100
TS_0_13,200,200
TS_0_14,300,300
TS_0_15,400,400
TS_0_16,500,500
TS_0_17,600,600
TS_0_18,700,700
TS_0_19,800,800
TS_0_20,900,900
TS_0_21,1000,1000
TS_0_22,0,0
TS_0_23,100,100
TS_0_24,200,200
TS_0_25,300,300
TS_0_26,400,400
TS_0_27,500,500
TS_0_28,600,600
TS_0_29,700,700
TS_0_30,800,800
TS_0_31,900,900
TS_0_32,1000,1000
TS_0_33,0,0
TS_0_34,100,100
TS_0_35,200,200
TS_0_36,300,300
TS_0_37,400,400
TS_0_38,500,500
TS_0_39,600,600
TS_0_40,700,700
TS_0_41,800,800
TS_0_42,900,900
TS_0_43,1000,1000
TS_0_44,0,0
TS_0_45,100,100
TS_0_46,200,200
TS_0_47,300,300
TS_0_48,400,400
TS_0_49,500,500
TS_0_50,600,600
TS_0_51,700,700
TS_0_52,800,800
TS_0_53,900,900
TS_0_54,1000,1000
TS_0_55,0,0
TS_0_56,100,100
TS_0_57,200,200
TS_0_58,300,300
TS_0_59,400,400
TS_0_60,500,500
TS_0_61,600,600
TS_0_62,700,700
TS_0_63,800,800
TS_0_64,900,900
TS_0_65,1000,1000
TS_0_66,0,0
TS_0_67,100,100
TS_0_68,200,200
TS_0_69,300,300
TS_0_70,400,400
TS_0_71,500,500
TS_0_72,600,600
TS_0_73,700,700
TS_0_74,800,800
TS_0_75,900,900
TS_0_76,1000,1000
TS_0_77,0,0
TS_0_78,100,100
TS_0_79,200,200
TS_0_80,300,300
TS_0_81,400,400
TS_0_82,500,500
TS_0_83,600,600
TS_0_84,700,700
TS_0_85,800,800
TS_0_86,900,900
TS_0_87,1000,1000
TS_0_88,0,0
TS_0_89,100,100
TS_0_90,200,200
TS_0_91,300,300
TS_0_92,400,400
TS_0_93,500,500
TS_0_94,600,600
TS_0_95,700,700
TS_0_96,800,800
TS_0_97,900,900
TS_0_98,1000,1000
TS_0_99,0,0
TS_0_100,100,100
TS_1_0,200,200
TS_1_1,300,300
TS_1_2,400,400
TS_1_3,500,500
TS_1_4,600,600
TS_1_5,700,700
TS_1_6,800,800
TS_1_7,900,900
TS_1_8,1000,1000
