Gene1	Gene2	Score
G36	G19	-0.883681998806785
G19	G36	-0.883681998806785
G61	G29	0.844833981235673
G29	G61	0.844833981235673
G36	G22	0.842567211653032
G22	G36	0.842567211653032
G86	G85	0.833264056932914
G85	G86	0.833264056932914
G86	G19	0.820804666979741
G19	G86	0.820804666979741
G23	G13	-0.81785915481841
G13	G23	-0.81785915481841
G85	G22	-0.809736205887362
G22	G85	-0.809736205887362
G85	G8	0.808177776659195
G8	G85	0.808177776659195
G22	G19	-0.805377776920946
G19	G22	-0.805377776920946
G22	G8	-0.797277066357229
G8	G22	-0.797277066357229
G85	G36	-0.790106770444874
G36	G85	-0.790106770444874
G86	G22	-0.784942330883336
G22	G86	-0.784942330883336
G13	G7	-0.78444695116126
G7	G13	-0.78444695116126
G58	G52	-0.772808475356789
G52	G58	-0.772808475356789
G13	G8	-0.772359367245859
G8	G13	-0.772359367245859
G47	G22	-0.768541495292015
G22	G47	-0.768541495292015
G86	G36	-0.762115036295101
G36	G86	-0.762115036295101
G36	G8	-0.761519099475709
G8	G36	-0.761519099475709
G85	G19	0.759552399928792
G19	G85	0.759552399928792
G67	G66	-0.757163954878874
G66	G67	-0.757163954878874
G76	G29	0.745356999344105
G29	G76	0.745356999344105
G22	G13	0.744703057389363
G13	G22	0.744703057389363
G47	G45	-0.743774606272793
G45	G47	-0.743774606272793
G86	G8	0.742283506956461
G8	G86	0.742283506956461
G86	G48	0.74225976140997
G48	G86	0.74225976140997
G49	G47	0.739245545877282
G47	G49	0.739245545877282
G88	G22	-0.738882439636778
G22	G88	-0.738882439636778
G19	G8	0.7362577411645
G8	G19	0.7362577411645
G88	G86	0.734632330126516
G86	G88	0.734632330126516
G65	G2	0.733486145752689
G2	G65	0.733486145752689
G46	G21	-0.73131653028725
G21	G46	-0.73131653028725
G70	G65	0.731242752444118
G65	G70	0.731242752444118
G47	G19	0.721650929853631
G19	G47	0.721650929853631
G23	G7	0.718724133941289
G7	G23	0.718724133941289
G84	G5	0.716167708261406
G5	G84	0.716167708261406
G45	G23	-0.712936606216401
G23	G45	-0.712936606216401
G76	G61	0.710083715396398
G61	G76	0.710083715396398
G47	G36	-0.709409983768188
G36	G47	-0.709409983768188
G45	G13	0.704808780180612
G13	G45	0.704808780180612
G61	G60	-0.703030886943427
G60	G61	-0.703030886943427
G91	G83	0.702892152417962
G83	G91	0.702892152417962
G31	G30	0.702751064961579
G30	G31	0.702751064961579
G49	G45	-0.701568377428526
G45	G49	-0.701568377428526
G86	G47	0.696347504773262
G47	G86	0.696347504773262
G84	G66	-0.695775242494363
G66	G84	-0.695775242494363
G88	G85	0.69487625301384
G85	G88	0.69487625301384
G91	G20	0.68808785427486
G20	G91	0.68808785427486
G58	G50	-0.687750510964769
G50	G58	-0.687750510964769
G76	G60	-0.684930140355001
G60	G76	-0.684930140355001
G82	G46	-0.680589102035978
G46	G82	-0.680589102035978
G45	G29	0.673343653696312
G29	G45	0.673343653696312
G60	G29	-0.67275710969077
G29	G60	-0.67275710969077
G21	G12	0.670290038409861
G12	G21	0.670290038409861
G13	G12	0.669876970074494
G12	G13	0.669876970074494
G85	G13	-0.66711257324882
G13	G85	-0.66711257324882
G21	G13	0.664922437465819
G13	G21	0.664922437465819
G61	G45	0.662079123514071
G45	G61	0.662079123514071
G86	G31	-0.661901382924863
G31	G86	-0.661901382924863
G47	G31	-0.661075392432174
G31	G47	-0.661075392432174
G45	G42	0.660080233005351
G42	G45	0.660080233005351
G35	G14	0.658910135393499
G14	G35	0.658910135393499
G8	G7	0.658829167942789
G7	G8	0.658829167942789
G51	G2	0.657846811091976
G2	G51	0.657846811091976
G70	G41	-0.657077555336417
G41	G70	-0.657077555336417
G85	G48	0.656317549515071
G48	G85	0.656317549515071
G66	G5	-0.655385352360471
G5	G66	-0.655385352360471
G36	G12	0.65182152557339
G12	G36	0.65182152557339
G51	G18	-0.651284834167005
G18	G51	-0.651284834167005
G48	G19	0.651002782876122
G19	G48	0.651002782876122
G95	G57	-0.649770328943301
G57	G95	-0.649770328943301
G88	G19	0.648964642430862
G19	G88	0.648964642430862
G31	G27	0.646720290821241
G27	G31	0.646720290821241
G31	G22	0.644542483758119
G22	G31	0.644542483758119
G83	G39	0.643642912400123
G39	G83	0.643642912400123
G36	G13	0.643225522279221
G13	G36	0.643225522279221
G42	G23	-0.64280334758177
G23	G42	-0.64280334758177
G86	G13	-0.642301945469494
G13	G86	-0.642301945469494
G36	G29	0.642005940750111
G29	G36	0.642005940750111
G88	G36	-0.64026988961258
G36	G88	-0.64026988961258
G42	G13	0.639789352912103
G13	G42	0.639789352912103
G48	G31	-0.639111350309389
G31	G48	-0.639111350309389
G29	G19	-0.638091561047855
G19	G29	-0.638091561047855
G65	G51	0.637932709326349
G51	G65	0.637932709326349
G55	G51	-0.637847620975954
G51	G55	-0.637847620975954
G57	G55	-0.637402670790453
G55	G57	-0.637402670790453
G91	G67	-0.637004445348175
G67	G91	-0.637004445348175
G67	G20	-0.634258237085817
G20	G67	-0.634258237085817
G71	G68	-0.634072992155653
G68	G71	-0.634072992155653
G31	G16	0.632076823306896
G16	G31	0.632076823306896
G47	G13	-0.62867564967906
G13	G47	-0.62867564967906
G19	G12	-0.628516712153332
G12	G19	-0.628516712153332
G57	G36	0.626583013749215
G36	G57	0.626583013749215
G88	G8	0.624641951755114
G8	G88	0.624641951755114
G42	G21	0.624415952741143
G21	G42	0.624415952741143
G47	G8	0.622620823688551
G8	G47	0.622620823688551
G23	G8	0.622604725258267
G8	G23	0.622604725258267
G43	G27	-0.620874858063914
G27	G43	-0.620874858063914
G85	G47	0.620847342031836
G47	G85	0.620847342031836
G48	G22	-0.618876572589111
G22	G48	-0.618876572589111
G19	G13	-0.6166525379678
G13	G19	-0.6166525379678
G79	G51	-0.613624409069224
G51	G79	-0.613624409069224
G98	G63	-0.613583443781533
G63	G98	-0.613583443781533
G88	G64	-0.612123649142529
G64	G88	-0.612123649142529
G23	G21	-0.611212228564015
G21	G23	-0.611212228564015
G67	G55	-0.6094205018498
G55	G67	-0.6094205018498
G46	G13	-0.60693313000535
G13	G46	-0.60693313000535
G47	G23	0.605945885096464
G23	G47	0.605945885096464
G97	G45	-0.605381414057076
G45	G97	-0.605381414057076
G36	G16	0.604843683904379
G16	G36	0.604843683904379
G88	G16	-0.604245228646775
G16	G88	-0.604245228646775
G69	G65	0.601987424211133
G65	G69	0.601987424211133
G21	G8	-0.600063170728734
G8	G21	-0.600063170728734
G46	G42	-0.599896510575321
G42	G46	-0.599896510575321
G42	G8	-0.597600729194151
G8	G42	-0.597600729194151
G4	G1	-0.5942395853839
G1	G4	-0.5942395853839
G89	G58	0.594146156982591
G58	G89	0.594146156982591
G23	G22	-0.593405259518599
