,PseudoTime1,PseudoTime2
TS_0_0,0,0
TS_0_1,10,10
TS_0_2,20,20
TS_0_3,30,30
TS_0_4,40,40
TS_0_5,50,50
TS_0_6,60,60
TS_0_7,70,70
TS_0_8,80,80
TS_0_9,90,90
TS_0_10,100,100
TS_0_11,110,110
TS_0_12,120,120
TS_0_13,130,130
TS_0_14,140,140
TS_0_15,150,150
TS_0_16,160,160
TS_0_17,170,170
TS_0_18,180,180
TS_0_19,190,190
TS_0_20,200,200
TS_0_21,210,210
TS_0_22,220,220
TS_0_23,230,230
TS_0_24,240,240
TS_0_25,250,250
TS_0_26,260,260
TS_0_27,270,270
TS_0_28,280,280
TS_0_29,290,290
TS_0_30,300,300
TS_0_31,310,310
TS_0_32,320,320
TS_0_33,330,330
TS_0_34,340,340
TS_0_35,350,350
TS_0_36,360,360
TS_0_37,370,370
TS_0_38,380,380
TS_0_39,390,390
TS_0_40,400,400
TS_0_41,410,410
TS_0_42,420,420
TS_0_43,430,430
TS_0_44,440,440
TS_0_45,450,450
TS_0_46,460,460
TS_0_47,470,470
TS_0_48,480,480
TS_0_49,490,490
TS_0_50,500,500
TS_0_51,510,510
TS_0_52,520,520
TS_0_53,530,530
TS_0_54,540,540
TS_0_55,550,550
TS_0_56,560,560
TS_0_57,570,570
TS_0_58,580,580
TS_0_59,590,590
TS_0_60,600,600
TS_0_61,610,610
TS_0_62,620,620
TS_0_63,630,630
TS_0_64,640,640
TS_0_65,650,650
TS_0_66,660,660
TS_0_67,670,670
TS_0_68,680,680
TS_0_69,690,690
TS_0_70,700,700
TS_0_71,710,710
TS_0_72,720,720
TS_0_73,730,730
TS_0_74,740,740
TS_0_75,750,750
TS_0_76,760,760
TS_0_77,770,770
TS_0_78,780,780
TS_0_79,790,790
TS_0_80,800,800
TS_0_81,810,810
TS_0_82,820,820
TS_0_83,830,830
TS_0_84,840,840
TS_0_85,850,850
TS_0_86,860,860
TS_0_87,870,870
TS_0_88,880,880
TS_0_89,890,890
TS_0_90,900,900
TS_0_91,910,910
TS_0_92,920,920
TS_0_93,930,930
TS_0_94,940,940
TS_0_95,950,950
TS_0_96,960,960
TS_0_97,970,970
TS_0_98,980,980
TS_0_99,990,990
TS_0_100,1000,1000
TS_1_0,0,0
TS_1_1,10,10
TS_1_2,20,20
TS_1_3,30,30
TS_1_4,40,40
TS_1_5,50,50
TS_1_6,60,60
TS_1_7,70,70
TS_1_8,80,80
TS_1_9,90,90
TS_1_10,100,100
TS_1_11,110,110
TS_1_12,120,120
TS_1_13,130,130
TS_1_14,140,140
TS_1_15,150,150
TS_1_16,160,160
TS_1_17,170,170
TS_1_18,180,180
TS_1_19,190,190
TS_1_20,200,200
TS_1_21,210,210
TS_1_22,220,220
TS_1_23,230,230
TS_1_24,240,240
TS_1_25,250,250
TS_1_26,260,260
TS_1_27,270,270
TS_1_28,280,280
TS_1_29,290,290
TS_1_30,300,300
TS_1_31,310,310
TS_1_32,320,320
TS_1_33,330,330
TS_1_34,340,340
TS_1_35,350,350
TS_1_36,360,360
TS_1_37,370,370
TS_1_38,380,380
TS_1_39,390,390
TS_1_40,400,400
TS_1_41,410,410
TS_1_42,420,420
TS_1_43,430,430
TS_1_44,440,440
TS_1_45,450,450
TS_1_46,460,460
TS_1_47,470,470
TS_1_48,480,480
TS_1_49,490,490
TS_1_50,500,500
TS_1_51,510,510
TS_1_52,520,520
TS_1_53,530,530
TS_1_54,540,540
TS_1_55,550,550
TS_1_56,560,560
TS_1_57,570,570
TS_1_58,580,580
TS_1_59,590,590
TS_1_60,600,600
TS_1_61,610,610
TS_1_62,620,620
TS_1_63,630,630
TS_1_64,640,640
TS_1_65,650,650
TS_1_66,660,660
TS_1_67,670,670
TS_1_68,680,680
TS_1_69,690,690
TS_1_70,700,700
TS_1_71,710,710
TS_1_72,720,720
TS_1_73,730,730
TS_1_74,740,740
TS_1_75,750,750
TS_1_76,760,760
