Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G51	G51	1	0
G52	G52	1	0
G53	G53	1	0
G54	G54	1	0
G55	G55	1	0
G56	G56	1	0
G57	G57	1	0
G58	G58	1	0
G59	G59	1	0
G60	G60	1	0
G61	G61	1	0
G62	G62	1	0
G63	G63	1	0
G64	G64	1	0
G65	G65	1	0
G66	G66	1	0
G67	G67	1	0
G68	G68	1	0
G69	G69	1	0
G70	G70	1	0
G71	G71	1	0
G72	G72	1	0
G73	G73	1	0
G74	G74	1	0
G75	G75	1	0
G76	G76	1	0
G77	G77	1	0
G78	G78	1	0
G79	G79	1	0
G80	G80	1	0
G81	G81	1	0
G82	G82	1	0
G83	G83	1	0
G84	G84	1	0
G85	G85	1	0
G86	G86	1	0
G87	G87	1	0
G88	G88	1	0
G89	G89	1	0
G90	G90	1	0
G91	G91	1	0
G92	G92	1	0
G93	G93	1	0
G94	G94	1	0
G95	G95	1	0
G96	G96	1	0
G97	G97	1	0
G98	G98	1	0
G99	G99	1	0
G100	G100	1	0
G59	G58	0.368519642181283	1.0252062828076e-30
G58	G59	0.368519642181283	1.02520628280772e-30
G15	G63	0.281270598602469	4.80454769035515e-18
G63	G15	0.281270598602469	4.80454769035536e-18
G56	G65	0.263643120891318	5.74704224214324e-16
G65	G56	0.263643120891318	5.74704224214408e-16
G66	G65	0.257368252813574	2.90170955412609e-15
G65	G66	0.257368252813573	2.90170955412632e-15
G4	G3	0.247088128334946	3.75142767387361e-14
G3	G4	0.247088128334946	3.75142767387361e-14
G99	G85	0.245116691563611	6.04876289547692e-14
G85	G99	0.245116691563611	6.04876289547732e-14
G4	G92	0.235566236618715	5.76911887470552e-13
G92	G4	0.235566236618715	5.76911887470556e-13
G59	G61	0.213885931749564	6.75405143052081e-11
G61	G59	0.213885931749564	6.75405143052129e-11
G62	G65	0.212548656247107	8.91707610589725e-11
G65	G62	0.212548656247106	8.91707610589772e-11
G66	G62	0.204775694147611	4.32372853646701e-10
G62	G66	0.204775694147611	4.32372853646706e-10
G66	G59	0.202108189909682	7.32852116943749e-10
G59	G66	0.202108189909681	7.32852116943779e-10
G15	G3	0.193169096140724	4.07661166268551e-09
G3	G15	0.193169096140724	4.07661166268555e-09
G71	G15	0.190967281116286	6.14542745008294e-09
G15	G71	0.190967281116285	6.14542745008319e-09
G59	G56	0.186874067817941	1.30130363567013e-08
G56	G59	0.18687406781794	1.30130363567029e-08
G4	G82	0.180970515834386	3.72970616136605e-08
G82	G4	0.180970515834386	3.72970616136636e-08
G60	G3	0.178848187096902	5.40064678366009e-08
G3	G60	0.178848187096902	5.40064678366015e-08
G65	G60	0.177899185207814	6.36380298244597e-08
G60	G65	0.177899185207814	6.36380298244645e-08
G59	G11	0.177797365110245	6.47650726650121e-08
G11	G59	0.177797365110245	6.47650726650138e-08
G66	G44	0.169218704404057	2.74156428166747e-07
G44	G66	0.169218704404057	2.74156428166752e-07
G1	G15	0.167266739559804	3.76941212625759e-07
G15	G1	0.167266739559803	3.76941212625771e-07
G85	G1	0.166319693427171	4.39327450006978e-07
G1	G85	0.166319693427171	4.39327450006993e-07
G66	G64	0.164427941446053	5.95024545734863e-07
G64	G66	0.164427941446053	5.95024545734875e-07
G36	G93	0.164068527889101	6.30082041532779e-07
G93	G36	0.164068527889101	6.30082041532788e-07
G19	G58	0.16395940256424	6.41113849454165e-07
G58	G19	0.16395940256424	6.41113849454168e-07
G26	G85	0.163724485698728	6.65496444965638e-07
G85	G26	0.163724485698727	6.65496444965696e-07
G1	G3	0.162281824579311	8.35978655551812e-07
G3	G1	0.162281824579311	8.35978655551842e-07
