Gene1	Gene2	Score
G69	G23	-0.876608671624382
G23	G69	-0.876608671624382
G54	G23	-0.840295615105648
G23	G54	-0.840295615105648
G79	G47	0.827712518427112
G47	G79	0.827712518427112
G68	G11	0.812442979032501
G11	G68	0.812442979032501
G56	G23	-0.807617546631847
G23	G56	-0.807617546631847
G81	G48	-0.803129701245656
G48	G81	-0.803129701245656
G72	G23	-0.789301054746256
G23	G72	-0.789301054746256
G84	G23	-0.788886046710776
G23	G84	-0.788886046710776
G69	G54	0.785253995589393
G54	G69	0.785253995589393
G7	G4	-0.775378850062499
G4	G7	-0.775378850062499
G75	G68	-0.766789635088473
G68	G75	-0.766789635088473
G72	G54	0.765826286588483
G54	G72	0.765826286588483
G36	G28	-0.764718839326853
G28	G36	-0.764718839326853
G99	G74	0.74543624347387
G74	G99	0.74543624347387
G12	G10	0.738071652326896
G10	G12	0.738071652326896
G72	G69	0.73691396232623
G69	G72	0.73691396232623
G71	G23	0.73193436408343
G23	G71	0.73193436408343
G74	G59	-0.729969775349129
G59	G74	-0.729969775349129
G71	G59	-0.727510991273576
G59	G71	-0.727510991273576
G84	G56	0.72199022750034
G56	G84	0.72199022750034
G75	G30	0.719134828913188
G30	G75	0.719134828913188
G58	G37	0.709665925271685
G37	G58	0.709665925271685
G85	G11	-0.702284493304996
G11	G85	-0.702284493304996
G68	G9	-0.699556393043789
G9	G68	-0.699556393043789
G92	G82	0.693264346371125
G82	G92	0.693264346371125
G56	G54	0.692857698439239
G54	G56	0.692857698439239
G69	G56	0.692205151954437
G56	G69	0.692205151954437
G81	G52	-0.687905114832215
G52	G81	-0.687905114832215
G84	G69	0.684832089003829
G69	G84	0.684832089003829
G72	G56	0.682173208577424
G56	G72	0.682173208577424
G52	G28	-0.679743304203686
G28	G52	-0.679743304203686
G52	G48	0.674293407843847
G48	G52	0.674293407843847
G52	G34	0.670181736943116
G34	G52	0.670181736943116
G48	G12	0.669049783246581
G12	G48	0.669049783246581
G10	G6	0.65593972136005
G6	G10	0.65593972136005
G71	G41	0.654369572860213
G41	G71	0.654369572860213
G84	G72	0.653413520527103
G72	G84	0.653413520527103
G74	G71	0.653127941850981
