,TS_0_0,TS_0_1,TS_0_2,TS_0_3,TS_0_4,TS_0_5,TS_0_6,TS_0_7,TS_0_8,TS_0_9,TS_0_10,TS_1_0,TS_1_1,TS_1_2,TS_1_3,TS_1_4,TS_1_5,TS_1_6,TS_1_7,TS_1_8,TS_1_9,TS_1_10,TS_2_0,TS_2_1,TS_2_2,TS_2_3,TS_2_4,TS_2_5,TS_2_6,TS_2_7,TS_2_8,TS_2_9,TS_2_10,TS_3_0,TS_3_1,TS_3_2,TS_3_3,TS_3_4,TS_3_5,TS_3_6,TS_3_7,TS_3_8,TS_3_9,TS_3_10,TS_4_0,TS_4_1,TS_4_2,TS_4_3,TS_4_4,TS_4_5,TS_4_6,TS_4_7,TS_4_8,TS_4_9,TS_4_10,TS_5_0,TS_5_1,TS_5_2,TS_5_3,TS_5_4,TS_5_5,TS_5_6,TS_5_7,TS_5_8,TS_5_9,TS_5_10,TS_6_0,TS_6_1,TS_6_2,TS_6_3,TS_6_4,TS_6_5,TS_6_6,TS_6_7,TS_6_8,TS_6_9,TS_6_10,TS_7_0,TS_7_1,TS_7_2,TS_7_3,TS_7_4,TS_7_5,TS_7_6,TS_7_7,TS_7_8,TS_7_9,TS_7_10,TS_8_0,TS_8_1,TS_8_2,TS_8_3,TS_8_4,TS_8_5,TS_8_6,TS_8_7,TS_8_8,TS_8_9,TS_8_10,TS_9_0,TS_9_1,TS_9_2,TS_9_3,TS_9_4,TS_9_5,TS_9_6,TS_9_7,TS_9_8,TS_9_9,TS_9_10
G1,0.0317276,0.0310998,0.0482037,0.0624165,0.0188468,0.0163667,0.0545419,0.0322574,0.0562934,0.0383976,0.042502,0.0418451,0.06202,0.4072062,0.4703922,0.7628983,0.5523853,0.5312169,0.3985531,0.1586467,0.0648957,0.0882047,0.0604693,0.0624732,0.3864952,0.3626751,0.3859717,0.3624538,0.4372514,0.4375004,0.3023231,0.1518661,0.082823,0.0177569,0.0056042,0.0524383,0.0684378,0.0669838,0.0520097,0.0310084,0.0975419,0.0559764,0.1772192,0.1133814,0.0204865,0.0875751,0.0401359,0.0491869,0.0825031,0.1203296,0.0384102,0.0484701,0.0481335,0.0403198,0.0530436,0.0478288,0.0638184,0.0758832,0.1386232,0.065025,0.0628732,0.1489465,0.1388445,0.1079403,0.1392674,0.0902595,0.0412421,0.0195752,0.3520366,0.6366664,0.5787234,0.5676037,0.5018241,0.5068728,0.3064414,0.1260919,0.0281415,0.0309631,0.0348315,0.0891445,0.1445375,0.0904356,0.0597458,0.0599082,0.1191281,0.1172011,0.0703479,0.041123,0.0378406,0.0617572,0.0454729,0.1586112,0.2401581,0.232869,0.2411825,0.1881949,0.0833846,0.0482133,0.0213536,0.0382454,0.0962035,0.2878964,0.438973,0.6043195,0.6287105,0.5616352,0.4037471,0.1373172,0.1134865,0.0984133
G2,0.0107738,0.0131619,0.023453,0.0224749,0.0038412,0.0113249,0.0265572,0.0096596,0.0044542,0.0395854,0.0109533,0.0081181,0.0338668,0.2757617,0.3956105,0.4983933,0.485438,0.0825167,0.0201943,0.0285474,0.0111356,0.0521453,0.0180359,0.113994,0.4647094,0.5810945,0.6298178,0.487978,0.1792456,0.0313575,0.0104672,0.0190675,0.0124578,0.0256925,0.0185896,0.0235103,0.003113,0.0117857,0.020071,0.0327179,0.0108929,0.0206224,0.0148024,0.014604,0.0289039,0.0324824,0.0126092,0.0125112,0.0320491,0.0166199,0.0154769,0.0177352,0.0359467,0.0206091,0.0152671,0.016913,0.0164946,0.0176386,0.00683,0.0174627,0.0170981,0.0196117,0.0153562,0.0223864,0.0310966,0.0136033,0.0052515,0.0407887,0.2616094,0.2718493,0.4275945,0.4348077,0.1516375,0.0498929,0.0305509,0.0097747,0.0284743,0.0183351,0.0297254,0.045394,0.0330084,0.0385524,0.0271669,0.0210567,0.0260063,0.0107323,0.0132582,0.0368305,0.006863,0.0101356,0.0450782,0.0602216,0.0676347,0.0562995,0.0488238,0.0142195,0.0119782,0.0296047,0.0075426,0.0178076,0.052974,0.358859,0.1927769,0.316065,0.3384906,0.0878866,0.0566334,0.0178309,0.0119803,0.0416642
G3,0.1036817,0.5452819,0.3772775,0.6007033,0.2309094,0.0633923,0.2706969,0.2633675,0.285044,0.4731343,0.3137602,0.1253461,0.480318,0.6322029,0.6123664,0.558361,0.5775144,0.8146565,0.6546265,0.7039746,0.4799901,0.5119361,0.1102272,0.5664929,0.6032436,0.6480552,0.7067318,0.8299581,0.683356,0.6283842,0.6212931,0.7595739,0.5248329,0.1093878,0.0446925,0.3370992,0.6205096,0.4159111,0.1353991,0.1264367,0.4873615,0.6155424,0.6601244,0.5432233,0.1103089,0.495974,0.4832382,0.4405217,0.498097,0.7062728,0.3915793,0.2116883,0.1353359,0.1752291,0.2584426,0.0873009,0.3842723,0.5165193,0.4328089,0.5027767,0.5212709,0.6361967,0.6719828,0.6283706,0.5920277,0.4445956,0.1375994,0.4531094,0.7946342,0.7919545,0.6012255,0.7367442,0.6920795,0.561995,0.7207537,0.535308,0.4305438,0.0876062,0.2646458,0.6920873,0.672398,0.7792955,0.5585466,0.7132145,0.615302,0.4172088,0.3805395,0.4759399,0.0776719,0.5861054,0.8349602,0.6173008,0.566299,0.6857686,0.7051871,0.6074703,0.3710026,0.035849,0.248274,0.1193473,0.5851936,0.7637531,0.8492423,0.70459,0.6515365,0.6560321,0.5996033,0.6529858,0.781817,0.7094379
G4,0.036212,0.1507352,0.106943,0.1532245,0.1017721,0.0391556,0.0821057,0.1147172,0.0787829,0.1049662,0.1045352,0.0353244,0.1109815,0.1445745,0.1496287,0.1844205,0.1705069,0.2077603,0.1555898,0.1404643,0.1393019,0.1110179,0.0350509,0.1344688,0.1379266,0.2128351,0.1931911,0.1925667,0.1463395,0.2482972,0.1360918,0.1850036,0.1788825,0.0214481,0.2681135,0.4169565,0.4882068,0.4417571,0.4202972,0.0414002,0.1068102,0.1615841,0.1323038,0.1678033,0.0265066,0.0966031,0.1318715,0.1063471,0.2174272,0.1398623,0.1672428,0.0947204,0.0664355,0.0743754,0.0993132,0.0343218,0.1173218,0.1134636,0.1286478,0.1364051,0.1282888,0.209294,0.1739746,0.1465761,0.1775019,0.1190664,0.0190491,0.1197235,0.0911973,0.2556319,0.2119674,0.1857121,0.2053269,0.1714005,0.1789259,0.1623898,0.0860711,0.0437063,0.0693505,0.1437506,0.1297414,0.1721047,0.1669255,0.1325253,0.1014297,0.1255011,0.1220513,0.1218823,0.0207841,0.1747656,0.1833061,0.202033,0.2104542,0.2460793,0.2234756,0.2374958,0.1370897,0.0256286,0.0509422,0.0246553,0.1721213,0.2117488,0.1589063,0.2119693,0.1495357,0.1682884,0.1732889,0.1793274,0.1074865,0.180507
G5,0.6628684,0.6972541,0.7157221,0.6266794,0.7000669,0.6715725,0.6258212,0.7036859,0.5919989,0.6534425,0.6395701,0.7075663,0.7405803,0.6980722,0.6821294,0.7077904,0.7123776,0.6891743,0.6874005,0.7037405,0.7197184,0.534136,0.7745352,0.5210856,0.6266335,0.7027359,0.6322973,0.68598,0.7380637,0.6861878,0.7450815,0.7902063,0.7864293,0.7122286,0.770297,0.7150218,0.6254008,0.781719,0.7768259,0.6990486,0.6628075,0.7045708,0.5553363,0.6943066,0.7401907,0.6063069,0.9118049,0.750978,0.7154454,0.7409121,0.7136873,0.6521118,0.6695352,0.5638202,0.6291339,0.6699643,0.482474,0.5203565,0.5171516,0.5476783,0.5945827,0.6578173,0.6558178,0.7720963,0.6988589,0.7723253,0.738736,0.6607988,0.6442564,0.7655301,0.6954982,0.6627095,0.6711035,0.6123406,0.6421303,0.6772258,0.6501003,0.7413726,0.7894461,0.6571507,0.6182187,0.7375945,0.6249801,0.5792214,0.6865086,0.7126299,0.6430711,0.7209665,0.7475243,0.7304949,0.6620512,0.6904148,0.792165,0.6606342,0.5852505,0.7066394,0.6170642,0.9797345,0.802426,0.7314974,0.7855222,0.6582673,0.7619396,0.6582058,0.643186,0.788098,0.7028415,0.5974669,0.7146729,0.6701425
G6,0.0225104,0.0079602,0.0164381,0.0119613,0.0111892,0.0033001,0.0111035,0.0056034,0.0080095,0.0107095,0.0199503,0.0161285,0.0065504,0.010522,0.0049591,0.0076087,0.0062984,0.0068031,0.0094963,0.0112859,0.0006361,0.0028497,0.012626,0.0282531,0.0293168,0.0095554,0.0064193,0.0141836,0.0035848,0.0072271,0.0068216,0.0019267,0.0126548,0.0039031,0.0093463,0.0026145,0.0073413,0.0018731,0.0146639,0.0213636,0.0077396,0.0148798,0.0057226,0.0081367,0.0177976,0.000515,0.0,0.0017573,0.000622,0.0036587,0.0057152,0.0109627,0.0060231,0.0218156,0.0064116,0.0209974,0.009644,0.0150233,0.0069847,0.0158889,0.0109869,0.0072044,0.0102747,0.0105691,0.0018722,0.0027639,0.0096135,7.18e-05,0.0027689,0.0001809,0.0030278,0.0,0.0036557,0.0037219,0.0103942,0.002075,0.0192324,0.0084751,3.45e-05,0.0004128,2e-05,0.0009331,0.0003022,0.0113323,0.0058024,0.009221,0.0073501,0.0060707,0.0142831,0.0143648,0.0086065,0.0125501,0.0152531,0.0303077,0.0016703,0.0192493,0.0055096,0.0080677,0.0091554,0.0240979,0.0002631,0.0001871,9.7e-06,0.0002885,0.0,0.005669,0.0061405,0.0153957,0.0189969,0.0193608
G7,0.7488708,0.6891384,0.6805094,0.6586137,0.5806229,0.590607,0.614234,0.6925314,0.6917204,0.6329388,0.803882,0.6764518,0.6168257,0.7618415,0.6371125,0.5890116,0.7008135,0.7147292,0.6583957,0.763171,0.7221521,0.641458,0.9207116,0.6841157,0.722161,0.6155856,0.7619068,0.7368306,0.7063214,0.6984212,0.6942462,0.7895935,0.8747383,0.6382777,0.763014,0.7126679,0.577932,0.5734988,0.7297619,0.5470666,0.5650137,0.6739563,0.6835938,0.6763662,0.8176708,0.6090243,0.8013275,0.6141947,0.7691094,0.6354506,0.7978968,0.6332421,0.6725636,0.6733826,0.7144183,0.6937873,0.668078,0.7187853,0.7000606,0.5224247,0.7607685,0.735612,0.7178655,0.6186275,0.8280422,0.6764723,0.7845096,0.7396746,0.5531608,0.6990497,0.7795922,0.6554257,0.6275285,0.7100687,0.6638036,0.6467005,0.7987342,0.7434845,0.6543752,0.7491139,0.7097592,0.6127911,0.7120885,0.6112985,0.6413379,0.7132736,0.775661,0.6624617,0.7834326,0.6791927,0.7216526,0.7271547,0.6214864,0.824145,0.6888146,0.7611599,0.6708643,0.622504,0.6465923,0.7343403,0.6910272,0.5753157,0.6097215,0.6920011,0.7840503,0.6456559,0.5660999,0.516906,0.633513,0.6629916
G8,0.7631319,0.5813886,0.7268701,0.6939302,0.7569731,0.7928907,0.8221597,0.6167463,0.7252059,0.6185687,0.6997944,0.6775237,0.6514394,0.8152431,0.6764331,0.7178805,0.5932208,0.705472,0.6808399,0.6640941,0.6663094,0.6695024,0.556305,0.565499,0.6428958,0.775741,0.7925924,0.6748466,0.5199046,0.6855657,0.6843346,0.6860304,0.6935685,0.6923711,0.5647618,0.685676,0.680561,0.7949823,0.6058802,0.7499434,0.7711758,0.6490996,0.6727172,0.8162126,0.683164,0.5461006,0.6630739,0.6549625,0.6815428,0.7277148,0.6980506,0.560961,0.6094401,0.7396212,0.7745505,0.624358,0.6262933,0.6092466,0.7124808,0.6878371,0.6859644,0.6618263,0.6502312,0.7002854,0.6097609,0.7538071,0.7404293,0.5576818,0.6396815,0.6724535,0.6777621,0.8150326,0.6299789,0.7329994,0.7245406,0.7041874,0.6195075,0.6504187,0.7254102,0.6669782,0.7045335,0.6188551,0.6619845,0.6489974,0.6186368,0.895217,0.6896367,0.5448984,0.6420258,0.6641255,0.6460257,0.72268,0.7079931,0.5464717,0.7357995,0.691354,0.6322227,0.7346107,0.5335513,0.5895753,0.7219418,0.7818856,0.706878,0.6480405,0.6269764,0.6915735,0.6647589,0.7475966,0.6616202,0.6606036
G9,0.0191905,0.0187851,0.0125478,0.0291528,0.0182907,0.0310546,0.0059558,0.0237233,0.0164904,0.0382729,0.0201045,0.0199718,0.0232605,0.012063,0.0208342,0.0057828,0.0208181,0.0111449,0.018184,0.0261602,0.0255834,0.0092749,0.0092379,0.0,0.0052769,0.0003861,0.0053393,5.09e-05,0.0188278,0.0162819,0.012315,0.0279966,0.0127585,0.005515,0.0006449,2.56e-05,0.0,0.0007054,0.0009726,0.0105748,0.0159575,0.0446341,0.0150297,0.0136741,0.0116823,0.027719,0.009863,0.0138313,0.0133028,0.059491,0.0324666,0.0043162,0.0124198,0.021984,0.0313308,0.0111192,0.0011639,0.0030992,0.0013337,0.0009289,0.0019109,0.0145234,0.0097825,0.0256255,0.019724,0.0134964,0.0041235,0.0362473,0.0055987,0.019944,0.0078756,0.0370887,0.0320177,0.0099833,0.0126395,0.0034677,0.0382958,0.014609,0.0100573,0.013348,0.0090388,0.0130515,0.0420669,0.030169,0.0064837,0.0169906,0.0181066,0.0261562,0.0206693,0.0092784,0.0160999,0.0244155,0.0115826,0.0287466,0.019006,0.0198077,0.0169273,0.0257966,0.0050581,0.0214883,0.0632541,0.0090903,0.0268497,0.0264028,0.0024751,0.011694,0.0133453,0.0098406,0.012411,0.0111982
G10,0.6166077,0.6918747,0.8261976,0.662015,0.6476393,0.6987383,0.6839631,0.8660873,0.6736434,0.6159802,0.7276711,0.7366532,0.7466333,0.6694503,0.7722111,0.6609041,0.6806224,0.7741991,0.7137326,0.6494932,0.6295846,0.7084126,0.6223723,0.6069175,0.6271655,0.761158,0.7608624,0.7307705,0.6588467,0.6791708,0.6980077,0.7323525,0.6557217,0.6695202,0.5371322,0.5984385,0.6574785,0.6611495,0.5995424,0.6923142,0.7071083,0.6948242,0.6739921,0.6184874,0.7440568,0.6184867,0.7268678,0.6417846,0.6468504,0.6371723,0.6498451,0.6440318,0.6695161,0.6417526,0.6860001,0.7418548,0.7249583,0.6706126,0.568264,0.7269565,0.6312523,0.7882974,0.7025991,0.7419595,0.7004026,0.7854703,0.6252144,0.7186211,0.6832621,0.598165,0.5962254,0.8802166,0.7103903,0.5768959,0.6338588,0.6627559,0.7147213,0.7433506,0.7278955,0.728979,0.7819097,0.7758292,0.7279382,0.7873977,0.6967812,0.6623705,0.525856,0.7063159,0.7319463,0.6840741,0.7276955,0.6751969,0.6751728,0.6756589,0.7684807,0.6535461,0.5948084,0.7395655,0.6635406,0.7472656,0.6907314,0.7027003,0.6071022,0.6803253,0.6149465,0.6718481,0.7215558,0.6329094,0.5999171,0.6858257
