,PseudoTime1,PseudoTime2
TS_0_0,0,0
TS_0_1,20,20
TS_0_2,40,40
TS_0_3,60,60
TS_0_4,80,80
TS_0_5,100,100
TS_0_6,120,120
TS_0_7,140,140
TS_0_8,160,160
TS_0_9,180,180
TS_0_10,200,200
TS_0_11,220,220
TS_0_12,240,240
TS_0_13,260,260
TS_0_14,280,280
TS_0_15,300,300
TS_0_16,320,320
TS_0_17,340,340
TS_0_18,360,360
TS_0_19,380,380
TS_0_20,400,400
TS_0_21,420,420
TS_0_22,440,440
TS_0_23,460,460
TS_0_24,480,480
TS_0_25,500,500
TS_0_26,520,520
TS_0_27,540,540
TS_0_28,560,560
TS_0_29,580,580
TS_0_30,600,600
TS_0_31,620,620
TS_0_32,640,640
TS_0_33,660,660
TS_0_34,680,680
TS_0_35,700,700
TS_0_36,720,720
TS_0_37,740,740
TS_0_38,760,760
TS_0_39,780,780
TS_0_40,800,800
TS_0_41,820,820
TS_0_42,840,840
TS_0_43,860,860
TS_0_44,880,880
TS_0_45,900,900
TS_0_46,920,920
TS_0_47,940,940
TS_0_48,960,960
TS_0_49,980,980
TS_0_50,1000,1000
TS_1_0,0,0
TS_1_1,20,20
TS_1_2,40,40
TS_1_3,60,60
TS_1_4,80,80
TS_1_5,100,100
TS_1_6,120,120
TS_1_7,140,140
TS_1_8,160,160
TS_1_9,180,180
TS_1_10,200,200
TS_1_11,220,220
TS_1_12,240,240
TS_1_13,260,260
TS_1_14,280,280
TS_1_15,300,300
TS_1_16,320,320
TS_1_17,340,340
TS_1_18,360,360
TS_1_19,380,380
TS_1_20,400,400
TS_1_21,420,420
TS_1_22,440,440
TS_1_23,460,460
TS_1_24,480,480
TS_1_25,500,500
TS_1_26,520,520
TS_1_27,540,540
TS_1_28,560,560
TS_1_29,580,580
TS_1_30,600,600
TS_1_31,620,620
TS_1_32,640,640
TS_1_33,660,660
TS_1_34,680,680
TS_1_35,700,700
TS_1_36,720,720
TS_1_37,740,740
TS_1_38,760,760
TS_1_39,780,780
TS_1_40,800,800
TS_1_41,820,820
TS_1_42,840,840
TS_1_43,860,860
TS_1_44,880,880
TS_1_45,900,900
TS_1_46,920,920
TS_1_47,940,940
TS_1_48,960,960
TS_1_49,980,980
TS_1_50,1000,1000
TS_2_0,0,0
TS_2_1,20,20
TS_2_2,40,40
TS_2_3,60,60
TS_2_4,80,80
TS_2_5,100,100
TS_2_6,120,120
TS_2_7,140,140
TS_2_8,160,160
TS_2_9,180,180
TS_2_10,200,200
TS_2_11,220,220
TS_2_12,240,240
TS_2_13,260,260
TS_2_14,280,280
TS_2_15,300,300
TS_2_16,320,320
TS_2_17,340,340
TS_2_18,360,360
TS_2_19,380,380
TS_2_20,400,400
TS_2_21,420,420
TS_2_22,440,440
TS_2_23,460,460
TS_2_24,480,480
TS_2_25,500,500
TS_2_26,520,520
TS_2_27,540,540
TS_2_28,560,560
TS_2_29,580,580
TS_2_30,600,600
TS_2_31,620,620
TS_2_32,640,640
TS_2_33,660,660
TS_2_34,680,680
TS_2_35,700,700
TS_2_36,720,720
TS_2_37,740,740
TS_2_38,760,760
TS_2_39,780,780
TS_2_40,800,800
TS_2_41,820,820
TS_2_42,840,840
TS_2_43,860,860
TS_2_44,880,880
TS_2_45,900,900
TS_2_46,920,920
TS_2_47,940,940
TS_2_48,960,960
TS_2_49,980,980
TS_2_50,1000,1000
TS_3_0,0,0
TS_3_1,20,20
TS_3_2,40,40
TS_3_3,60,60
TS_3_4,80,80
TS_3_5,100,100
TS_3_6,120,120
TS_3_7,140,140
TS_3_8,160,160
TS_3_9,180,180
TS_3_10,200,200
TS_3_11,220,220
TS_3_12,240,240
TS_3_13,260,260
TS_3_14,280,280
TS_3_15,300,300
TS_3_16,320,320
TS_3_17,340,340
TS_3_18,360,360
TS_3_19,380,380
TS_3_20,400,400
TS_3_21,420,420
TS_3_22,440,440
TS_3_23,460,460
TS_3_24,480,480
TS_3_25,500,500
TS_3_26,520,520
TS_3_27,540,540
TS_3_28,560,560
TS_3_29,580,580
TS_3_30,600,600
TS_3_31,620,620
TS_3_32,640,640
TS_3_33,660,660
TS_3_34,680,680
TS_3_35,700,700
TS_3_36,720,720
TS_3_37,740,740
TS_3_38,760,760
TS_3_39,780,780
TS_3_40,800,800
TS_3_41,820,820
TS_3_42,840,840
TS_3_43,860,860
TS_3_44,880,880
TS_3_45,900,900
TS_3_46,920,920
TS_3_47,940,940
TS_3_48,960,960
TS_3_49,980,980
TS_3_50,1000,1000
TS_4_0,0,0
TS_4_1,20,20
TS_4_2,40,40
TS_4_3,60,60
TS_4_4,80,80
TS_4_5,100,100
TS_4_6,120,120
TS_4_7,140,140
TS_4_8,160,160
TS_4_9,180,180
TS_4_10,200,200
TS_4_11,220,220
TS_4_12,240,240
TS_4_13,260,260
TS_4_14,280,280
TS_4_15,300,300
TS_4_16,320,320
TS_4_17,340,340
TS_4_18,360,360
TS_4_19,380,380
TS_4_20,400,400
TS_4_21,420,420
TS_4_22,440,440
TS_4_23,460,460
TS_4_24,480,480
TS_4_25,500,500
TS_4_26,520,520
TS_4_27,540,540
TS_4_28,560,560
TS_4_29,580,580
TS_4_30,600,600
TS_4_31,620,620
TS_4_32,640,640
TS_4_33,660,660
TS_4_34,680,680
TS_4_35,700,700
TS_4_36,720,720
