Gene1	Gene2	Score
G50	G4	-0.841559601484061
G4	G50	-0.841559601484061
G68	G4	-0.772767999337824
G4	G68	-0.772767999337824
G68	G50	0.746635812256897
G50	G68	0.746635812256897
G45	G43	0.737912516214251
G43	G45	0.737912516214251
G94	G86	0.733192691310719
G86	G94	0.733192691310719
G78	G49	-0.731722579440487
G49	G78	-0.731722579440487
G78	G68	-0.727990784874659
G68	G78	-0.727990784874659
G53	G43	-0.724177003663494
G43	G53	-0.724177003663494
G80	G76	-0.717882300710936
G76	G80	-0.717882300710936
G72	G66	-0.716461461542522
G66	G72	-0.716461461542522
G76	G54	-0.711774032033391
G54	G76	-0.711774032033391
G78	G4	0.705750839034639
G4	G78	0.705750839034639
G45	G8	-0.693095230509014
G8	G45	-0.693095230509014
G68	G49	0.690099167848092
G49	G68	0.690099167848092
G77	G65	0.683136585815644
G65	G77	0.683136585815644
G100	G85	0.677499780064769
G85	G100	0.677499780064769
G26	G5	-0.671502584891627
G5	G26	-0.671502584891627
G95	G85	-0.669586082645768
G85	G95	-0.669586082645768
G12	G5	0.666608129836785
G5	G12	0.666608129836785
G98	G26	-0.664972974175486
G26	G98	-0.664972974175486
G52	G44	0.659724345385485
G44	G52	0.659724345385485
G76	G66	-0.658849280147149
G66	G76	-0.658849280147149
G28	G24	-0.652059833088175
G24	G28	-0.652059833088175
G65	G62	-0.651618684733459
G62	G65	-0.651618684733459
G97	G45	0.647122081370564
G45	G97	0.647122081370564
G49	G25	-0.644228042737244
G25	G49	-0.644228042737244
G33	G13	-0.642693466746582
G13	G33	-0.642693466746582
G78	G25	0.64187240500972
G25	G78	0.64187240500972
G43	G24	0.6399560472883
G24	G43	0.6399560472883
G80	G66	0.637241911921867
G66	G80	0.637241911921867
G100	G95	-0.633571006576592
G95	G100	-0.633571006576592
G23	G4	-0.631303303811457
G4	G23	-0.631303303811457
G44	G39	0.630018512517697
G39	G44	0.630018512517697
G87	G45	-0.628290822822295
G45	G87	-0.628290822822295
G50	G23	0.623415274242327
G23	G50	0.623415274242327
G37	G17	-0.623134188684303
G17	G37	-0.623134188684303
G78	G50	-0.618407953533005
G50	G78	-0.618407953533005
G31	G17	0.616038095519718
G17	G31	0.616038095519718
G91	G19	-0.61454203593978
G19	G91	-0.61454203593978
G49	G4	-0.612512198238978
G4	G49	-0.612512198238978
G97	G65	-0.612427855821138
G65	G97	-0.612427855821138
G56	G33	0.611875610195916
G33	G56	0.611875610195916
G97	G8	-0.610286093678193
G8	G97	-0.610286093678193
G23	G12	-0.608109535122487
G12	G23	-0.608109535122487
G60	G4	-0.599778504275991
G4	G60	-0.599778504275991
G50	G49	0.597705037758559
G49	G50	0.597705037758559
G97	G79	-0.597102370405744
G79	G97	-0.597102370405744
G80	G54	0.595818652266457
G54	G80	0.595818652266457
G30	G19	0.594811524014224
G19	G30	0.594811524014224
G81	G54	-0.593333532123189
G54	G81	-0.593333532123189
G80	G72	-0.591770906009992
G72	G80	-0.591770906009992
G78	G60	-0.589233682352307
G60	G78	-0.589233682352307
G68	G60	0.58893621705681
G60	G68	0.58893621705681
G68	G23	0.588274476790799
G23	G68	0.588274476790799
