TF	target	importance
G84	G79	0.12076477466484667
G84	G9	0.11655924639128104
G77	G22	0.1148205870627774
G3	G23	0.10342201524723449
G36	G35	0.1022047914481263
G12	G99	0.1012029942330444
G49	G65	0.0993783250152391
G22	G77	0.09913123338236185
G73	G72	0.09865746370455583
G65	G49	0.09865306934497277
G35	G36	0.09644084093794995
G98	G32	0.09632900692154538
G28	G32	0.09426965779714222
G32	G28	0.09372319019668025
G16	G86	0.0931159635106706
G23	G3	0.09310050592631264
G3	G25	0.09271494580694215
G91	G76	0.09186754514012331
G85	G30	0.09090006571100645
G57	G15	0.08867131258435663
G30	G85	0.08757595360053674
G33	G72	0.08691081817220463
G9	G79	0.08688187028308295
G80	G61	0.086633059886932
G36	G34	0.0865446955252855
G94	G95	0.08653419477318176
G99	G34	0.08633803393740888
G79	G76	0.08627401312872506
G16	G14	0.08581463790194324
G95	G94	0.08519785364102739
G41	G30	0.08454265707567525
G79	G9	0.08442552846931928
G86	G16	0.08200752303139898
G91	G90	0.08176473529877953
G98	G28	0.08168567854336387
G53	G8	0.08125828063199159
G11	G8	0.08102256076831077
G34	G36	0.08029865982963819
G56	G100	0.08020185870601809
G99	G36	0.08001820109718025
G72	G73	0.07900871638628296
G71	G73	0.07865805541910881
G81	G96	0.0778754901795941
G84	G80	0.07725357860771478
G42	G16	0.07666850408723916
G98	G77	0.0762567702765247
G90	G91	0.07607015790643229
G24	G15	0.07562775114055828
G80	G9	0.07487370347426917
G89	G80	0.07470317193813739
G70	G34	0.07450693452942714
G9	G80	0.07449993885953456
G50	G40	0.07398990897379715
G18	G95	0.07380359801641681
G72	G33	0.07367205787778992
G85	G82	0.07364923920011064
G73	G33	0.07363917488131581
G9	G89	0.07347819279809979
G64	G8	0.07347392295214956
G30	G41	0.07316271345318617
G99	G35	0.073065505710968
G99	G12	0.07290752632278051
G88	G42	0.07246599372754858
G29	G28	0.07246321134198487
G80	G78	0.07236908281928842
G79	G89	0.07230782825540585
G73	G71	0.07203564347401807
G96	G81	0.07197782897643457
G84	G25	0.07179997680092051
G34	G35	0.07171591849359045
G15	G24	0.07130281972683666
G83	G76	0.07120279567202366
G66	G46	0.0711916081435923
G28	G100	0.06991933910466393
G28	G98	0.06914601261113217
G35	G34	0.06868507197300461
G23	G25	0.0685268746596718
G46	G71	0.06850514478011109
G16	G95	0.06843511327799294
G99	G21	0.06801743022462046
G32	G98	0.0679908939510556
G77	G98	0.06742479871469825
G77	G25	0.06729476664491563
G73	G30	0.06720017822691203
G91	G87	0.06694732447154825
G85	G31	0.06692623392406695
G3	G84	0.0667793095713048
G12	G53	0.06668089918719175
G25	G3	0.06665143760611934
G91	G83	0.06655191564714383
G71	G46	0.06647263462330973
G80	G89	0.06645315241035327
G34	G12	0.06643019911994863
G29	G32	0.0661914552660194
G52	G92	0.0659260861707013
G84	G92	0.06567846923923386
G12	G13	0.06499663447891155
G34	G99	0.06481638202868258
G79	G80	0.06471367801565549
G41	G76	0.06451141598130462
G41	G26	0.06411532718970547
G82	G85	0.06411199113120067
G94	G48	0.0640226601290817
G8	G64	0.06392857120657044
G2	G95	0.06377486160297424
G33	G73	0.06349083719890596
G85	G97	0.06341820827015289
G25	G84	0.06312084620839604
G76	G26	0.06295591633186927
G29	G71	0.0629496260807567
G53	G13	0.0629493578027987
G76	G67	0.0629370712947111
G80	G25	0.06287921679895027
G84	G89	0.06279785513832783
G73	G74	0.0626501449254872
G66	G71	0.06241019700722473
G89	G79	0.062288711581432954
G28	G29	0.06221970740925825
G42	G54	0.061772997422490865
G67	G30	0.061630185803263515
G79	G19	0.0614533806527784
G90	G39	0.061323191031085314
G50	G53	0.06105689755780315
G8	G86	0.06094294008583766
G29	G100	0.060641143135905344
G25	G22	0.06058176865073151
G13	G53	0.06049821587553574
G42	G86	0.06045388009486048
G90	G15	0.06045067703348048
G53	G64	0.060425611027663084
G97	G93	0.06041163643607527
G76	G41	0.06005425843685077
G40	G50	0.059859683251567854
G16	G94	0.05982688598576111
G65	G94	0.05981363420536521
G48	G95	0.05971497336191779
G13	G82	0.05959136021249535
G25	G23	0.0594993695013296
G11	G64	0.05944623996195123
G27	G96	0.059276271392603545
G56	G28	0.05920814790210373
G30	G31	0.05881350685220016
G25	G37	0.05876565055594694
G33	G95	0.05794493117276375
G23	G84	0.05748199918424206
G35	G99	0.057340571624746844
G89	G9	0.05708285299879259
G89	G88	0.05703061153036963
G12	G34	0.0569580457722912
G16	G42	0.056612692519994415
G30	G67	0.05646054385672596
G98	G22	0.05641239776897559
G24	G57	0.05633908622804701
G33	G94	0.05621026125031715
G25	G98	0.055647111118859845
G74	G73	0.05558661419402085
G9	G75	0.055391443081576786
G73	G97	0.05530414736244802
G53	G40	0.05520325156376734
G80	G84	0.05516955104400708
G40	G53	0.055006713211495264
G94	G18	0.05488979276193775
G25	G77	0.05485895270885989
G38	G53	0.054825552823212144
G85	G24	0.054783487171351494
G65	G48	0.054623841278040326
G76	G91	0.05456657401901077
G64	G63	0.05439370795823933
G30	G82	0.05423525825824494
G65	G95	0.05421885871147081
G2	G97	0.054211244568359775
G9	G19	0.054180841142454486
G84	G3	0.05412176514788772
G3	G22	0.05404601622803758
G59	G62	0.05393010887840088
G27	G21	0.05381308115702419
G87	G12	0.053393387893475426
G53	G12	0.053154655998745526
G83	G46	0.053038760985601056
G79	G91	0.05301179128229236
G57	G24	0.05299868619273939
G58	G96	0.05294196614408916
G100	G28	0.05281863043921405
G74	G71	0.05268307989222449
G49	G15	0.05268112626427857
G39	G52	0.0525817985519183
G8	G11	0.052569266251824696
G73	G31	0.052565452729397916
G39	G63	0.05239474445942697
G84	G23	0.05217716147525482
G64	G11	0.05208527932445236
G61	G80	0.051960040816231484
G100	G46	0.05190733918399829
G94	G65	0.05181074133584246
G84	G88	0.05179575777779964
G58	G81	0.05169643082282572
G42	G94	0.05160042103248271
G48	G18	0.05157461531211064
G33	G48	0.051443989402577286
G91	G48	0.05131399008995737
G69	G46	0.051262037133453446
G48	G94	0.05125233688180644
G91	G19	0.051232114760064944
G29	G98	0.05098946421306807
G52	G21	0.05086763528050919
G50	G13	0.050815746164681534
G56	G32	0.05073785117962512
G27	G81	0.05069607965881922
G68	G41	0.05038475090864989
G64	G52	0.05037963953831112
G92	G84	0.050075727928074756
G30	G26	0.050056811852487296
G84	G22	0.05000014498968286
G90	G24	0.049927704916146995
G65	G15	0.04986426569708153
G80	G79	0.04966065055919052
G15	G57	0.04965827503997551
G21	G99	0.049631495221859785
G32	G56	0.04952656793283407
G48	G91	0.04952386208628431
G82	G13	0.04950220349684766
G79	G21	0.04947935128740695
