Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G51	G51	1	0
G52	G52	1	0
G53	G53	1	0
G54	G54	1	0
G55	G55	1	0
G56	G56	1	0
G57	G57	1	0
G58	G58	1	0
G59	G59	1	0
G60	G60	1	0
G61	G61	1	0
G62	G62	1	0
G63	G63	1	0
G64	G64	1	0
G65	G65	1	0
G66	G66	1	0
G67	G67	1	0
G68	G68	1	0
G69	G69	1	0
G70	G70	1	0
G71	G71	1	0
G72	G72	1	0
G73	G73	1	0
G74	G74	1	0
G75	G75	1	0
G76	G76	1	0
G77	G77	1	0
G78	G78	1	0
G79	G79	1	0
G80	G80	1	0
G81	G81	1	0
G82	G82	1	0
G83	G83	1	0
G84	G84	1	0
G85	G85	1	0
G86	G86	1	0
G87	G87	1	0
G88	G88	1	0
G89	G89	1	0
G90	G90	1	0
G91	G91	1	0
G92	G92	1	0
G93	G93	1	0
G94	G94	1	0
G95	G95	1	0
G96	G96	1	0
G97	G97	1	0
G98	G98	1	0
G99	G99	1	0
G100	G100	1	0
G20	G80	0.283271142775022	4.83914711216234e-09
G80	G20	0.283271142775022	4.83914711216269e-09
G36	G22	0.277350203396729	1.03317750199014e-08
G22	G36	0.277350203396728	1.03317750199036e-08
G22	G13	0.251634946038942	2.27146338443125e-07
G13	G22	0.251634946038942	2.27146338443139e-07
G38	G89	0.249428014407283	2.91690553262086e-07
G89	G38	0.249428014407283	2.91690553262096e-07
G72	G18	0.237313503081601	1.1043205206359e-06
G18	G72	0.237313503081601	1.10432052063594e-06
G56	G57	0.234734746718015	1.45299065058828e-06
G57	G56	0.234734746718015	1.45299065058832e-06
G35	G84	0.220302804728604	6.37226833461343e-06
G84	G35	0.220302804728604	6.37226833461355e-06
G87	G89	0.218760494864644	7.42052459084029e-06
G89	G87	0.218760494864644	7.42052459084035e-06
G30	G84	0.214576552633154	1.11553183554174e-05
G84	G30	0.214576552633154	1.11553183554177e-05
G72	G13	0.202668016376885	3.4085442090573e-05
G13	G72	0.202668016376885	3.40854420905731e-05
G21	G72	0.193169728775886	7.93900171086115e-05
G72	G21	0.193169728775886	7.93900171086118e-05
G41	G19	0.19297873447006	8.07183470516095e-05
G19	G41	0.19297873447006	8.07183470516115e-05
G82	G53	0.192727938548629	8.24943915912547e-05
G53	G82	0.192727938548628	8.24943915912564e-05
G35	G72	0.192678979121549	8.28453697972683e-05
G72	G35	0.192678979121549	8.28453697972688e-05
G39	G85	0.188435310781085	0.000119221155231603
G85	G39	0.188435310781085	0.000119221155231605
G51	G2	0.187359782790221	0.000130579953216492
G2	G51	0.187359782790221	0.000130579953216492
G84	G55	0.18669666006706	0.000138081591506294
G55	G84	0.18669666006706	0.000138081591506294
G41	G60	0.186381115628106	0.000141791538447326
G60	G41	0.186381115628106	0.000141791538447326
G27	G7	0.183780077019034	0.000176136745511361
G7	G27	0.183780077019034	0.000176136745511363
G22	G73	0.183018259207687	0.000187585450443545
G73	G22	0.183018259207687	0.000187585450443546
G29	G34	0.179952106154069	0.000241086886767066
G34	G29	0.179952106154068	0.000241086886767071
G24	G8	0.179856983654195	0.000242955210938129
G8	G24	0.179856983654195	0.000242955210938138
G5	G23	0.179742202791525	0.000245227665982146
G23	G5	0.179742202791525	0.000245227665982148
G8	G61	0.178175003178003	0.000278310366752163
G61	G8	0.178175003178003	0.000278310366752166
G52	G53	0.177696384280821	0.000289216296142394
G53	G52	0.177696384280821	0.000289216296142397
G27	G15	0.177411976051826	0.000295884499982954
G15	G27	0.177411976051826	0.000295884499982959
G85	G86	0.174903079778294	0.000361242389549121
G86	G85	0.174903079778293	0.000361242389549135
