SourceGENES,TargetGENES,Interaction,Edges
G56,G15,1,activation
G40,G15,0.616497603893834,activation
G14,G15,0.561136942562077,activation
G40,G19,0.461561514403421,activation
G70,G83,0.412689676516423,repression
G86,G15,0.402440629303912,repression
G56,G21,0.400455235415707,repression
G56,G34,0.398659653495196,activation
G70,G15,0.396684915650974,activation
G67,G15,0.383425407570856,repression
G70,G19,0.383348314474208,activation
G56,G19,0.364273117467399,repression
G56,G12,0.355699941180295,repression
G42,G15,0.316499069382653,activation
G86,G19,0.311235803531865,repression
G56,G97,0.308564201956688,activation
G56,G72,0.30444178817899,activation
G56,G35,0.303468102431525,activation
G70,G84,0.302541450091281,repression
G43,G15,0.300062740382609,activation
G56,G58,0.296027333206972,repression
G40,G66,0.293488343997502,repression
G56,G11,0.292381922670401,repression
G67,G19,0.283926088629007,activation
G56,G84,0.273280100052044,activation
G63,G15,0.266598001964602,repression
G14,G19,0.265539621224662,repression
G36,G97,0.247793359125372,activation
G40,G69,0.239204294881562,repression
G63,G19,0.238969470717576,repression
G40,G84,0.236300527789539,repression
G67,G84,0.233421918672498,activation
G56,G1,0.233142202417458,activation
G14,G34,0.229128361083198,repression
G56,G96,0.228972882776091,repression
G76,G15,0.226467699289351,activation
G76,G19,0.222544720808264,activation
G76,G83,0.221916217559286,activation
G70,G58,0.221476858359961,repression
G56,G85,0.219126171316667,activation
G70,G69,0.218971450777892,repression
G56,G81,0.216763057841992,activation
G14,G44,0.212161247481302,activation
G70,G28,0.209236797780397,activation
G56,G4,0.207637406880089,activation
G40,G28,0.206464076250164,activation
G59,G97,0.20633018983591,repression
G40,G76,0.206272822082169,repression
G56,G51,0.203897605523954,repression
G59,G8,0.203271267373796,activation
G40,G44,0.202438763413313,activation
G40,G26,0.201381684406983,repression
G86,G84,0.201344428405821,activation
G56,G6,0.199542278915087,repression
G56,G73,0.193294132935108,repression
G56,G55,0.19143593725966,repression
G36,G8,0.190705173871271,activation
G56,G10,0.19024479984738,activation
G57,G83,0.188097851620477,repression
G63,G83,0.186699710850649,repression
G67,G58,0.186081479404915,repression
G40,G32,0.181621697112516,repression
G14,G66,0.180797759436621,activation
G40,G58,0.180080390444885,activation
G14,G72,0.176802151657916,repression
G14,G21,0.17656768800313,repression
G14,G35,0.176503017283994,repression
G40,G11,0.175188093507201,repression
G56,G78,0.174560657561153,repression
G56,G24,0.173324114815347,repression
G56,G18,0.173297518310617,repression
G14,G11,0.17292015837553,repression
G40,G53,0.172325511634879,activation
G56,G30,0.171020686416696,repression
G40,G83,0.169796409859974,activation
G57,G19,0.169280183587371,repression
G86,G83,0.167841427381376,activation
G70,G6,0.167700667073412,repression
G40,G48,0.167607842955211,activation
G14,G12,0.167333415769821,activation
G42,G19,0.167303178316962,activation
G56,G17,0.16655050038385,activation
G70,G32,0.165202279705173,activation
G67,G83,0.165079269596742,activation
G86,G69,0.163921246291204,repression
G70,G13,0.163429925721317,repression
G70,G59,0.162400277602752,repression
G56,G5,0.162120301958204,activation
G70,G87,0.16182459100833,repression
G56,G25,0.160414099642777,repression
G40,G50,0.1600415407462,repression
G56,G77,0.158696758504146,activation
G70,G100,0.157845070133369,activation
G56,G79,0.157671505211075,repression
G56,G8,0.156974313527679,activation
G14,G76,0.156683818849643,repression
G57,G15,0.155536257312078,repression
G40,G35,0.155364530851582,repression
G86,G58,0.154937622403896,repression
G40,G72,0.153183977848808,activation
G40,G51,0.151837047825809,activation
G43,G19,0.149236355126973,activation
G56,G99,0.148877281877002,repression
G56,G50,0.148741264109885,repression
G70,G47,0.146502092784821,activation
G40,G6,0.146492233156865,repression
G67,G69,0.146441388300588,repression
G36,G78,0.146174174424797,activation
G40,G34,0.144297897500305,repression
G56,G23,0.144174063583016,activation
G76,G84,0.14415508977744,activation
G86,G28,0.14159747359501,activation
G56,G93,0.141187988820012,repression
G40,G86,0.140567371920984,repression
G43,G84,0.140083830411216,activation
G40,G16,0.139076950894554,repression
G56,G62,0.138857079696368,repression
G56,G33,0.138528318805239,activation
G63,G84,0.137956849208058,activation
G40,G75,0.137770560846421,activation
G70,G74,0.137312003514648,activation
G56,G3,0.13683923011775,activation
G40,G70,0.136559005356995,repression
G67,G6,0.136035260157042,repression
G56,G2,0.134068454304582,activation
G14,G51,0.133220052894273,activation
G63,G69,0.133015509608977,activation
G36,G21,0.130027219748778,repression
G14,G10,0.129564112259032,activation
G56,G71,0.129044241581191,activation
G43,G58,0.12796103531036,activation
