Gene1	Gene2	Score
G55	G3	-0.912540141501201
G3	G55	-0.912540141501201
G66	G61	-0.864059136635465
G61	G66	-0.864059136635465
G68	G66	-0.852822099390759
G66	G68	-0.852822099390759
G66	G65	0.851595843900282
G65	G66	0.851595843900282
G56	G15	0.838458811508273
G15	G56	0.838458811508273
G15	G1	0.838081805814053
G1	G15	0.838081805814053
G65	G61	-0.83403845171214
G61	G65	-0.83403845171214
G57	G56	-0.833352125355512
G56	G57	-0.833352125355512
G36	G30	0.825931833868653
G30	G36	0.825931833868653
G22	G2	0.825803585049752
G2	G22	0.825803585049752
G57	G55	0.799261981992553
G55	G57	0.799261981992553
G22	G20	-0.796653388625379
G20	G22	-0.796653388625379
G57	G3	-0.794628374402953
G3	G57	-0.794628374402953
G66	G63	-0.790764045105149
G63	G66	-0.790764045105149
G68	G63	0.779045684415005
G63	G68	0.779045684415005
G65	G63	-0.778088697247629
G63	G65	-0.778088697247629
G65	G60	0.772741096683484
G60	G65	0.772741096683484
G31	G30	-0.754950708161464
G30	G31	-0.754950708161464
G63	G60	-0.749337019076238
G60	G63	-0.749337019076238
G63	G61	0.738771072702011
G61	G63	0.738771072702011
G57	G15	-0.737805776085313
G15	G57	-0.737805776085313
G68	G61	0.737221986765926
G61	G68	0.737221986765926
G56	G1	0.733236311143493
G1	G56	0.733236311143493
G2	G1	0.72889080006443
G1	G2	0.72889080006443
G68	G65	-0.723234152213608
G65	G68	-0.723234152213608
G61	G60	-0.721088423094109
G60	G61	-0.721088423094109
G58	G57	-0.71841997008316
G57	G58	-0.71841997008316
G89	G32	0.715315327782132
G32	G89	0.715315327782132
G66	G60	0.713921528098954
G60	G66	0.713921528098954
G20	G2	-0.712425463061988
G2	G20	-0.712425463061988
G60	G1	0.712113547000703
G1	G60	0.712113547000703
G63	G57	0.70252733085227
G57	G63	0.70252733085227
G56	G3	0.695599225652385
G3	G56	0.695599225652385
G66	G56	0.694696936442567
G56	G66	0.694696936442567
G68	G60	-0.688709169017883
G60	G68	-0.688709169017883
G58	G56	0.68331370995183
G56	G58	0.68331370995183
G56	G55	-0.683168424489014
G55	G56	-0.683168424489014
G57	G1	-0.682177371595907
G1	G57	-0.682177371595907
G65	G56	0.678887820307576
G56	G65	0.678887820307576
G36	G31	-0.667012462655241
G31	G36	-0.667012462655241
G86	G47	0.666937692873235
G47	G86	0.666937692873235
