Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.058486	0.618264	0.140884
G2	+	G1	0.015129	0.432534	0.025496
G3	+	G1	0.038789	0.582910	0.088095
G4	+	G1	0.025926	0.440945	0.044540
G5	+	G1	0.051445	0.550798	0.110402
G6	-	G1	-0.028993	0.435722	-0.049220
G7	+	G1	0.021472	0.492158	0.041172
G8	-	G1	-0.043154	0.504793	-0.084872
G9	-	G1	-0.013318	0.433777	-0.022508
G10	-	G1	-0.008538	0.436088	-0.014506
G11	-	G1	-0.004313	0.422890	-0.007106
G12	-	G1	-0.034365	0.510256	-0.068320
G13	-	G1	-0.025147	0.432546	-0.042379
G14	+	G1	0.002466	0.423057	0.004064
G15	-	G1	-0.017349	0.481972	-0.032579
G16	-	G1	-0.010410	0.401751	-0.016294
G17	+	G1	0.073748	0.749268	0.215289
G18	+	G1	0.036861	0.441419	0.063394
G19	+	G1	0.006393	0.389314	0.009697
G20	+	G1	0.025315	0.433018	0.042710
G21	+	G1	0.060616	0.704094	0.166284
G22	+	G1	0.025096	0.481921	0.047121
G23	+	G1	0.062221	0.671021	0.162670
G24	+	G1	0.089413	0.805519	0.280615
G25	-	G1	-0.004786	0.413057	-0.007702
G26	-	G1	-0.002623	0.398616	-0.004074
G27	-	G1	-0.017360	0.427451	-0.028912
G28	-	G1	-0.021458	0.419753	-0.035093
G29	-	G1	-0.023810	0.441240	-0.040933
G30	+	G1	0.026526	0.451188	0.046630
G31	-	G1	-0.003938	0.421380	-0.006465
G32	+	G1	0.053337	0.537246	0.111644
G33	+	G1	0.057300	0.572657	0.127846
G34	-	G1	-0.028426	0.415995	-0.046072
G35	-	G1	-0.002573	0.492540	-0.004937
G36	+	G1	0.012858	0.401039	0.020090
G37	+	G1	0.021326	0.393321	0.032681
G38	+	G1	0.009743	0.457157	0.017354
G39	+	G1	0.010328	0.420379	0.016916
G40	+	G1	0.012168	0.384836	0.018244
G41	-	G1	-0.047942	0.530968	-0.099179
G42	+	G1	0.023549	0.480872	0.044120
G43	+	G1	0.046063	0.543434	0.097529
G44	-	G1	-0.007270	0.495316	-0.014029
G45	+	G1	0.025045	0.477055	0.046551
G46	-	G1	-0.008467	0.366646	-0.012095
G47	+	G1	0.025071	0.482302	0.047112
G48	+	G1	0.011421	0.494582	0.022007
G49	+	G1	0.042612	0.523046	0.086839
G50	+	G1	0.038852	0.522588	0.079106
G51	-	G1	-0.012020	0.436705	-0.020452
G52	+	G1	0.047544	0.564863	0.104634
G53	-	G1	-0.008563	0.374962	-0.012509
G54	+	G1	0.134965	0.993055	0.522191
G55	-	G1	-0.001090	0.350543	-0.001488
G56	+	G1	0.033110	0.485374	0.062613
G57	+	G1	0.117094	0.961845	0.438808
G58	+	G1	0.046879	0.615786	0.112472
G59	+	G1	0.009133	0.445119	0.015838
G60	-	G1	-0.013799	0.465254	-0.025013
G61	+	G1	0.033161	0.494398	0.063876
G62	+	G1	0.014848	0.438905	0.025391
G63	+	G1	0.030196	0.522068	0.061421
G64	+	G1	0.005054	0.488166	0.009612
G65	+	G1	0.049228	0.578324	0.110922
G66	-	G1	-0.087378	0.829769	-0.282486
G67	-	G1	-0.067801	0.736286	-0.194500
G68	-	G1	-0.027125	0.429188	-0.045358
G69	-	G1	-0.032437	0.491869	-0.062163
G70	+	G1	0.016831	0.467105	0.030631
G71	+	G1	0.004682	0.496180	0.009051
G72	-	G1	-0.008507	0.487826	-0.016168
G73	+	G1	0.012748	0.401694	0.019951
G74	+	G1	0.038434	0.517749	0.077529
G75	-	G1	-0.009663	0.400063	-0.015062
G76	+	G1	0.063453	0.715938	0.176996
G77	-	G1	-0.034446	0.528606	-0.070943
G78	+	G1	0.009479	0.477670	0.017641
G79	+	G1	0.090907	0.880011	0.311688
G80	+	G1	0.017283	0.436740	0.029409
G81	-	G1	-0.013198	0.413880	-0.021282
G82	+	G1	0.012662	0.448084	0.022106
G83	-	G1	-0.021025	0.415800	-0.034060
G84	+	G1	0.006757	0.430081	0.011322
G85	-	G1	-0.015811	0.378137	-0.023294
G86	-	G1	-0.003154	0.425901	-0.005234
G87	-	G1	-0.015070	0.446756	-0.026232
G88	+	G1	0.016466	0.422962	0.027135
G89	-	G1	-0.006288	0.319385	-0.007825
G90	-	G1	-0.016133	0.427861	-0.026894
G91	+	G1	0.025353	0.397869	0.039302
G92	+	G1	0.048995	0.627892	0.119859
G93	+	G1	0.062184	0.563150	0.136440
G94	-	G1	-0.036688	0.431066	-0.061617
G95	-	G1	-0.011213	0.405691	-0.017723
G96	+	G1	0.063604	0.719303	0.178251
G97	+	G1	0.114159	0.976298	0.434239
G98	+	G1	0.004060	0.354841	0.005613
G99	+	G1	0.033092	0.535360	0.069025
G100	-	G1	-0.012625	0.437324	-0.021511
G1	-	G2	-0.024966	0.452727	-0.044037
G2	-	G2	-0.010667	0.432267	-0.017964
G3	-	G2	-0.005739	0.439832	-0.009835
G4	-	G2	-0.004021	0.394701	-0.006184
G5	+	G2	0.019282	0.471514	0.035423
G6	-	G2	-0.036002	0.480734	-0.067433
G7	+	G2	0.007651	0.476264	0.014197
G8	+	G2	0.014299	0.431108	0.024018
G9	+	G2	0.006470	0.425453	0.010725
G10	-	G2	-0.015778	0.454090	-0.027915
G11	-	G2	-0.023994	0.471414	-0.044070
G12	+	G2	0.030632	0.507389	0.060555
G13	-	G2	-0.038766	0.514234	-0.077669
G14	+	G2	0.012294	0.429372	0.020566
G15	-	G2	-0.023122	0.500000	-0.045043
G16	+	G2	0.005230	0.396403	0.008077
G17	+	G2	0.037523	0.523318	0.076507
G18	-	G2	-0.011239	0.363833	-0.015931
G19	-	G2	-0.019071	0.422023	-0.031358
G20	+	G2	0.007471	0.398572	0.011601
G21	-	G2	-0.004294	0.431760	-0.007223
G22	-	G2	-0.049352	0.685841	-0.131875
G23	+	G2	0.017734	0.384431	0.026562
G24	+	G2	0.002224	0.395033	0.003423
G25	+	G2	0.021395	0.447135	0.037273
G26	-	G2	-0.011584	0.404803	-0.018269
G27	+	G2	0.015777	0.427059	0.026252
G28	-	G2	-0.004784	0.373899	-0.006969
G29	-	G2	-0.083750	0.908496	-0.296443
G30	+	G2	0.067084	0.698498	0.182566
G31	-	G2	-0.016397	0.436018	-0.027855
G32	+	G2	0.087618	0.671458	0.229219
G33	+	G2	0.058839	0.600502	0.137662
G34	+	G2	0.040826	0.472552	0.075166
G35	-	G2	-0.014842	0.498788	-0.028843
G36	-	G2	-0.000726	0.388011	-0.001097
G37	+	G2	0.027741	0.416800	0.045050
G38	-	G2	-0.011000	0.456881	-0.019580
G39	+	G2	0.000231	0.405952	0.000366
G40	-	G2	-0.051847	0.584629	-0.118096
G41	+	G2	0.015559	0.355482	0.021549
G42	+	G2	0.003412	0.421333	0.005601
G43	-	G2	-0.039034	0.533027	-0.081064
G44	-	G2	-0.008100	0.495692	-0.015643
G45	+	G2	0.012478	0.448950	0.021826
G46	-	G2	-0.015353	0.382002	-0.022850
G47	+	G2	0.006573	0.420761	0.010776
G48	-	G2	-0.007372	0.492656	-0.014151
G49	+	G2	0.004663	0.433722	0.007880
G50	+	G2	0.046963	0.580898	0.106289
G51	+	G2	0.022197	0.471603	0.040785
G52	+	G2	0.021571	0.449159	0.037749
G53	-	G2	-0.054732	0.674748	-0.143887
