	TS_0_0	TS_0_1	TS_0_2	TS_0_3	TS_0_4	TS_0_5	TS_0_6	TS_0_7	TS_0_8	TS_0_9	TS_0_10	TS_1_0	TS_1_1	TS_1_2	TS_1_3	TS_1_4	TS_1_5	TS_1_6	TS_1_7	TS_1_8	TS_1_9	TS_1_10	TS_2_0	TS_2_1	TS_2_2	TS_2_3	TS_2_4	TS_2_5	TS_2_6	TS_2_7	TS_2_8	TS_2_9	TS_2_10	TS_3_0	TS_3_1	TS_3_2	TS_3_3	TS_3_4	TS_3_5	TS_3_6	TS_3_7	TS_3_8	TS_3_9	TS_3_10	TS_4_0	TS_4_1	TS_4_2	TS_4_3	TS_4_4	TS_4_5	TS_4_6	TS_4_7	TS_4_8	TS_4_9	TS_4_10	TS_5_0	TS_5_1	TS_5_2	TS_5_3	TS_5_4	TS_5_5	TS_5_6	TS_5_7	TS_5_8	TS_5_9	TS_5_10	TS_6_0	TS_6_1	TS_6_2	TS_6_3	TS_6_4	TS_6_5	TS_6_6	TS_6_7	TS_6_8	TS_6_9	TS_6_10	TS_7_0	TS_7_1	TS_7_2	TS_7_3	TS_7_4	TS_7_5	TS_7_6	TS_7_7	TS_7_8	TS_7_9	TS_7_10	TS_8_0	TS_8_1	TS_8_2	TS_8_3	TS_8_4	TS_8_5	TS_8_6	TS_8_7	TS_8_8	TS_8_9	TS_8_10	TS_9_0	TS_9_1	TS_9_2	TS_9_3	TS_9_4	TS_9_5	TS_9_6	TS_9_7	TS_9_8	TS_9_9	TS_9_10
G1	0.6901502	0.7164108	0.6017229	0.6808247	0.751861	0.5996728	0.6510868	0.6723535	0.6403973	0.6908362	0.6968991	0.5864135	0.7184766	0.2776212	0.6508897	0.6325047	0.5302829	0.7128539	0.7431592	0.5886233	0.6922244	0.5684842	0.692018	0.6621783	0.7903122	0.6554652	0.6538678	0.6308872	0.7756947	0.6112619	0.6547405	0.7242317	0.6732708	0.6305474	0.7437673	0.7816858	0.5566853	0.5667042	0.7085891	0.6022916	0.6707392	0.6827882	0.6492251	0.6315496	0.5764689	0.7235015	0.5677809	0.7292609	0.6026699	0.6123055	0.7068633	0.7229211	0.6455455	0.6636413	0.6835844	0.6752758	0.5505791	0.6817479	0.6353942	0.7948625	0.6759226	0.7775746	0.7685372	0.6785503	0.6964536	0.8784472	0.6345879	0.7355171	0.5984281	0.6933224	0.6483324	0.7530822	0.7625558	0.6808194	0.7636704	0.8744721	0.7786024	0.7311072	0.7329989	0.6120287	0.6124839	0.6552465	0.6483448	0.7578606	0.6984664	0.684984	0.7325267	0.6368707	0.6939909	0.5660314	0.642472	0.7196283	0.5838031	0.6333998	0.5304479	0.7402977	0.5927735	0.6697861	0.6904669	0.6780531	0.7075881	0.6212095	0.8273751	0.7382625	0.6332711	0.5279996	0.5956327	0.7028164	0.7862656	0.5959797
G2	0.0625917	0.0858357	0.1074194	0.0629127	0.0367029	0.102411	0.0730713	0.1030954	0.0816125	0.099307	0.097468	0.041398	0.0653491	0.087126	0.1304856	0.0890468	0.1195797	0.0918895	0.0596259	0.0590918	0.0767445	0.0542241	0.0801842	0.0483615	0.0550367	0.0703988	0.0804664	0.0642946	0.0690988	0.0649981	0.098064	0.0654983	0.0776382	0.0762326	0.1130611	0.0518792	0.0721043	0.0685853	0.0890748	0.0638915	0.1112976	0.0751701	0.0559918	0.0803489	0.0913566	0.0066848	0.0161765	0.0435052	0.0354485	0.0337565	0.088323	0.0597879	0.0940895	0.0760243	0.1138686	0.1009777	0.0909124	0.0950307	0.0897958	0.1080069	0.0614599	0.0507667	0.1104917	0.1834932	0.0710035	0.068781	0.0882374	0.0208847	0.0171359	0.0147279	0.0079363	0.0060744	0.1029737	0.0792768	0.0656136	0.0545877	0.0701007	0.0756474	0.0604096	0.0562165	0.0940087	0.1037674	0.0483023	0.0863787	0.0804112	0.0754748	0.0889849	0.0802051	0.0622859	0.0759879	0.0869262	0.0925823	0.0777084	0.0518149	0.0499954	0.0814434	0.0519149	0.079519	0.0475501	0.1151006	0.1028178	0.0482112	0.0495576	0.0774287	0.0731319	0.0773895	0.0965433	0.0452583	0.0803849	0.0702965
G3	0.6040692	0.0867967	0.066602	0.054977	0.0896346	0.0679266	0.4417578	0.4739995	0.522836	0.4012618	0.4052516	0.47382	0.6218118	0.6124605	0.5611023	0.6364736	0.6925203	0.4835834	0.3336616	0.4260908	0.5106432	0.4026992	0.445573	0.4353237	0.4249378	0.4274329	0.4723177	0.4853853	0.4382148	0.5237954	0.4934748	0.4311072	0.4962246	0.4628637	0.0301373	0.0176436	0.0273566	0.0317231	0.0424675	0.4428686	0.603022	0.5433734	0.5769935	0.5043829	0.4956452	0.6063659	0.546589	0.4661378	0.5135002	0.5550213	0.5267689	0.4403332	0.5063204	0.4611463	0.5160466	0.4438545	0.4796203	0.4229264	0.436886	0.465292	0.5406137	0.3934495	0.4267511	0.4029381	0.5376498	0.5098572	0.4261695	0.4859695	0.3907662	0.4785891	0.4333708	0.4873359	0.5022854	0.4748987	0.5065126	0.5213356	0.5448579	0.5475181	0.1528918	0.17116	0.2539335	0.1998477	0.2225373	0.5468541	0.5337634	0.5336773	0.4468197	0.5151679	0.5593275	0.4221625	0.5593167	0.6173324	0.5731118	0.4519243	0.5070135	0.3954195	0.4835153	0.4176999	0.5035887	0.5198108	0.4365827	0.519558	0.4771506	0.4376375	0.4360376	0.5213215	0.5723667	0.4948577	0.3652416	0.4987179
G4	0.4965666	0.4510828	0.1644961	0.1995557	0.2190352	0.3446058	0.5270403	0.5558871	0.6412427	0.3993763	0.4542632	0.5321136	0.5594077	0.4967168	0.5417963	0.5086723	0.5481419	0.5041277	0.5222931	0.4107739	0.585027	0.4737941	0.4193738	0.4556598	0.4134307	0.4726517	0.3272381	0.3844099	0.3986506	0.4365918	0.5546684	0.4024394	0.4414904	0.4736718	0.503239	0.5863761	0.5568169	0.6825548	0.6362847	0.4959868	0.3915915	0.4890028	0.3712263	0.4769447	0.3989403	0.55945	0.4810174	0.5948931	0.649103	0.5235387	0.3457142	0.4515052	0.4670947	0.3381697	0.4961504	0.4729221	0.4810603	0.5089264	0.5454587	0.539475	0.3020414	0.3673133	0.4893439	0.6358076	0.438016	0.5133711	0.4636641	0.6626881	0.6668107	0.7160218	0.7115601	0.6323264	0.4257367	0.6301914	0.5693082	0.42933	0.2370213	0.5791473	0.2256385	0.0827411	0.049657	0.05612	0.0464966	0.3694856	0.5045818	0.545497	0.4666469	0.4371888	0.5288411	0.5573682	0.5027551	0.4315384	0.5376183	0.5479989	0.2056232	0.3678104	0.4380583	0.5701199	0.4068764	0.5012327	0.620376	0.5213186	0.4840168	0.4448443	0.5451042	0.5328446	0.5355231	0.5650318	0.3138005	0.2402184
G5	0.3426584	0.1874107	0.15177	0.1971755	0.2256527	0.1998274	0.3193813	0.2752912	0.1984295	0.2357282	0.3059361	0.2845782	0.1399739	0.0875211	0.1412694	0.1419231	0.1193776	0.412986	0.2592519	0.2759749	0.2612327	0.2583667	0.2842006	0.2316215	0.3538058	0.2817907	0.2241144	0.3160983	0.2330821	0.3991619	0.3528624	0.2979941	0.3324898	0.2855059	0.2396338	0.2565932	0.2959699	0.3481472	0.2550735	0.2187853	0.2662044	0.2328187	0.253921	0.3422764	0.2757704	0.0780485	0.1819845	0.2321073	0.1084591	0.1771246	0.2172479	0.2390976	0.2134142	0.2913599	0.3490292	0.2555107	0.3526657	0.2865771	0.4035186	0.2759972	0.1843771	0.2281871	0.2940232	0.2991257	0.3857457	0.3112792	0.2243913	0.2415861	0.4136406	0.2871456	0.2739902	0.2681866	0.2772089	0.3979294	0.3413008	0.1985105	0.2516044	0.243232	0.119186	0.0877972	0.1981737	0.1126827	0.0968609	0.2307933	0.3547928	0.2505825	0.1767991	0.317199	0.240612	0.194862	0.1918246	0.2935533	0.1863546	0.1150092	0.2325205	0.2545429	0.2897319	0.306744	0.2238552	0.3316611	0.2740718	0.3044455	0.259238	0.3240114	0.252793	0.3179413	0.3595526	0.212754	0.2428992	0.238816
G6	0.4790329	0.3722218	0.4701665	0.5403514	0.5459698	0.5150259	0.5549253	0.4181666	0.4268008	0.4875042	0.5506421	0.5288692	0.6077582	0.5908111	0.5687602	0.5216416	0.4439895	0.4907028	0.4554984	0.4395041	0.5010945	0.4958144	0.4588496	0.3910851	0.4469086	0.421554	0.6208216	0.533127	0.4994241	0.379566	0.3507569	0.3827432	0.4745351	0.4551209	0.2060849	0.23868	0.3531204	0.2250167	0.2353585	0.4839006	0.5255444	0.4303782	0.5195686	0.5312104	0.5241798	0.4635272	0.5329085	0.5194366	0.4965026	0.4663047	0.4895121	0.4125168	0.3971339	0.5490247	0.3592452	0.46475	0.5014303	0.4377258	0.5682555	0.4531497	0.542274	0.4134353	0.4121559	0.3741422	0.4724548	0.4053122	0.4498672	0.4668239	0.4602082	0.4218676	0.3921589	0.4149172	0.5261014	0.4822797	0.3421355	0.4398798	0.5193264	0.4773297	0.4401571	0.6598535	0.6669817	0.5227492	0.5629194	0.5188305	0.5416235	0.4751538	0.4839309	0.3886773	0.4392814	0.3930836	0.5331389	0.5390858	0.5034559	0.6258667	0.5434158	0.4346734	0.4440944	0.4167841	0.4096911	0.4043881	0.2682422	0.2229382	0.2109213	0.2373275	0.2472648	0.3791332	0.5019234	0.4666392	0.4536336	0.5071859
G7	0.5685806	0.5094752	0.5194925	0.5381088	0.6346685	0.5324554	0.4788301	0.4435465	0.4443783	0.3924725	0.4699825	0.5212796	0.6424694	0.594007	0.6643833	0.6986206	0.6766566	0.4584821	0.473647	0.4069455	0.4477681	0.4208591	0.5494373	0.5300073	0.4601334	0.4751794	0.4762322	0.4899249	0.336928	0.4801287	0.5335464	0.485879	0.474334	0.6067467	0.5360963	0.6228704	0.5734463	0.5606372	0.6883561	0.4338521	0.5216103	0.4379438	0.5693223	0.5802867	0.4975925	0.4306354	0.3796141	0.4179904	0.4865874	0.4365959	0.5052926	0.449951	0.398899	0.4275791	0.5068283	0.4920109	0.7552171	0.6059419	0.51642	0.6719669	0.5750068	0.3814875	0.537275	0.4058803	0.543551	0.4742556	0.4471468	0.5898352	0.7622199	0.610044	0.6359956	0.7508251	0.4718469	0.3779049	0.5070907	0.516805	0.443281	0.572446	0.2457044	0.3766436	0.3773863	0.3252667	0.3487631	0.4678896	0.3902242	0.4184972	0.4491513	0.5765416	0.5294241	0.3752586	0.5073463	0.3782934	0.4356226	0.3093307	0.5154134	0.4100979	0.368762	0.4697889	0.4421935	0.5119777	0.4082988	0.4147517	0.3700218	0.4023654	0.3769466	0.4413048	0.5182791	0.4192716	0.48904	0.4759276
G8	0.0678442	0.0923987	0.0509728	0.0610571	0.0518299	0.0772431	0.0822344	0.0906233	0.0651483	0.1092387	0.070794	0.0580807	0.0708944	0.0974067	0.184923	0.1283775	0.1280542	0.1574051	0.0940416	0.0775026	0.0835094	0.0775253	0.0580798	0.065408	0.1227175	0.0672266	0.0680844	0.0635832	0.0454152	0.0908775	0.0883641	0.0429053	0.0920529	0.0850661	0.0831654	0.0826634	0.0872613	0.1124667	0.0899836	0.0424456	0.0819566	0.0738986	0.067491	0.0688142	0.1272726	0.1814912	0.2311666	0.304034	0.2738155	0.2881859	0.0703465	0.0761514	0.0432358	0.0597775	0.0714627	0.0820397	0.0564935	0.0990412	0.0876334	0.0431569	0.0695328	0.0621303	0.0860304	0.0762902	0.0569525	0.0556729	0.0869511	0.4057743	0.4195662	0.5487571	0.4627761	0.4705538	0.1183422	0.1100221	0.0622153	0.0566473	0.0298685	0.0907931	0.6031153	0.6908908	0.7575006	0.5521681	0.8091335	0.1607439	0.0681228	0.0706513	0.068952	0.0721322	0.0788278	0.0666947	0.0701038	0.076501	0.1024944	0.0813275	0.1039126	0.0635946	0.0519962	0.0759476	0.0433948	0.0980064	0.0906468	0.0630681	0.0623663	0.0806382	0.0698136	0.079499	0.0423115	0.1010646	0.0570445	0.0563973
G9	0.6132384	0.6514589	0.7499914	0.6836236	0.7356503	0.6425203	0.5209023	0.5871479	0.5910238	0.5886112	0.5755202	0.6735573	0.5099989	0.4729736	0.4941528	0.4744458	0.4979354	0.5657062	0.5521565	0.575753	0.6552443	0.6864332	0.6861804	0.3852355	0.4308932	0.3859829	0.4035742	0.433502	0.6160156	0.66335	0.5705034	0.6058993	0.6923056	0.5321482	0.553466	0.5978865	0.6888582	0.5589704	0.6483949	0.6255851	0.6475926	0.5853351	0.5798971	0.514172	0.6461304	0.5814571	0.3719379	0.390691	0.4641116	0.3882431	0.5720007	0.47594	0.5055623	0.6098537	0.5889329	0.5387972	0.5555667	0.5148014	0.5884917	0.4485073	0.4289902	0.5823842	0.5300654	0.5666486	0.5227969	0.7073145	0.5693001	0.4328764	0.3646993	0.4156728	0.3572052	0.3756648	0.4608119	0.4996157	0.6733346	0.6409217	0.5586273	0.7049438	0.5778606	0.5840425	0.5324273	0.5250017	0.4730375	0.5839842	0.5618787	0.6406186	0.5670559	0.6568025	0.6107067	0.6303116	0.7249958	0.566086	0.5426055	0.5550232	0.5820674	0.6426862	0.5080321	0.7145141	0.6400332	0.564454	0.512702	0.3495948	0.3958154	0.3950377	0.3015454	0.5074183	0.4780226	0.4418634	0.5273682	0.5690269
G10	0.2964418	0.1784664	0.1708595	0.2451591	0.2842485	0.197812	0.2823153	0.2546079	0.2104744	0.1941952	0.2477436	0.3038368	0.249126	0.1976577	0.408234	0.2622255	0.2734561	0.2887824	0.2406709	0.1969461	0.295527	0.2015714	0.3161061	0.1261465	0.2926984	0.1404777	0.159547	0.1291668	0.3099928	0.2963717	0.2035018	0.2644883	0.2105839	0.2927313	0.1972052	0.2039309	0.2855042	0.2134426	0.2376516	0.2122765	0.1879665	0.2650171	0.2107901	0.25814	0.2753127	0.2060843	0.2866317	0.3412292	0.2474041	0.255162	0.3198936	0.1880337	0.1978195	0.1946769	0.1940634	0.2745435	0.2237774	0.2797872	0.1764837	0.1702165	0.202219	0.2425309	0.2950835	0.2487148	0.2462825	0.2157282	0.2695935	0.0614452	0.0436935	0.0336423	0.0088573	0.0102199	0.1827727	0.2111385	0.2462587	0.1825041	0.1669635	0.3192384	0.0998799	0.0345844	0.0290306	0.0298138	0.038441	0.1508838	0.2322683	0.2163321	0.1570202	0.1834556	0.2704745	0.2473581	0.2382112	0.2564121	0.2675352	0.2373412	0.1734373	0.2520748	0.2271456	0.2670492	0.2076532	0.3280664	0.0880617	0.0165038	0.0380829	0.0187035	0.0404239	0.1734251	0.2764748	0.2230549	0.1758036	0.2155183
