Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.010262	0.202728	0.005050
G2	-	G1	-0.014075	0.320865	-0.010962
G3	-	G1	-0.060753	0.995910	-0.146858
G4	-	G1	-0.069863	0.947966	-0.160751
G5	-	G1	-0.050790	0.669217	-0.082501
G6	+	G1	0.084675	0.803657	0.165173
G7	+	G1	0.027526	0.406286	0.027145
G8	-	G1	-0.030387	0.498859	-0.036794
G9	-	G1	-0.014667	0.340794	-0.012133
G10	+	G1	0.034520	0.180227	0.015101
G11	+	G1	0.106611	0.971929	0.251508
G12	+	G1	0.048776	0.301936	0.035747
G13	+	G1	0.056616	0.398765	0.054799
G14	-	G1	-0.031615	0.582475	-0.044698
G15	+	G1	0.000841	0.250069	0.000510
G16	+	G1	0.027068	0.381119	0.025040
G17	+	G1	0.087405	0.822179	0.174429
G18	-	G1	-0.038135	0.610162	-0.056478
G19	+	G1	0.020632	0.111805	0.005599
G20	+	G1	0.096739	0.890587	0.209119
G21	+	G1	0.068833	0.421566	0.070433
G22	-	G1	-0.001327	0.246341	-0.000794
G23	+	G1	0.123990	0.993414	0.298971
G24	+	G1	0.071946	0.660691	0.115377
G25	-	G1	-0.071980	0.960866	-0.167876
G26	+	G1	0.004772	0.217208	0.002516
G27	-	G1	-0.041784	0.703744	-0.071374
G28	-	G1	-0.038643	0.949331	-0.089043
G29	-	G1	-0.008513	0.344400	-0.007116
G30	+	G1	0.042482	0.324447	0.033455
G31	-	G1	-0.032504	0.470659	-0.037133
G32	+	G1	0.006105	0.462539	0.006854
G33	-	G1	-0.001673	0.252699	-0.001026
G34	-	G1	-0.021465	0.344835	-0.017966
G35	-	G1	-0.011641	0.492820	-0.013925
G36	+	G1	0.068825	0.659160	0.110116
G37	-	G1	-0.011062	0.232726	-0.006249
G38	-	G1	-0.008789	0.158504	-0.003381
G39	+	G1	0.003174	0.211796	0.001632
G40	+	G1	0.078812	0.748744	0.143231
G41	+	G1	0.101983	0.888471	0.219931
G42	+	G1	0.033425	0.096480	0.007827
G43	+	G1	0.080081	0.800563	0.155610
G44	+	G1	0.022537	0.451256	0.024685
G45	+	G1	0.035815	0.272978	0.023730
G46	+	G1	0.006710	0.153585	0.002502
G47	+	G1	0.063478	0.239844	0.036955
G48	+	G1	0.009311	0.362641	0.008196
G49	+	G1	0.024470	0.269499	0.016007
G50	-	G1	-0.009251	0.346152	-0.007773
G51	+	G1	0.019315	0.147732	0.006926
G52	+	G1	0.000380	0.280082	0.000258
G53	+	G1	0.116086	0.993907	0.280053
G54	+	G1	0.126891	0.997594	0.307256
G55	-	G1	-0.011236	0.279662	-0.007627
G56	+	G1	0.079752	0.678901	0.131420
G57	+	G1	0.055845	0.288074	0.039048
G58	+	G1	0.031149	0.126482	0.009563
G59	+	G1	0.031329	0.287322	0.021849
G60	-	G1	-0.001324	0.378324	-0.001216
G61	-	G1	-0.007873	0.436078	-0.008333
G62	+	G1	0.024224	0.291789	0.017156
G63	-	G1	-0.093984	0.999958	-0.228114
G64	-	G1	-0.018866	0.469083	-0.021481
G65	+	G1	0.014568	0.127911	0.004523
G66	-	G1	-0.029526	0.748098	-0.053615
G67	-	G1	-0.018857	0.627470	-0.028719
G68	-	G1	-0.087862	0.999437	-0.213144
G69	+	G1	0.087098	0.738952	0.156220
G70	-	G1	-0.004878	0.339013	-0.004014
G71	+	G1	0.006403	0.466360	0.007248
G72	+	G1	0.130183	0.965032	0.304937
G73	+	G1	0.084290	0.637759	0.130480
G74	+	G1	0.052434	0.171846	0.021871
G75	+	G1	0.039223	0.343558	0.032708
G76	-	G1	-0.029229	0.807688	-0.057303
G77	+	G1	0.039980	0.110455	0.010719
G78	+	G1	0.002302	0.475971	0.002659
G79	+	G1	0.138442	0.999656	0.335917
G80	-	G1	-0.017389	0.418505	-0.017664
G81	-	G1	-0.026109	0.788647	-0.049978
G82	+	G1	0.005697	0.471824	0.006524
G83	+	G1	0.034034	0.221702	0.018315
G84	+	G1	0.027639	0.093104	0.006246
G85	-	G1	-0.016251	0.296529	-0.011697
G86	+	G1	0.031428	0.376634	0.028731
G87	-	G1	-0.069134	0.944451	-0.158484
G88	+	G1	0.081943	0.826011	0.164290
G89	-	G1	-0.085450	0.999072	-0.207215
G90	+	G1	0.020559	0.235462	0.011750
G91	+	G1	0.032781	0.112145	0.008923
G92	-	G1	-0.020589	0.403998	-0.020190
G93	-	G1	-0.084781	0.766529	-0.157740
G94	-	G1	-0.000035	0.483368	-0.000041
G95	-	G1	-0.035447	0.380719	-0.032756
G96	+	G1	0.079098	0.636530	0.122208
G97	-	G1	-0.045029	0.946998	-0.103503
G98	-	G1	-0.147077	0.999995	-0.356990
G99	+	G1	0.044052	0.134867	0.014421
G100	+	G1	0.001280	0.295840	0.000919
G1	-	G2	-0.081226	0.974409	-0.192111
G2	-	G2	-0.006907	0.250123	-0.004193
G3	-	G2	-0.006515	0.249827	-0.003951
G4	+	G2	0.056973	0.755357	0.104456
G5	+	G2	0.032069	0.394907	0.030739
G6	+	G2	0.000349	0.231117	0.000196
G7	-	G2	-0.048048	0.585567	-0.068291
G8	+	G2	0.042141	0.538274	0.055058
G9	-	G2	-0.043612	0.586578	-0.062094
G10	-	G2	-0.021938	0.366534	-0.019518
G11	+	G2	0.083130	0.989538	0.199667
G12	+	G2	0.036544	0.543545	0.048213
G13	-	G2	-0.026417	0.381109	-0.024437
G14	+	G2	0.011992	0.249557	0.007264
G15	-	G2	-0.017863	0.304371	-0.013197
G16	-	G2	-0.002906	0.329670	-0.002326
G17	+	G2	0.059062	0.854643	0.122520
G18	-	G2	-0.002166	0.177124	-0.000931
G19	-	G2	-0.097570	0.999852	-0.236791
G20	-	G2	-0.002755	0.296835	-0.001985
G21	+	G2	0.069211	0.966909	0.162432
G22	+	G2	0.035659	0.523719	0.045329
G23	+	G2	0.048111	0.767964	0.089680
G24	-	G2	-0.076529	0.961198	-0.178547
G25	+	G2	0.070649	0.903081	0.154862
G26	+	G2	0.046246	0.653396	0.073344
G27	-	G2	-0.022513	0.326805	-0.017858
G28	-	G2	-0.007276	0.266452	-0.004706
G29	-	G2	-0.013829	0.267642	-0.008984
G30	+	G2	0.021707	0.335039	0.017653
G31	-	G2	-0.015059	0.282752	-0.010335
G32	-	G2	-0.031615	0.510240	-0.039154
G33	+	G2	0.016048	0.269263	0.010488
G34	+	G2	0.041555	0.487204	0.049141
G35	+	G2	0.006916	0.489553	0.008218
G36	-	G2	-0.000706	0.171147	-0.000293
G37	+	G2	0.084844	0.975515	0.200895
G38	+	G2	0.002310	0.138837	0.000779
G39	-	G2	-0.007885	0.250711	-0.004799
G40	-	G2	-0.005364	0.195837	-0.002550
G41	+	G2	0.038112	0.597302	0.055255
G42	+	G2	0.001739	0.203750	0.000860
G43	-	G2	-0.065563	0.829166	-0.131952
G44	+	G2	0.046359	0.551449	0.062052
G45	+	G2	0.078022	0.968696	0.183450
G46	-	G2	-0.046709	0.658732	-0.074683
G47	+	G2	0.081729	0.994332	0.197253
G48	+	G2	0.022477	0.411325	0.022440
G49	+	G2	0.012888	0.274763	0.008595
G50	+	G2	0.057111	0.820545	0.113747
G51	+	G2	0.036169	0.532014	0.046706
G52	-	G2	-0.030153	0.469709	-0.034377
G53	-	G2	-0.008286	0.185131	-0.003723
G54	-	G2	-0.061098	0.940076	-0.139413
G55	-	G2	-0.003345	0.272204	-0.002210
G56	-	G2	-0.015605	0.250041	-0.009471
G57	-	G2	-0.029504	0.367671	-0.026330
G58	+	G2	0.003821	0.255356	0.002368
G59	+	G2	0.010318	0.298516	0.007476
G60	+	G2	0.011463	0.388184	0.010801
G61	-	G2	-0.040753	0.527191	-0.052148
G62	-	G2	-0.024372	0.336619	-0.019913
G63	+	G2	0.059212	0.921615	0.132457
G64	-	G2	-0.000244	0.428687	-0.000254
G65	+	G2	0.011014	0.257411	0.006882
