edge_name,op,inf,grnboost,genie3,grisli,grnvbem,leap,pidc,ppcor,scode,scribe,sincerities,singe,ss_cor,ss_ranked,edge_exist,gc_coef
G4_G1,0.0054032580998777,0,1.93403797588945,0.0074125154755758,6765,0.458546,0.262467750608379,1.03378499502316,0,0.0716437220008306,0.102804265057834,0,0,0.135054496445733,0.467263647908524,0,0.620749568914477
G4_G2,0.0012925912717141,0,0.200079670297936,0.0015454961586996,6011,0.446867,0.172672731653832,0.845874603080587,0,0.169237114107004,0.0006532236572552,0,0,0.238170286555287,0.539324630488726,0,0.894736676069262
G4_G3,0.0061154594231118,0,1.54610657395794,0.0104105313172583,5412,0.483727,0.30936840907153,1.5588150078819,0,0.0634757976437503,0.0445981747660062,4.70212720140738e-36,0,0.403557647997857,0.516575990629286,0,0.831599335518634
G4_G4,0.324312106123973,0,0,0,3393,0.449957,0,0,1,0.0202352116422134,0,0,0,1,1,0,1
G4_G5,0.0039887312041611,0,0.218769984161437,0.0067299770283725,7673,0.487079,0.248918183355309,1.55662653933879,0,0.0488181775183311,0.0061009868500948,0.0019746837848862,0,0.397730806379888,0.389035520083551,0,0.0619992157666977
G4_G6,0.0053699530117202,0,3.80450250392323,0.0161060163963568,6177,0.506949,0.370192171005797,1.71812459066798,0,0.137934727951616,0.0431646096078972,0,0,0.463631497760379,-0.464929180216698,0,0.412869890084473
G4_G7,0.008203326548688,0,6.57653015626394,0.0259403307232679,8961,0.450568,0.22481967571546,1.85044300258525,0,0.640281846545621,0.0401105764376969,0,0,0.466264069993423,0.48681472804895,0,0.169581767101743
G4_G8,0.0048280924456948,0,1.07874927500207,0.0049321774790775,1276,0.48144,0.162543430666124,1.41433456319724,0,0.121367058114198,0.0129180093064999,0,0,0.220113478846902,0.619222292434074,0,0.779467390388056
G4_G9,0.0103960688823241,0,6.10907381773149,0.0157479733140805,2164,0.467083,0.279156714968048,1.70273700958651,0,0.189633392968544,0.0152054398384905,1.74686174589229e-36,0,0.353756486595633,0.479370559314458,0,0.907219560343503
G4_G10,0.0051412523947441,0,3.53685461222904,0.0108127967751652,8467,0.448736,0.161471993507347,1.3629780222806,0.292191662825032,0.511288799252732,0.0509231450984274,0.0243809403422251,0,0.0315702982491336,0.271594664451052,0,0.00813907254589606
