Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.009305	0.406436	0.012064
G2	-	G1	-0.018731	0.432175	-0.025824
G3	+	G1	0.037233	0.458645	0.054478
G4	+	G1	0.003631	0.451737	0.005233
G5	+	G1	0.047546	0.697696	0.105826
G6	-	G1	-0.002128	0.405064	-0.002749
G7	+	G1	0.033768	0.588103	0.063354
G8	+	G1	0.070485	0.929994	0.209116
G9	+	G1	0.007324	0.496677	0.011604
G10	+	G1	0.030929	0.545327	0.053807
G11	-	G1	-0.002802	0.459267	-0.004106
G12	+	G1	0.003338	0.386305	0.004113
G13	+	G1	0.120420	0.999412	0.383935
G14	-	G1	-0.051146	0.735379	-0.119988
G15	+	G1	0.008329	0.321222	0.008535
G16	+	G1	0.013188	0.408288	0.017178
G17	+	G1	0.013633	0.340536	0.014811
G18	-	G1	-0.018647	0.450832	-0.026818
G19	+	G1	0.007222	0.497344	0.011459
G20	-	G1	-0.007127	0.283894	-0.006455
G21	-	G1	-0.000212	0.392660	-0.000265
G22	+	G1	0.019291	0.483656	0.029765
G23	+	G1	0.014739	0.393980	0.018524
G24	-	G1	-0.025851	0.505715	-0.041706
G25	+	G1	0.006434	0.496232	0.010185
G26	+	G1	0.005449	0.499357	0.008680
G27	-	G1	-0.028381	0.444863	-0.040277
G28	-	G1	-0.080560	0.963974	-0.247741
G29	+	G1	0.017874	0.503484	0.028709
G30	-	G1	-0.008303	0.474679	-0.012573
G31	+	G1	0.001363	0.357024	0.001552
G32	+	G1	0.014902	0.258710	0.012299
G33	+	G1	0.010202	0.368081	0.011980
G34	-	G1	-0.016849	0.429221	-0.023071
G35	+	G1	0.066748	0.912124	0.194225
G36	-	G1	-0.009961	0.487786	-0.015501
G37	+	G1	0.015712	0.484499	0.024285
G38	+	G1	0.006917	0.322134	0.007108
G39	-	G1	-0.042462	0.545495	-0.073894
G40	+	G1	0.014575	0.419446	0.019502
G41	+	G1	0.024709	0.377223	0.029735
G42	+	G1	0.004763	0.392043	0.005957
G43	-	G1	-0.025202	0.465841	-0.037453
G44	-	G1	-0.025888	0.479770	-0.039623
G45	+	G1	0.011549	0.397354	0.014640
G46	+	G1	0.021198	0.443934	0.030021
G47	+	G1	0.008219	0.279877	0.007339
G48	-	G1	-0.056911	0.790192	-0.143463
G49	+	G1	0.038020	0.647062	0.078483
G50	-	G1	-0.071270	0.909217	-0.206723
G51	+	G1	0.035619	0.466776	0.053039
G52	-	G1	-0.016863	0.473287	-0.025461
G53	+	G1	0.029576	0.544852	0.051408
G54	-	G1	-0.008262	0.390090	-0.010281
G55	+	G1	0.051533	0.565712	0.093002
G56	+	G1	0.027212	0.394077	0.034211
G57	+	G1	0.031984	0.465551	0.047502
G58	-	G1	-0.038239	0.490033	-0.059779
G59	+	G1	0.016367	0.276437	0.014434
G60	-	G1	-0.032374	0.408853	-0.042225
G61	+	G1	0.017316	0.441571	0.024393
G62	+	G1	0.016884	0.341857	0.018413
G63	+	G1	0.007422	0.299642	0.007095
G64	-	G1	-0.028862	0.476671	-0.043889
G65	+	G1	0.070135	0.821208	0.183738
G66	+	G1	0.007646	0.276935	0.006755
G67	-	G1	-0.014377	0.482644	-0.022136
G68	-	G1	-0.011256	0.332600	-0.011944
G69	+	G1	0.007243	0.395171	0.009131
G70	+	G1	0.037956	0.551457	0.066775
G71	-	G1	-0.010861	0.500756	-0.017350
G72	-	G1	-0.004567	0.493572	-0.007191
G73	-	G1	-0.000711	0.494339	-0.001120
G74	-	G1	-0.067722	0.917475	-0.198216
G75	+	G1	0.039983	0.675608	0.086175
G76	+	G1	0.001038	0.383779	0.001271
G77	+	G1	0.009363	0.364593	0.010890
G78	+	G1	0.014544	0.500731	0.023233
G79	-	G1	-0.010586	0.360868	-0.012187
G80	+	G1	0.014699	0.419726	0.019682
G81	-	G1	-0.001469	0.498611	-0.002337
G82	-	G1	-0.000863	0.483034	-0.001330
G83	-	G1	-0.016284	0.432693	-0.022478
G84	-	G1	-0.000803	0.491454	-0.001259
G85	+	G1	0.026851	0.463661	0.039716
G86	+	G1	0.027282	0.371163	0.032304
G87	-	G1	-0.033463	0.563946	-0.060203
G88	-	G1	-0.001269	0.326154	-0.001320
G89	+	G1	0.055583	0.735732	0.130459
G90	-	G1	-0.000303	0.499507	-0.000483
G91	-	G1	-0.004363	0.477879	-0.006651
G92	-	G1	-0.005071	0.305509	-0.004943
G93	+	G1	0.017421	0.434316	0.024138
G94	+	G1	0.000505	0.386927	0.000623
G95	-	G1	-0.026895	0.515965	-0.044269
G96	-	G1	-0.009672	0.397800	-0.012274
G97	-	G1	-0.019257	0.502160	-0.030849
G98	+	G1	0.025619	0.500476	0.040903
G99	-	G1	-0.039625	0.596864	-0.075449
G100	-	G1	-0.005895	0.463784	-0.008722
G1	+	G2	0.002219	0.400613	0.002836
G2	+	G2	0.011901	0.422819	0.016053
G3	-	G2	-0.016090	0.310420	-0.015933
G4	-	G2	-0.013436	0.464325	-0.019903
G5	-	G2	-0.013920	0.360506	-0.016009
G6	-	G2	-0.003045	0.401158	-0.003897
G7	+	G2	0.056019	0.906064	0.161924
G8	+	G2	0.022656	0.498122	0.036002
G9	+	G2	0.003614	0.495360	0.005711
G10	+	G2	0.065738	0.953262	0.199914
G11	+	G2	0.001829	0.457167	0.002668
G12	-	G2	-0.014578	0.425924	-0.019808
G13	-	G2	-0.005412	0.376232	-0.006496
G14	-	G2	-0.023862	0.467405	-0.035580
G15	-	G2	-0.006689	0.319349	-0.006814
G16	+	G2	0.018376	0.460653	0.027005
G17	+	G2	0.011852	0.334922	0.012663
G18	+	G2	0.004919	0.390709	0.006132
G19	-	G2	-0.001343	0.495728	-0.002124
G20	-	G2	-0.009358	0.294577	-0.008795
G21	-	G2	-0.023736	0.518502	-0.039261
G22	-	G2	-0.008635	0.470805	-0.012970
G23	-	G2	-0.024118	0.484949	-0.037313
G24	+	G2	0.032696	0.635437	0.066279
G25	-	G2	-0.009288	0.498955	-0.014783
G26	-	G2	-0.000045	0.498275	-0.000072
G27	-	G2	-0.030009	0.497254	-0.047604
G28	-	G2	-0.001523	0.375756	-0.001826
G29	+	G2	0.002316	0.491441	0.003632
G30	+	G2	0.001330	0.471731	0.002001
G31	+	G2	0.002451	0.357303	0.002794
G32	-	G2	-0.024441	0.353103	-0.027532
G33	+	G2	0.012473	0.384426	0.015297
G34	-	G2	-0.010603	0.403589	-0.013652
G35	-	G2	-0.006721	0.394571	-0.008461
G36	-	G2	-0.006670	0.486115	-0.010344
G37	+	G2	0.008969	0.480304	0.013742
G38	+	G2	0.032892	0.548410	0.057544
G39	-	G2	-0.067180	0.930267	-0.199369
G40	-	G2	-0.017628	0.455752	-0.025629
G41	-	G2	-0.021812	0.380813	-0.026499
G42	+	G2	0.030623	0.610548	0.059646
G43	-	G2	-0.045158	0.755585	-0.108850
G44	-	G2	-0.004652	0.396548	-0.005885
G45	+	G2	0.061094	0.935034	0.182237
G46	+	G2	0.018790	0.447398	0.026818
G47	+	G2	0.011929	0.300085	0.011420
G48	-	G2	-0.014915	0.376519	-0.017915
G49	+	G2	0.022333	0.513239	0.036567
G50	-	G2	-0.072029	0.962627	-0.221196
G51	+	G2	0.011282	0.396704	0.014279
G52	+	G2	0.033159	0.520707	0.055081
G53	-	G2	-0.018119	0.463916	-0.026816
G54	+	G2	0.016566	0.445444	0.023541
G55	+	G2	0.019968	0.383623	0.024438
G56	+	G2	0.033771	0.483667	0.052108
G57	-	G2	-0.004960	0.342189	-0.005415
G58	+	G2	0.000311	0.292224	0.000290
G59	+	G2	0.011243	0.258931	0.009287
G60	-	G2	-0.002362	0.294834	-0.002222
G61	-	G2	-0.019556	0.452760	-0.028247
G62	-	G2	-0.005142	0.307023	-0.005037
G63	+	G2	0.001916	0.285481	0.001745
G64	-	G2	-0.009612	0.363533	-0.011148
G65	+	G2	0.023614	0.412843	0.031101
G66	-	G2	-0.011907	0.284965	-0.010825
G67	-	G2	-0.011002	0.480301	-0.016858
G68	-	G2	-0.019689	0.373906	-0.023486
G69	+	G2	0.016595	0.453562	0.024012
G70	+	G2	0.031389	0.536399	0.053713
G71	-	G2	-0.003640	0.497152	-0.005774
G72	+	G2	0.004843	0.494083	0.007634
G73	+	G2	0.002258	0.494591	0.003563
G74	-	G2	-0.012470	0.428992	-0.017066
G75	-	G2	-0.010333	0.423528	-0.013961
G76	+	G2	0.013238	0.427730	0.018064
G77	+	G2	0.000754	0.353031	0.000849
G78	+	G2	0.011386	0.498984	0.018124
G79	-	G2	-0.008984	0.354030	-0.010147
G80	+	G2	0.043947	0.788146	0.110498
G81	-	G2	-0.002654	0.498882	-0.004225
G82	+	G2	0.002931	0.483472	0.004521
G83	+	G2	0.032254	0.612827	0.063058
G84	+	G2	0.001632	0.491483	0.002559
G85	-	G2	-0.013828	0.380416	-0.016781
G86	-	G2	-0.054755	0.823244	-0.143803
G87	-	G2	-0.025985	0.528731	-0.043831
G88	+	G2	0.009467	0.339106	0.010241
G89	+	G2	0.009005	0.306533	0.008805
G90	+	G2	0.001284	0.499569	0.002047
G91	+	G2	0.009712	0.483170	0.014970
G92	-	G2	-0.007353	0.311501	-0.007307
G93	+	G2	0.016851	0.444133	0.023876
G94	-	G2	-0.025359	0.467107	-0.037789
G95	+	G2	0.043990	0.787398	0.110500
G96	-	G2	-0.002710	0.382371	-0.003305
G97	-	G2	-0.003321	0.487480	-0.005165
G98	+	G2	0.041694	0.745390	0.099145
G99	-	G2	-0.006604	0.340004	-0.007163
G100	+	G2	0.002025	0.463244	0.002992
G1	+	G3	0.040911	0.440058	0.057433
G2	+	G3	0.061975	0.483014	0.095497
G3	+	G3	0.070542	0.509945	0.114758
G4	+	G3	0.028729	0.470053	0.043081
G5	+	G3	0.043515	0.443108	0.061512
G6	+	G3	0.027745	0.417342	0.036939
G7	-	G3	-0.009977	0.394834	-0.012566
G8	+	G3	0.061334	0.615266	0.120387
G9	+	G3	0.021242	0.500480	0.033915
G10	-	G3	-0.052931	0.549530	-0.092793
G11	+	G3	0.026849	0.469607	0.040224
G12	+	G3	0.062274	0.603111	0.119816
G13	+	G3	0.093473	0.825746	0.246233
G14	-	G3	-0.028584	0.393398	-0.035873
G15	+	G3	0.026738	0.339143	0.028928
G16	+	G3	0.009291	0.387277	0.011479
G17	-	G3	-0.044799	0.426464	-0.060949
G18	-	G3	-0.001064	0.391761	-0.001330
G19	+	G3	0.024665	0.503145	0.039590
G20	+	G3	0.052426	0.439154	0.073448
G21	+	G3	0.052064	0.558698	0.092796
G22	+	G3	0.014470	0.469344	0.021666
G23	-	G3	-0.036826	0.444280	-0.052194
G24	+	G3	0.080159	0.756682	0.193499
G25	+	G3	0.008115	0.495723	0.012834
G26	+	G3	0.011585	0.499977	0.018479
G27	-	G3	-0.000357	0.336905	-0.000384
G28	-	G3	-0.052843	0.560839	-0.094545
G29	+	G3	0.045102	0.517577	0.074470
G30	-	G3	-0.028286	0.485195	-0.043783
G31	-	G3	-0.034799	0.437186	-0.048534
G32	+	G3	0.020004	0.247917	0.015821
G33	-	G3	-0.018783	0.369922	-0.022167
G34	-	G3	-0.010058	0.389579	-0.012501
G35	+	G3	0.081929	0.764224	0.199742
