1912,1867,200,12,3155,461,7280,211,67,887,8061,8180,5552,5039,8501,4897,6637,8525,1037,6215,4123,8566,8609,6469,7987,5206,8230,1982,35,8012,4176,8703,6944,6253,8801,8147,2671,6722,3513,7887,3788,8901,8993,7065,6426,7782,4515,3940,7156,1673,97,8270,1056,1629,832,1469,7706,1520,5772,6109,6784,6556,3553,163,9117,5438,6894,4036,1335,2714,3652,3365,6318,3752,7423,4873,8059,8273,9408,7809,7300,3731,3065,240,9508,6682,6924,8074,8280,9567,8076,6089,9652,9752,9835,7463,7406,9935,7981,7709
4690,2144,2130,586,372,3841,6697,866,1998,4768,7926,7866,6168,2454,7880,6717,5592,8526,6268,8009,1066,8567,8610,5482,6035,3005,8336,3952,1430,1805,2898,8704,5490,5870,8802,7244,1920,6575,3606,3495,128,8902,7897,5947,6404,5606,3316,5638,4273,2775,50,7949,7568,2645,1771,6096,9022,547,1945,5480,2181,1809,2392,45,9118,5848,4303,9217,4315,4388,5632,1183,815,1657,2269,2765,6529,9328,9409,6484,5456,2516,6290,1817,8461,1077,5050,7232,6227,9568,4087,2211,9653,8319,9836,4424,2718,9936,4639,2105
4880,1786,2354,2819,559,415,4077,475,1169,3394,1768,1487,7139,5028,4210,556,7632,5466,7228,411,3689,8568,7580,3081,2608,3511,5785,4762,344,2426,5743,8705,4753,7635,8803,7434,1990,7435,6990,5113,3038,8903,3485,743,4299,2887,1748,4070,4830,3801,2,9000,4875,2690,540,5465,9023,2809,6069,1859,4468,5356,4957,2759,9119,5297,7299,9218,6517,5416,7223,3836,5189,3456,5670,3691,8084,8112,9410,1645,5888,826,3359,2218,9509,1563,4993,5514,6935,8347,6684,7022,9654,9753,9837,2453,5314,9937,3133,5636
2688,4631,1663,194,1511,576,3418,65,2254,3714,2257,7488,2640,7702,6348,313,3804,5069,6391,717,7140,8292,8611,6017,5861,7024,8298,5322,2063,228,2025,8706,5720,7753,8804,7780,1334,7231,5643,2715,1984,8904,1941,4783,6355,2496,414,2996,4838,3879,520,4351,7009,5645,1151,2604,9024,2900,5822,3894,5995,4707,4843,1532,9120,4654,5666,9219,3207,7459,1991,1919,127,3825,6751,2987,9316,8216,9411,6927,7251,4704,6271,174,9510,6856,3876,5784,5913,9569,8417,7196,9655,9754,9838,6443,7105,9938,6987,6064
3867,4436,5570,2466,735,117,3705,196,1619,6498,4328,3173,7400,5431,6233,424,7384,2202,2820,879,5607,8569,8095,7368,7534,6072,7516,7916,224,468,5250,8707,7449,7674,8805,7080,911,5704,6680,7340,4970,8905,1737,1231,7038,7066,1103,1192,4239,5787,14,7805,4771,7006,250,4548,9025,3170,6050,4616,7203,3504,796,1051,9121,7651,7826,9220,7059,7377,5726,6573,4389,3509,7205,7017,7344,8243,9412,8100,6867,44,5949,884,9511,734,7347,5190,7815,9570,7137,6780,9656,9755,9839,4168,6580,9939,5115,7207
8176,629,3256,2313,3982,160,6241,2157,1761,7227,799,2075,2084,4860,5587,784,2925,3912,2634,850,6006,8355,7553,4001,7715,4846,4602,1355,5730,7398,276,8708,6982,5345,8806,7625,4018,6275,5503,5805,6190,8906,5763,1387,4084,1858,314,519,5993,2412,137,9001,6762,6605,5029,5401,9026,291,5104,159,6724,2858,770,5202,9122,3794,4689,9221,3845,5667,7213,6694,2018,3594,6536,3887,9317,9329,9413,3736,3761,4099,4363,1635,9512,4748,1349,9551,5095,9571,8077,6635,9657,9756,9840,5496,7268,9940,6978,2618
8115,3723,4267,2548,4767,3866,3277,554,1302,3045,7655,3933,5052,2386,7163,865,1005,7319,3400,1465,673,8570,7504,1567,3950,3972,7315,2255,600,2288,1992,8709,2587,4425,8807,6430,5823,4744,4705,3692,4374,8907,7496,2513,3569,4780,1818,2946,2908,3875,867,7249,4199,3772,233,5093,9027,1170,3507,6030,1162,5044,4329,3886,9123,4564,2012,9222,505,4249,6797,4688,2010,1419,2543,3976,7572,8159,9414,1812,2621,2639,4871,1642,8310,6545,1461,6336,5182,8370,5569,5845,9658,9757,9841,7111,4139,6566,932,5177
6891,4250,4885,848,241,29,4751,261,3756,6607,7759,5585,6726,5261,3977,1788,4886,2725,7454,5034,2093,8571,7684,6875,7509,7554,8684,4253,93,6195,2162,8710,7896,7074,8808,7427,786,6711,5958,3858,814,8908,7830,1205,5714,6652,938,2467,4701,2423,3,8214,3811,6302,4476,2372,9028,823,6622,2019,7437,3578,6402,320,9124,7825,6776,9223,4177,6232,7354,6210,427,542,6579,7586,8239,9330,9415,7267,5989,628,3040,521,9513,4518,5027,8409,3061,9572,8318,6882,9659,9758,9842,7552,6686,9941,6407,7060
6733,3332,1378,2731,3720,1542,2575,2909,920,3209,3017,8105,3252,2004,7198,5945,3605,8527,4466,3786,631,3203,8612,4343,4832,1006,7331,4457,2828,3680,5507,8711,4820,6192,8809,4344,4922,4587,1380,2232,1481,8909,7626,3939,4005,3293,1896,4224,3551,3650,904,5886,3817,1119,1620,3698,9029,166,5267,6933,1527,4878,4158,1100,9125,4173,4720,9224,959,2726,6414,898,2234,1778,5939,1060,7699,9331,9416,4593,4179,2005,3762,2488,8462,5239,3981,8276,5184,9573,4433,5370,9660,9759,9843,3301,2287,9942,3598,281
4662,3604,4773,487,727,198,3149,4,1462,1134,6272,4145,2489,6434,7533,2006,6176,7349,5223,1699,6562,8331,8443,1650,6583,7720,8128,5061,1358,7094,7685,8712,7617,7261,8810,8013,379,6747,4984,3193,7324,8910,5000,4975,6038,6723,2585,732,7747,4626,212,5035,3941,6361,25,444,8453,4157,2842,5395,5591,6866,4212,180,9126,6766,5126,9225,6277,6993,4549,5310,3302,150,3295,3318,5097,9332,9417,7766,5260,2600,5090,630,9514,3386,4083,8190,7575,9574,7666,5659,9661,9760,9844,5671,6067,9943,7785,5383
