"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3692256	0.3307720	0.6159868	0.4740987	0.1119588	0.6943705	0.6257582	0.5107389	0.6832262	0.2635477	0.3724959	0.1120946	0.2099856	0.3417709	0.1849939	0.2388928	0.6579129	0.3140046	0.4985051	0.4018316	0.1863206	0.1120579	0.5144126	0.5752389	0.7990657	0.7929971	0.3091971	0.4977983	0.0710179	0.0012621	0.3140341	0.3954971	0.7015977	0.2940558	0.2263148	0.1039126	0.6207081	0.0214953	0.8308986	0.2961376	0.6297226	0.0403402	0.5915106	0.0394069	0.0851560	0.6885434	0.3973192	0.3282979	0.5633032	0.5006584	0.2460873	0.7462605	0.4565785	0.7431384	0.6610529	0.4693044	0.0794006	0.0421144	0.0404128	0.7754098	0.0153466	0.0847785	0.2721236	0.4351828	0.1463490	0.6492693	0.0725540	0.0543469	0.2610958	0.0304357	0.8067533	0.3694529	0.1948347	0.0267355	0.4205169	0.0314662	0.5911282	0.4687660	0.3791186	0.3186599	0.4327463	0.2808528	0.6887867	0.0858261	0.7105469	0.7380868	0.2195699	0.6311177	0.1061973	0.7488469	0.7119375	0.6791126	0.0502803	0.5504652	0.0764862	0.5164880	0.5483703	0.6847981	0.0163801	0.5244323
100	0.7348526	0.2423122	0.7380283	0.2051814	0.3210134	0.9020016	0.4409848	0.5438676	0.7273863	0.2028977	0.3731726	0.1171978	0.1897885	0.2154831	0.2312442	0.2807396	0.5665473	0.2382123	0.0774575	0.4360596	0.1713098	0.1014853	0.6340741	0.4928046	0.4993750	0.7403632	0.2683024	0.4544461	0.0661389	0.0086351	0.2812761	0.4825506	0.6132399	0.2558474	0.2946308	0.2036499	0.4533901	0.0003424	0.6209225	0.2741024	0.1646411	0.4564105	0.4727121	0.0071467	0.0752958	0.3538184	0.3258686	0.2604731	0.3286886	0.4945623	0.4284458	0.7259576	0.4712730	0.6307797	0.7390104	0.3865931	0.4135459	0.0788836	0.0485434	0.6344358	0.0171061	0.0956481	0.3529954	0.4699768	0.5764584	0.4487212	0.0793336	0.0029010	0.5242366	0.0761960	0.6434905	0.2836566	0.2145365	0.0412223	0.4503259	0.0594546	0.5743177	0.6669267	0.3018663	0.1563666	0.3300920	0.2767265	0.5939456	0.1022876	0.5162907	0.2543931	0.2814774	0.7740202	0.0526055	0.6778952	0.1095827	0.6832248	0.0679449	0.4888552	0.0172052	0.6033620	0.2167470	0.6414619	0.0222913	0.6872037
200	0.7050013	0.3188545	0.7307209	0.2168536	0.3071729	0.8702037	0.4912565	0.5591226	0.8018373	0.2219674	0.3006440	0.1340800	0.1256700	0.3359157	0.1383567	0.2662480	0.5649096	0.1201130	0.0168423	0.3909128	0.1411750	0.1135820	0.5380142	0.5544671	0.6298326	0.7262841	0.2228226	0.3797945	0.0516239	0.0087781	0.1891959	0.4146091	0.6694355	0.2454326	0.2798441	0.2418238	0.4599642	0.0001156	0.7063157	0.2624847	0.0922448	0.5633861	0.4010200	0.0002551	0.0448496	0.3502134	0.4652214	0.1816949	0.2155435	0.6822435	0.5487072	0.4370558	0.4488941	0.6263683	0.6249968	0.4305376	0.4153527	0.0215402	0.0652784	0.5837336	0.0142507	0.1843537	0.2669123	0.5300093	0.6565810	0.4402828	0.2409150	0.0012123	0.5711797	0.1880044	0.6539474	0.3126387	0.2546261	0.0507815	0.4439090	0.0350897	0.7987223	0.6081794	0.4061008	0.2084789	0.3473245	0.1803126	0.7459980	0.0939706	0.5990150	0.1891251	0.4461876	0.7652528	0.0428336	0.6657502	0.0380643	0.6371649	0.0671049	0.3518533	0.0096296	0.3962923	0.2192866	0.6893498	0.0165042	0.4804612
300	0.7099993	0.2976880	0.7229517	0.2048241	0.2758855	0.7436333	0.5222535	0.4884664	0.8052500	0.2003592	0.5245527	0.1357722	0.1819184	0.3324427	0.1706051	0.2649154	0.5965247	0.0427937	0.0174755	0.5145677	0.1693919	0.0984574	0.6743431	0.6636548	0.7038715	0.6652260	0.2452210	0.5628567	0.0588461	0.0052621	0.2209705	0.3730900	0.5568842	0.2938524	0.2918765	0.1956992	0.3308617	0.0004724	0.6990343	0.2087393	0.0445432	0.5725507	0.3780328	0.0003266	0.0574043	0.3687359	0.4152191	0.2371440	0.1543894	0.5928743	0.5328067	0.3954132	0.3160353	0.7014599	0.3939423	0.5564459	0.3644430	0.0145342	0.0425822	0.7342444	0.0207922	0.0899025	0.2844686	0.4552842	0.5729863	0.2753179	0.3497361	0.0000000	0.5531244	0.3023221	0.7277856	0.2876177	0.2958349	0.0998327	0.3268529	0.0503874	0.5708927	0.5016446	0.3055923	0.2017056	0.4534498	0.1132938	0.6693213	0.0385271	0.6169860	0.2158510	0.2558540	0.7564520	0.0346412	0.6738086	0.0259632	0.6072865	0.0381008	0.5354800	0.0176960	0.4165962	0.1394977	0.5338228	0.0249369	0.5991648
400	0.6653403	0.2679693	0.6239063	0.2800308	0.3021350	0.6202055	0.5186632	0.6614176	0.6842270	0.2739941	0.4004372	0.1064964	0.1179667	0.2712651	0.1902695	0.2450962	0.5516564	0.0146231	0.0232632	0.5371419	0.1698108	0.0787907	0.5511436	0.5407914	0.6441110	0.6898481	0.3771907	0.4800411	0.0707841	0.0064513	0.2591368	0.3830406	0.8098995	0.2795146	0.3401889	0.1694798	0.3200052	0.0000956	0.7535321	0.2594533	0.0945363	0.6454466	0.4661700	0.0019353	0.0340316	0.3245554	0.4133598	0.3456264	0.2175952	0.6169718	0.5914156	0.3245939	0.2980091	0.7231540	0.6010088	0.3895444	0.3132219	0.0177672	0.0675782	0.7441434	0.0356079	0.1733253	0.2436955	0.5035893	0.6490787	0.2507179	0.4315360	0.0024161	0.3100938	0.3224230	0.6535235	0.3380904	0.2987077	0.0415070	0.4312042	0.0897132	0.6153867	0.6190907	0.2604720	0.1879076	0.3992490	0.1570877	0.6893906	0.0131570	0.5497987	0.2018332	0.3897608	0.7184203	0.0354569	0.5966221	0.0842781	0.7096141	0.0570519	0.4226091	0.0088521	0.5606280	0.1582043	0.6789200	0.0241594	0.5247977
500	0.6478910	0.2491846	0.6935283	0.2212711	0.2176108	0.8065999	0.5988048	0.3565611	0.6946445	0.2301216	0.3423243	0.1244461	0.1842578	0.3223128	0.1433188	0.2407089	0.5594297	0.0221462	0.0316626	0.4198077	0.1546830	0.1929494	0.5248062	0.3806402	0.7700112	0.6350857	0.2992830	0.5384522	0.1629793	0.0053573	0.3205201	0.3728310	0.7107447	0.3051921	0.2430588	0.1986859	0.2227917	0.0000171	0.7373726	0.2260508	0.1139402	0.6087762	0.3259837	0.0004057	0.0290583	0.3453811	0.4126187	0.3176058	0.1661522	0.6876871	0.7539468	0.3087299	0.3866957	0.6940753	0.5471972	0.4588232	0.4486008	0.0326663	0.0721200	0.6408963	0.0204952	0.1860344	0.2501905	0.4567472	0.6142193	0.2810016	0.3957514	0.0005159	0.6242991	0.2657868	0.6932562	0.3672362	0.1794452	0.0112308	0.3902057	0.0428546	0.7181813	0.5433022	0.3602248	0.1652497	0.4206963	0.1544785	0.7400450	0.0233439	0.6247652	0.2329556	0.3786525	0.7826321	0.0428298	0.6580318	0.0631873	0.6404669	0.0647572	0.4757480	0.0225325	0.6045263	0.2702619	0.8147200	0.0650839	0.6000771
600	0.3881350	0.3733675	0.7546864	0.4162118	0.1345261	0.7657702	0.5400259	0.3703083	0.6446148	0.2085042	0.3223806	0.1860334	0.2421298	0.3682078	0.1226814	0.2902922	0.5699574	0.0562244	0.2380205	0.3989431	0.2342143	0.3013021	0.5710640	0.2498306	0.6794771	0.5799118	0.2632743	0.6589530	0.0464178	0.0141118	0.3122128	0.4734898	0.6939851	0.3299910	0.2847765	0.1983786	0.4937018	0.0182585	0.5265920	0.3537529	0.8603018	0.0848034	0.4948376	0.0380028	0.0559046	0.6860573	0.4324811	0.2660019	0.3727222	0.5430330	0.5896122	0.4219047	0.3370716	0.4942538	0.6705969	0.5666058	0.1800875	0.0294467	0.0402601	0.6696924	0.0038666	0.1123421	0.3222339	0.3968399	0.2548934	0.3094258	0.1528416	0.0595303	0.5034344	0.1751950	0.8104623	0.4260231	0.3241653	0.0683265	0.4523745	0.1097299	0.5852131	0.5211738	0.3499114	0.3828023	0.4787974	0.1206768	0.7289200	0.0428530	0.5669409	0.5121596	0.0614411	0.6535073	0.0492164	0.8026349	0.6574323	0.5913385	0.0681602	0.4910260	0.0634452	0.5432814	0.6226753	0.6879269	0.0136458	0.5730125
700	0.4197768	0.2537130	0.6750614	0.4742363	0.0811599	0.8042788	0.5912236	0.4407326	0.5888012	0.2868327	0.3349593	0.1434161	0.2075223	0.3458983	0.2219221	0.3524110	0.5325636	0.0813363	0.4274017	0.3586495	0.2040995	0.2874682	0.4662650	0.3707851	0.6589723	0.6507928	0.2906625	0.4730722	0.0597249	0.0043309	0.2074357	0.3296789	0.7184157	0.2615665	0.2081515	0.1584701	0.7542476	0.0123581	0.6939535	0.3556727	0.6938145	0.0778658	0.5230113	0.0444387	0.0411213	0.6724740	0.3761082	0.2163933	0.4513792	0.5376351	0.2810651	0.5481805	0.4108050	0.6869464	0.6382236	0.4070958	0.1085455	0.0346182	0.0574324	0.7773113	0.0023090	0.1519947	0.2731212	0.5117928	0.2620295	0.5241448	0.0212546	0.0757624	0.3282263	0.0653134	0.7233976	0.2867761	0.2636363	0.0330747	0.3774323	0.0630047	0.6414722	0.5491478	0.3920222	0.3828040	0.3754531	0.2891556	0.7157304	0.0567111	0.4140582	0.4858437	0.0042791	0.6772054	0.0293395	0.7495568	0.7042864	0.7808758	0.0671304	0.4924650	0.1131436	0.6337199	0.5801704	0.7513580	0.0319073	0.5796007
800	0.3435743	0.2885329	0.7483055	0.4513155	0.0818363	0.6770750	0.5023700	0.5292896	0.7425095	0.1908934	0.3974982	0.1320911	0.2314205	0.2635776	0.1361843	0.3388035	0.5210161	0.1568419	0.5117639	0.3305422	0.1795572	0.1068661	0.4860166	0.4737288	0.6896799	0.6032383	0.2295379	0.5462396	0.0755854	0.0028763	0.1761921	0.4090822	0.7875138	0.2759449	0.2342157	0.2108407	0.6782807	0.0226551	0.7727268	0.2623420	0.6522076	0.0584525	0.6103869	0.0568352	0.0534600	0.6025245	0.3946255	0.2995402	0.5279586	0.6425658	0.2418718	0.6593496	0.4878002	0.6120123	0.7106791	0.4332455	0.0965502	0.0084479	0.0579666	0.6585535	0.0231230	0.1175449	0.3459362	0.4891069	0.2059624	0.4979339	0.0494548	0.0566053	0.3017064	0.0684573	0.6614532	0.3629390	0.1731147	0.0656333	0.3477031	0.0506854	0.7444720	0.6003373	0.3321278	0.3611073	0.4555364	0.2579955	0.6427613	0.0439711	0.4962545	0.6341985	0.0012455	0.8605571	0.0960837	0.6323126	0.6243457	0.6372539	0.0499478	0.6426917	0.0614509	0.6535267	0.5130669	0.7936672	0.0689475	0.5723500
