"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.1844903	0.3110557	0.4903641	0.4972785	0.7836997	0.0654105	0.8679302	0.4451549	0.0197162	0.4592414	0.0228437	0.4644221	0.0546749	0.0212793	0.0049232	0.1094666	0.4281574	0.6492242	0.0606415	0.0005585	0.0658545	0.2402131	0.1046216	0.0995956	0.1607737	0.6036233	0.5213485	0.4328496	0.1594928	0.4430676	0.2062152	0.0380097	0.3076257	0.0716232	0.6786148	0.7432143	0.8801506	0.0916234	0.0686344	0.6761287	0.0357768	0.6039654	0.8050446	0.4914951	0.5900887	0.7534572	0.5638142	0.5673515	0.3792201	0.2210939	0.5867977	0.6122428	0.4421260	0.3407931	0.5274691	0.3057590	0.2253069	0.2110079	0.1125460	0.2609353	0.0181740	0.2600147	0.8287727	0.4455570	0.7847773	0.3387959	0.3933580	0.4861004	0.5616167	0.0465532	0.2636058	0.0214647	0.0536828	0.0537032	0.4382222	0.6805372	0.0122137	0.1004298	0.1919258	0.0396871	0.3149159	0.1028791	0.7565610	0.2484349	0.5151191	0.1416871	0.1833412	0.0906681	0.0433904	0.7769732	0.7751368	0.4825032	0.6796350	0.5164878	0.5569196	0.7524737	0.2830859	0.5772975	0.4809750	0.6920141
100	0.1181028	0.2308966	0.6130852	0.3743479	0.7320263	0.0457118	0.7020548	0.4710323	0.0281216	0.2859232	0.0024633	0.4108062	0.0413388	0.0194672	0.0075486	0.6493403	0.3915632	0.4469233	0.0554599	0.0017810	0.1559522	0.2863978	0.0845753	0.0863428	0.1416814	0.3882077	0.3163836	0.3667482	0.1966747	0.4080552	0.4152091	0.0251984	0.0730262	0.1073347	0.6041900	0.5835821	0.7695209	0.1162211	0.0716282	0.6603779	0.0436201	0.6376739	0.6974824	0.5498406	0.6137485	0.6183106	0.7310523	0.6396851	0.3302160	0.2359593	0.8493533	0.6132365	0.3530497	0.2450342	0.5857103	0.3471028	0.3713467	0.2651948	0.0588956	0.2446061	0.0073015	0.3224290	0.6019642	0.5493712	0.0228055	0.1526047	0.3315778	0.4647291	0.4680422	0.0119080	0.0291020	0.0284906	0.0430964	0.0505294	0.4158092	0.6780554	0.0128922	0.0970339	0.0258109	0.0009505	0.4887436	0.1064769	0.5806967	0.1805473	0.5587025	0.1480337	0.1148178	0.5195855	0.0582690	0.7741841	0.9357507	0.4865061	0.7067541	0.4738992	0.4712844	0.4108869	0.3802055	0.7105337	0.7767392	0.7669131
200	0.1128062	0.2283972	0.4935853	0.3816125	0.6188616	0.0436669	0.7376152	0.4375420	0.0135444	0.2458771	0.0131445	0.4177057	0.0541529	0.0121288	0.0123267	0.7334778	0.4114316	0.5936921	0.0900940	0.0027160	0.2560168	0.2401989	0.0832185	0.1013260	0.1499819	0.5090320	0.4524175	0.2639788	0.1750180	0.4371875	0.4409029	0.0103900	0.0524935	0.1463577	0.6566466	0.7056474	0.7416400	0.1242930	0.0656302	0.6861787	0.0567323	0.6226881	0.8459051	0.5788481	0.6526698	0.5854098	0.7383705	0.8224588	0.3350727	0.2474428	0.6970636	0.5710730	0.3458798	0.2566155	0.5151178	0.3682005	0.3138495	0.2917173	0.1711811	0.2486599	0.0301989	0.3456319	0.6559069	0.4419788	0.0010761	0.1614560	0.4602360	0.4483461	0.4887169	0.0347862	0.0514314	0.0367670	0.0058362	0.0969386	0.3940282	0.6513016	0.0189670	0.0684412	0.0473393	0.0012746	0.3653941	0.1056720	0.7702686	0.1757477	0.6572605	0.2339608	0.1868127	0.5925628	0.0347779	0.6767163	0.7172946	0.4655943	0.8244073	0.5096459	0.4263620	0.4931109	0.4627413	0.6007389	0.7135654	0.6520629
300	0.1368708	0.2352272	0.6505451	0.3260377	0.6447609	0.0287364	0.7007296	0.4678646	0.0096612	0.2161992	0.0139491	0.4073051	0.0555461	0.0072970	0.0179767	0.7111198	0.4224384	0.5825231	0.0598849	0.0038756	0.2992819	0.2884440	0.0987284	0.0641813	0.1307718	0.4585393	0.3184401	0.3779477	0.1341771	0.2797007	0.4763155	0.0171820	0.0404515	0.2008318	0.6224053	0.6124107	0.6491090	0.0810796	0.0586111	0.7126429	0.0264446	0.7221502	0.5738162	0.5667293	0.5505914	0.5754043	0.6894879	0.6965827	0.2541024	0.1254314	0.6899392	0.6470564	0.3274963	0.2893945	0.5342844	0.2504542	0.2990221	0.3342657	0.0655691	0.1839721	0.0071082	0.3553435	0.6493525	0.5918268	0.0007494	0.1713027	0.3538208	0.4304840	0.5735559	0.0136849	0.0409781	0.0243148	0.0196340	0.0865973	0.2776580	0.6363317	0.0074321	0.0814140	0.0949625	0.0003607	0.4360454	0.2032332	0.7757789	0.1947154	0.6096492	0.1789547	0.1695321	0.6111526	0.0731755	0.5940160	0.7297078	0.6995989	0.9022814	0.5283736	0.4591048	0.4199001	0.3928347	0.6503680	0.6518850	0.7184750
400	0.2131256	0.2103831	0.7025654	0.4404086	0.8056321	0.0121946	0.6373404	0.5732442	0.0078805	0.2595666	0.0093196	0.3466080	0.0226432	0.0097661	0.0062129	0.6713015	0.4384541	0.5771959	0.0920623	0.0001322	0.2672867	0.2410479	0.1026894	0.1584709	0.1579659	0.4628603	0.2743217	0.2742237	0.1568266	0.2343719	0.4689299	0.0225621	0.0825816	0.1996925	0.6753829	0.5811609	0.6214774	0.0920557	0.0713324	0.7645515	0.0826233	0.8040300	0.6923279	0.5772599	0.5823179	0.5238956	0.6667556	0.7625035	0.2408233	0.1975329	0.6715623	0.7187633	0.3954935	0.2470431	0.4446551	0.2286128	0.3683292	0.2643028	0.1073872	0.2813758	0.0154415	0.3432272	0.7246150	0.5003797	0.0065356	0.1317490	0.4339879	0.4165385	0.3845442	0.0245846	0.0359702	0.0154960	0.0090988	0.1036594	0.3926203	0.6136194	0.0103365	0.1165043	0.0287654	0.0001649	0.4200689	0.0912709	0.6341612	0.1770774	0.5582152	0.1870729	0.1471907	0.5964393	0.0532511	0.8478974	0.6390987	0.5746428	0.6595106	0.4731895	0.4856744	0.5300759	0.3967509	0.6298689	0.7526002	0.7201958
500	0.1537943	0.2827021	0.7692106	0.4216274	0.5899143	0.0544877	0.8005446	0.4324757	0.0276633	0.2457010	0.0043178	0.4347760	0.0556595	0.0175152	0.0179176	0.7453113	0.4076537	0.5467063	0.0315247	0.0009131	0.2108588	0.2492367	0.2323855	0.1444872	0.0879474	0.3833228	0.1962191	0.4718236	0.1277618	0.2658793	0.3774197	0.0215831	0.0742576	0.1218744	0.6023146	0.7548543	0.6579276	0.1202517	0.0563720	0.8105230	0.0491416	0.7290948	0.6157300	0.4368198	0.6819398	0.6305141	0.5970491	0.7328736	0.2832293	0.2070316	0.7094988	0.6550723	0.3693417	0.2473229	0.5129322	0.3210242	0.4569440	0.2724340	0.1244483	0.2751309	0.0331065	0.4145535	0.6734704	0.4948305	0.0004119	0.1492122	0.4617432	0.3760956	0.4438778	0.0125756	0.0427252	0.0284927	0.0472793	0.0659019	0.3911321	0.7605553	0.0208551	0.0898136	0.1011098	0.0003313	0.5446736	0.0751982	0.6706896	0.1810205	0.5999452	0.1661892	0.1686953	0.6604912	0.0356669	0.6627108	0.7780201	0.6023326	0.6368193	0.4301296	0.5287762	0.3971114	0.4482964	0.7264533	0.6145977	0.6356178
600	0.1389499	0.3109494	0.5592415	0.3714876	0.6215120	0.0252752	0.7298895	0.3597399	0.0058676	0.5295579	0.0226066	0.4077597	0.0327538	0.0146477	0.0021994	0.0945229	0.4127021	0.5531330	0.0551994	0.0061412	0.0846937	0.1971121	0.0928590	0.1892375	0.1543181	0.7328024	0.3202478	0.4886941	0.2322965	0.3806777	0.1321489	0.0186182	0.2107486	0.2078496	0.7887169	0.7101208	0.7763329	0.0736837	0.0685960	0.7014197	0.0242009	0.6232164	0.6530588	0.4173221	0.6291974	0.7687524	0.5620158	0.5705235	0.4317389	0.1586369	0.7008624	0.6833734	0.4059313	0.3030677	0.5647469	0.3141342	0.3600347	0.2777341	0.0981114	0.3006190	0.0099619	0.2609195	0.6259761	0.4060605	0.5581960	0.5817738	0.4675722	0.3823101	0.5130702	0.0148924	0.1672976	0.0145952	0.0179464	0.0644198	0.4612702	0.7181239	0.0113405	0.0815738	0.1869918	0.0267012	0.4397951	0.1245117	0.6131619	0.1538335	0.5581172	0.2026491	0.1334759	0.1079974	0.0222820	0.6498203	0.7443657	0.5407622	0.7853669	0.4505305	0.5229511	0.6481623	0.3548965	0.6826574	0.4475367	0.6568244
700	0.1183132	0.3144921	0.4812838	0.3525711	0.6538624	0.0887555	0.7483071	0.5491797	0.0075607	0.3939271	0.0302256	0.3154166	0.0416544	0.0424311	0.0084566	0.1309396	0.3083143	0.5914092	0.0791803	0.0012853	0.0450531	0.1707561	0.1703900	0.1067777	0.1250091	0.6926210	0.4658233	0.3925605	0.1729460	0.5615896	0.1733914	0.0275025	0.2427979	0.0933991	0.8144911	0.7435767	0.6349682	0.1107928	0.0528084	0.7305660	0.0912258	0.6846085	0.5835338	0.5420020	0.5911062	0.6844305	0.5911321	0.6840675	0.4725000	0.1572758	0.6743914	0.7064761	0.4115657	0.2090954	0.4439217	0.3776886	0.2017545	0.2351857	0.0939483	0.3095335	0.0085335	0.3057664	0.7548354	0.4388430	0.5270380	0.4611147	0.3677858	0.4698759	0.5736309	0.0082924	0.1809220	0.0300926	0.0247270	0.0468665	0.4419793	0.7495634	0.0157801	0.0995585	0.1665581	0.0175991	0.3990134	0.1703945	0.6640475	0.1966585	0.5870600	0.2151193	0.1741760	0.0511319	0.0613369	0.6561640	0.5817336	0.4728721	0.6804230	0.4657555	0.5493892	0.6955672	0.2580959	0.6166855	0.6103549	0.7671462
800	0.2267508	0.2991339	0.6293663	0.4161587	0.5370705	0.0498751	0.7400943	0.5975003	0.0134667	0.5687826	0.0163244	0.4511602	0.0307569	0.0060047	0.0148938	0.1229389	0.3940446	0.5161101	0.1180650	0.0062838	0.0669254	0.1595545	0.1248414	0.1901358	0.1557147	0.6651640	0.4636410	0.4070577	0.2280750	0.5149320	0.2284354	0.0172930	0.2870504	0.0897844	0.6627173	0.8308552	0.6498754	0.0769226	0.0434508	0.6758536	0.0671519	0.6712708	0.6477524	0.5803597	0.6904622	0.6267880	0.5541318	0.6675837	0.5109662	0.1477049	0.7376818	0.7155311	0.5937902	0.2974632	0.4857642	0.3531589	0.1993585	0.2597804	0.1257016	0.3031586	0.0260456	0.2911565	0.6705080	0.4434986	0.4331591	0.4942332	0.3643926	0.3770543	0.4155851	0.0267378	0.1951370	0.0243149	0.0252893	0.0539005	0.3526357	0.7205541	0.0375585	0.0790838	0.2766718	0.0139127	0.4250845	0.0972140	0.8208719	0.2116515	0.7082922	0.2157401	0.1430882	0.0808743	0.0400556	0.6530505	0.8214936	0.5018549	0.6183547	0.4626075	0.4865419	0.6623496	0.3024396	0.6826027	0.5365846	0.7432735
