"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3156245	0.1223994	0.0821489	0.0142374	0.2587201	0.4972138	0.4813459	0.0464781	0.2721853	0.2634519	0.3755648	0.5942989	0.2746747	0.0886238	0.4841128	0.5949751	0.1042315	0.7003071	0.3141368	0.8013807	0.0398709	0.3082141	0.1901059	0.3112107	0.2893697	0.1509814	0.2456669	0.2261154	0.2616083	0.3958695	0.2162426	0.6737876	0.5054830	0.5282160	0.5378246	0.2387155	0.3980951	0.5697577	0.3388703	0.3598240	0.1755684	0.5515372	0.4462154	0.5757646	0.5590158	0.0975899	0.3772360	0.0500762	0.6062123	0.2861827	0.5573098	0.2740957	0.0984993	0.3277819	0.2841562	0.2438363	0.3283188	0.0101412	0.2594970	0.0927600	0.3135008	0.4196597	0.5702136	0.4911746	0.1810465	0.5697886	0.3147666	0.5028642	0.2819457	0.2852240	0.2179758	0.2161134	0.5190447	0.0701233	0.1793330	0.4736393	0.0555411	0.3573100	0.2434768	0.6427666	0.2074753	0.3322774	0.0075689	0.2548623	0.6266475	0.6830608	0.2698091	0.2178270	0.3341835	0.0965612	0.6698470	0.6467963	0.7539983	0.7180888	0.3192885	0.6219044	0.6445424	0.1214313	0.8538574	0.5730439
100	0.0242167	0.0171022	0.0091250	0.1184590	0.3683660	0.7476774	0.1335886	0.0855531	0.3993499	0.1412448	0.4343640	0.2171324	0.1864686	0.0672743	0.6232677	0.6543574	0.1406145	0.6314049	0.5479942	0.6906953	0.1170641	0.3708202	0.1097855	0.2944423	0.5582285	0.1470625	0.3287297	0.3015550	0.5378776	0.4942270	0.2378644	0.5849295	0.3432820	0.5643092	0.3136608	0.2252059	0.4201508	0.6361488	0.4418718	0.3884509	0.1096686	0.5430080	0.3950185	0.5807353	0.4519876	0.0487137	0.4140746	0.0367108	0.6256937	0.2405892	0.7019824	0.0429034	0.0817321	0.4357622	0.2824224	0.1958327	0.1088754	0.0012719	0.1821399	0.1103897	0.2618023	0.4919076	0.2160080	0.6741861	0.0040237	0.1371923	0.3675130	0.6222552	0.5314026	0.1509890	0.5145754	0.3348759	0.5165591	0.0590265	0.1887354	0.4842277	0.0997481	0.3005084	0.1252646	0.6060370	0.1560029	0.6013594	0.0130400	0.0706697	0.5279089	0.3000420	0.2855817	0.6125959	0.4666495	0.0406582	0.6061810	0.1959122	0.4862986	0.7818844	0.5532290	0.4844471	0.7470108	0.0569535	0.7450504	0.6667948
200	0.0257457	0.0340947	0.0034964	0.3346009	0.3662366	0.6042456	0.0317466	0.1849909	0.3261892	0.1349214	0.3895744	0.1395750	0.0290622	0.0208631	0.5923723	0.6804624	0.2689141	0.7269628	0.5697021	0.6259421	0.6507409	0.4613391	0.1049243	0.4108641	0.4825706	0.1520099	0.1841677	0.3001779	0.6215641	0.4394747	0.2208165	0.5576975	0.3845363	0.5056184	0.2243415	0.2370613	0.2809138	0.7799100	0.2984786	0.5017134	0.2005114	0.4590131	0.4634019	0.6261860	0.4542500	0.0467890	0.4367897	0.0300081	0.6922958	0.2534712	0.6555829	0.0055831	0.0794514	0.5815903	0.2457028	0.2709383	0.0853379	0.0236757	0.2240361	0.1848360	0.2573550	0.5318605	0.1175364	0.6209919	0.0028616	0.0663029	0.3778871	0.6320806	0.6537161	0.1447677	0.5639545	0.2109686	0.5990143	0.1379879	0.2118638	0.4663721	0.0535017	0.4323479	0.1634708	0.6271311	0.1674498	0.5593651	0.0143175	0.0108582	0.6656991	0.2871936	0.3026402	0.6097425	0.4754875	0.0474696	0.6457449	0.2092802	0.5391528	0.6966765	0.5225063	0.4045233	0.7490940	0.1001239	0.5861362	0.5669290
300	0.0426316	0.0201274	0.0000835	0.2970947	0.3162153	0.6389121	0.0219228	0.2046509	0.3384169	0.1992250	0.4210914	0.0951626	0.0230738	0.0256220	0.5310157	0.2119856	0.4614573	0.5703448	0.5788599	0.6095393	0.5796248	0.4372018	0.1835453	0.3820661	0.4946352	0.1143490	0.2916742	0.3280896	0.5989941	0.4350349	0.2591027	0.7534102	0.3849268	0.5197414	0.1971899	0.3532219	0.1771891	0.6352831	0.2736400	0.4249298	0.2079749	0.5341919	0.4106326	0.5499544	0.5371353	0.0675761	0.5859385	0.0259254	0.6681943	0.2977933	0.5731767	0.0065872	0.0983808	0.4789688	0.2993094	0.1923421	0.0837393	0.0165438	0.2169937	0.1819732	0.3248247	0.5793959	0.1712190	0.7045310	0.0013847	0.0687774	0.2446744	0.4535063	0.5458246	0.1462697	0.5670819	0.2348624	0.5017776	0.1361810	0.1347720	0.5042113	0.0787415	0.2586407	0.1519074	0.6603657	0.1291952	0.4863013	0.0262136	0.0139686	0.6733850	0.2362497	0.3299206	0.5603028	0.6276710	0.0769227	0.6401531	0.1974574	0.6380002	0.5326000	0.5994441	0.3794786	0.5503900	0.0666084	0.6872213	0.5765756
400	0.0248371	0.0130460	0.0002001	0.3208643	0.2888004	0.7344547	0.0062479	0.1702991	0.3696295	0.1840899	0.4086382	0.1734336	0.0152646	0.0073780	0.7510700	0.0597829	0.5747653	0.5959081	0.5659665	0.5025032	0.6733069	0.4199212	0.1562253	0.3916282	0.4682525	0.1585424	0.3130515	0.2356098	0.7766313	0.4363075	0.2696588	0.5547465	0.5256791	0.5946232	0.2326246	0.3393179	0.1695377	0.6574551	0.2078327	0.3784823	0.2365364	0.5691093	0.3827191	0.6762828	0.5026995	0.0344700	0.4518366	0.0281078	0.6138402	0.3448622	0.5737134	0.0036453	0.0663524	0.5557523	0.2917521	0.2696098	0.0735298	0.0125101	0.2506599	0.2023053	0.3457587	0.5862346	0.1834497	0.6055200	0.0003391	0.0429346	0.3086052	0.4425539	0.5731560	0.1452681	0.5319195	0.1923839	0.5415185	0.2407720	0.1639607	0.4278733	0.0715019	0.3581164	0.1683150	0.6174555	0.1752665	0.5035970	0.0245032	0.0101009	0.5824389	0.3215233	0.3173088	0.5328679	0.5853480	0.0399588	0.6538538	0.2088156	0.5353911	0.7120868	0.5409676	0.4287850	0.6245373	0.0797143	0.5297758	0.6439258
500	0.0264676	0.0240375	0.0003611	0.3008122	0.3620289	0.6688389	0.0163887	0.2083750	0.3309621	0.1441560	0.4393163	0.1488720	0.0036918	0.0160364	0.5717839	0.0510802	0.7336730	0.7494551	0.4369242	0.5585576	0.6639339	0.3994894	0.1690634	0.4295385	0.4941287	0.1470156	0.2511878	0.3141313	0.6062193	0.4413981	0.2378722	0.6447859	0.4362442	0.5585554	0.2218953	0.3682731	0.2465397	0.6344827	0.1824991	0.3354827	0.2197163	0.4119086	0.3899277	0.4534330	0.4964085	0.0356982	0.3470456	0.0189117	0.6183070	0.2229679	0.6119463	0.0050802	0.1293692	0.4988543	0.3242440	0.2275918	0.1230018	0.0178937	0.1690511	0.1268304	0.2907755	0.6075600	0.0979748	0.5398924	0.0014191	0.0427760	0.3232293	0.5632126	0.5378615	0.1510902	0.4820561	0.1890874	0.5004169	0.1648373	0.1513354	0.5582787	0.1039405	0.3434977	0.1763031	0.5947178	0.1850161	0.5626525	0.0085316	0.0128665	0.6191092	0.2099645	0.4369339	0.5655373	0.6202922	0.0773408	0.6625636	0.1853402	0.5864866	0.5815012	0.5543305	0.3710733	0.6501761	0.0904389	0.5585614	0.6404282
600	0.5289055	0.0942945	0.0783356	0.0637957	0.1658887	0.5133590	0.1144923	0.0590578	0.3689626	0.2200459	0.4926840	0.6188295	0.1131234	0.0218696	0.6042526	0.0403776	0.6332713	0.6020671	0.0092854	0.6971774	0.5822598	0.3876300	0.2869348	0.4220120	0.2346808	0.1449895	0.2612008	0.2828235	0.5606244	0.4556297	0.3922975	0.6526574	0.4799574	0.4255914	0.6646509	0.3056703	0.4477923	0.4949717	0.2711482	0.1837574	0.2387224	0.5385721	0.4770232	0.4600458	0.4999364	0.0692669	0.4396165	0.0273300	0.6817253	0.3769047	0.5762629	0.2304012	0.1164793	0.4080874	0.3742084	0.2785550	0.4500226	0.0166274	0.1344594	0.0878228	0.3103999	0.5730382	0.5712155	0.4992206	0.2009401	0.5410346	0.2953226	0.4923056	0.5249138	0.4572577	0.3545206	0.2469947	0.6603739	0.1242124	0.1969379	0.6184486	0.0552156	0.3116841	0.2404311	0.6002220	0.1655016	0.3296504	0.0088365	0.0110872	0.6829866	0.6693037	0.3244890	0.2147889	0.5238853	0.1062160	0.6961198	0.5453002	0.5263401	0.7286829	0.3622655	0.7003479	0.6057855	0.0465352	0.6476667	0.5839262
700	0.3109295	0.0900262	0.1289276	0.0225356	0.2034362	0.4339705	0.3925673	0.0397321	0.2444884	0.2063261	0.5521652	0.5194341	0.2915288	0.1326187	0.3419574	0.5882044	0.2550867	0.6698360	0.1331302	0.5858172	0.1820130	0.3849831	0.2704010	0.3598295	0.2792170	0.2399959	0.2817722	0.2510784	0.3786141	0.3153223	0.2410345	0.6159303	0.3952883	0.5499359	0.5627101	0.2771687	0.4583313	0.6527675	0.3844395	0.3767179	0.2253751	0.4756515	0.3570427	0.5880015	0.4558094	0.1260293	0.3351189	0.0582795	0.5212201	0.3436406	0.5495654	0.2576490	0.1709817	0.2712055	0.3948870	0.3138502	0.5090894	0.0104914	0.1315956	0.0538361	0.3490274	0.6314056	0.5522758	0.4500703	0.1941193	0.5833332	0.2440939	0.5359410	0.3985600	0.3179865	0.2252869	0.1641764	0.5930564	0.0733051	0.1937097	0.5045877	0.0731221	0.2823620	0.2254941	0.6172371	0.1797980	0.2978983	0.0092988	0.1918951	0.6615854	0.6766528	0.3453313	0.1496316	0.4815134	0.0245921	0.6225661	0.7339009	0.4607970	0.5559142	0.2289478	0.6405242	0.5964833	0.0953177	0.7966167	0.6454564
800	0.4209734	0.1316974	0.0346012	0.0162784	0.2750329	0.4552609	0.3154250	0.0432090	0.3334305	0.1877102	0.3921535	0.6202013	0.3515134	0.1361661	0.3362329	0.7358359	0.1013835	0.6697829	0.3957034	0.6957709	0.0958289	0.3668542	0.2185601	0.3906082	0.3415032	0.1460996	0.4571513	0.2313672	0.3407938	0.4067701	0.3711842	0.5419154	0.4158495	0.6055351	0.6614299	0.3330393	0.3824611	0.6147060	0.2707298	0.3209263	0.1753619	0.4916937	0.4322278	0.4794652	0.4821513	0.1312141	0.2208329	0.0992164	0.5555591	0.4012863	0.6014190	0.2231888	0.0739264	0.2927308	0.2061526	0.2731171	0.3071102	0.0124696	0.2426415	0.0709066	0.2888959	0.6473914	0.5572268	0.4951409	0.1639031	0.5804918	0.2644219	0.4537122	0.3329434	0.2691132	0.3267862	0.2340084	0.4919314	0.0942209	0.1367629	0.5558341	0.0684226	0.2427711	0.1936613	0.6646057	0.1522118	0.2556013	0.0192247	0.3548468	0.6839912	0.6931749	0.3045280	0.1379533	0.4287178	0.1161598	0.5446269	0.6654057	0.5605324	0.5808548	0.2780361	0.5841398	0.6574794	0.1023102	0.7107505	0.6353990
