Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.015309	0.436006	0.019564
G2	+	G1	0.012726	0.450011	0.016785
G3	+	G1	0.054028	0.660567	0.104607
G4	+	G1	0.070112	0.857803	0.176280
G5	+	G1	0.058345	0.591808	0.101206
G6	+	G1	0.047376	0.554854	0.077048
G7	+	G1	0.003299	0.499634	0.004832
G8	-	G1	-0.019158	0.453557	-0.025469
G9	+	G1	0.007209	0.500536	0.010576
G10	+	G1	0.036997	0.481578	0.052222
G11	+	G1	0.033978	0.412008	0.041032
G12	+	G1	0.013462	0.389854	0.015383
G13	+	G1	0.005537	0.437174	0.007095
G14	-	G1	-0.021793	0.410101	-0.026196
G15	+	G1	0.003334	0.491757	0.004805
G16	+	G1	0.021821	0.487846	0.031202
G17	+	G1	0.070052	0.797815	0.163812
G18	+	G1	0.000589	0.398080	0.000687
G19	+	G1	0.003407	0.375399	0.003749
G20	+	G1	0.044561	0.569625	0.074399
G21	-	G1	-0.001211	0.443571	-0.001575
G22	+	G1	0.052270	0.689954	0.105705
G23	-	G1	-0.014479	0.416360	-0.017669
G24	+	G1	0.014419	0.456572	0.019296
G25	+	G1	0.092996	0.945537	0.257730
G26	+	G1	0.040410	0.625174	0.074049
G27	+	G1	0.030964	0.452820	0.041096
G28	+	G1	0.010537	0.492971	0.015225
G29	+	G1	0.034054	0.551353	0.055033
G30	+	G1	0.008898	0.416983	0.010875
G31	-	G1	-0.003877	0.437314	-0.004970
G32	-	G1	-0.001007	0.499061	-0.001473
G33	+	G1	0.008983	0.424856	0.011187
G34	+	G1	0.035823	0.497474	0.052234
G35	+	G1	0.038110	0.517363	0.057791
G36	+	G1	0.054944	0.672916	0.108369
G37	-	G1	-0.009120	0.471152	-0.012594
G38	+	G1	0.032717	0.556279	0.053345
G39	+	G1	0.017238	0.470587	0.023777
G40	+	G1	0.026861	0.464831	0.036596
G41	-	G1	-0.025808	0.470095	-0.035561
G42	-	G1	-0.005152	0.495560	-0.007483
G43	+	G1	0.006863	0.433094	0.008713
G44	+	G1	0.040978	0.577043	0.069307
G45	-	G1	-0.003562	0.375498	-0.003920
G46	+	G1	0.004357	0.379932	0.004852
G47	+	G1	0.050609	0.691057	0.102510
G48	-	G1	-0.034973	0.456181	-0.046762
G49	-	G1	-0.042663	0.485913	-0.060762
G50	-	G1	-0.010257	0.367842	-0.011058
G51	+	G1	0.087605	0.930870	0.239024
G52	+	G1	0.033962	0.567406	0.056482
G53	+	G1	0.018306	0.483118	0.025922
G54	-	G1	-0.025129	0.375247	-0.027638
G55	+	G1	0.024008	0.463221	0.032596
G56	+	G1	0.056597	0.756477	0.125491
G57	-	G1	-0.028522	0.484467	-0.040502
G58	+	G1	0.044374	0.522521	0.067960
G59	+	G1	0.024250	0.446255	0.031719
G60	+	G1	0.020122	0.402719	0.023752
G61	+	G1	0.046201	0.594061	0.080447
G62	-	G1	-0.012512	0.461335	-0.016919
G63	+	G1	0.002354	0.497903	0.003436
G64	-	G1	-0.006861	0.452255	-0.009095
G65	-	G1	-0.016050	0.373074	-0.017551
G66	+	G1	0.037873	0.579175	0.064293
G67	+	G1	0.009034	0.480611	0.012726
G68	+	G1	0.004095	0.499352	0.005994
G69	+	G1	0.019171	0.480639	0.027007
G70	+	G1	0.079692	0.782328	0.182737
G71	+	G1	0.148667	0.999669	0.435607
G72	+	G1	0.011446	0.481205	0.016144
G73	+	G1	0.032866	0.539690	0.051990
G74	-	G1	-0.027885	0.449175	-0.036713
G75	-	G1	-0.000455	0.496043	-0.000662
G76	+	G1	0.033924	0.512650	0.050974
G77	-	G1	-0.004607	0.386863	-0.005224
G78	+	G1	0.043044	0.632535	0.079804
G79	+	G1	0.058619	0.684285	0.117570
G80	-	G1	-0.006599	0.394654	-0.007633
G81	-	G1	-0.003708	0.479936	-0.005216
G82	-	G1	-0.021750	0.392332	-0.025011
G83	+	G1	0.045681	0.631697	0.084580
G84	+	G1	0.028810	0.435704	0.036793
G85	+	G1	0.017118	0.470081	0.023586
G86	+	G1	0.007021	0.420584	0.008655
G87	+	G1	0.091305	0.940680	0.251746
G88	+	G1	0.025353	0.509676	0.037875
G89	+	G1	0.030546	0.549692	0.049216
G90	-	G1	-0.000863	0.496686	-0.001256
G91	-	G1	-0.007345	0.495076	-0.010659
G92	-	G1	-0.000579	0.492696	-0.000836
G93	-	G1	-0.003715	0.437391	-0.004763
G94	+	G1	0.012892	0.486863	0.018398
G95	+	G1	0.019194	0.387913	0.021823
G96	+	G1	0.055290	0.676661	0.109659
G97	-	G1	-0.001147	0.375261	-0.001261
G98	-	G1	-0.008401	0.389515	-0.009592
G99	+	G1	0.016019	0.431473	0.020259
G100	+	G1	0.003587	0.499761	0.005255
G1	-	G2	-0.002663	0.412550	-0.003220
G2	+	G2	0.017898	0.476437	0.024994
G3	+	G2	0.035473	0.561539	0.058385
G4	+	G2	0.057626	0.796190	0.134480
G5	+	G2	0.022093	0.429047	0.027783
G6	+	G2	0.031902	0.491256	0.045935
G7	-	G2	-0.001810	0.499420	-0.002650
G8	-	G2	-0.004366	0.433952	-0.005553
G9	-	G2	-0.002295	0.499156	-0.003357
G10	+	G2	0.054760	0.638996	0.102561
G11	+	G2	0.010780	0.353354	0.011165
G12	+	G2	0.075629	0.672819	0.149145
G13	+	G2	0.019618	0.489661	0.028156
G14	+	G2	0.002122	0.368854	0.002295
G15	-	G2	-0.005463	0.492405	-0.007885
G16	-	G2	-0.009218	0.474022	-0.012808
G17	+	G2	0.012494	0.404008	0.014795
G18	+	G2	0.023553	0.470722	0.032496
G19	+	G2	0.026736	0.465841	0.036506
G20	+	G2	0.009740	0.366427	0.010461
G21	+	G2	0.003709	0.442316	0.004808
G22	+	G2	0.042838	0.637818	0.080085
G23	+	G2	0.011740	0.412354	0.014190
G24	+	G2	0.013219	0.454626	0.017614
G25	+	G2	0.037291	0.580094	0.063405
G26	+	G2	0.033711	0.589439	0.058241
G27	+	G2	0.050000	0.640273	0.093833
G28	+	G2	0.010506	0.493994	0.015212
G29	+	G2	0.053063	0.736037	0.114475
G30	+	G2	0.012387	0.421195	0.015293
G31	+	G2	0.020354	0.490693	0.029274
G32	+	G2	0.001671	0.499120	0.002445
G33	+	G2	0.010928	0.432047	0.013838
G34	+	G2	0.016622	0.441127	0.021492
G35	-	G2	-0.018729	0.433756	-0.023812
G36	+	G2	0.016671	0.439169	0.021459
G37	-	G2	-0.005798	0.468377	-0.007959
G38	+	G2	0.075834	0.910998	0.202490
G39	+	G2	0.058869	0.797776	0.137654
G40	+	G2	0.084298	0.936218	0.231323
G41	+	G2	0.004970	0.411246	0.005991
G42	+	G2	0.004289	0.495440	0.006228
G43	+	G2	0.022451	0.457832	0.030127
G44	+	G2	0.023026	0.463595	0.031288
G45	-	G2	-0.011350	0.390126	-0.012978
G46	-	G2	-0.004720	0.375611	-0.005196
G47	+	G2	0.026526	0.513382	0.039915
G48	-	G2	-0.006481	0.378084	-0.007182
G49	-	G2	-0.015460	0.374995	-0.016992
G50	+	G2	0.013395	0.372441	0.014622
G51	+	G2	0.062952	0.825450	0.152310
G52	+	G2	0.054067	0.762530	0.120841
G53	+	G2	0.057872	0.804799	0.136514
G54	+	G2	0.041111	0.473348	0.057038
G55	+	G2	0.012791	0.412104	0.015450
G56	+	G2	0.034640	0.593011	0.060209
G57	+	G2	0.014309	0.453963	0.019039
G58	+	G2	0.012402	0.428967	0.015593
G59	+	G2	0.034266	0.512781	0.051501
G60	-	G2	-0.001889	0.356024	-0.001971
G61	+	G2	0.032216	0.531797	0.050215
G62	-	G2	-0.002855	0.451068	-0.003774
G63	-	G2	-0.010555	0.501616	-0.015519
