edge_name,op,inf,grnboost,genie3,grisli,grnvbem,leap,pidc,ppcor,scode,scribe,sincerities,singe,ss_cor,edge_exist
G33_G33,0.121734255029025,0.0,0.0,0.0,4404.0,0.503362,0.0,0.0,1.0,0.0181894970913131,0.0,0.0,0.0,0.9999999999999993,0
G33_G23,0.0064431587495393,0.0,2.073850275957977,0.0069146947703769,2032.0,0.37659,0.158661975616032,1.18580913937639,0.0,0.0788679512588669,0.0481698911379941,0.0,0.0,0.003453885335885845,0
G33_G69,0.0115467683910315,0.0,5.718136429781707,0.011806930599464,9680.0,0.402852,0.138702392539029,1.1075310408346557,0.0,0.403698919845341,0.005864559301671,0.0,0.0,0.0029810552269283032,0
G33_G58,0.0051661612412563,0.0,2.274793741987728,0.0062212448329646,9617.0,0.404135,0.173235689064625,1.4961391491461211,0.0,0.240212118453565,0.0634219682188576,0.0,0.0,0.008529457784136203,1
G33_G93,0.0057350860583181,0.0,0.7569928802327353,0.0104259014932543,203.0,0.380256,0.112458321102122,1.4833994599757974,0.0,0.0020454981602889,0.0281244492795076,0.0,0.0,0.03092771914100799,0
G33_G67,0.0037034090046603,0.0,0.9912542921195754,0.0066646874665797,2508.0,0.399547,0.149795111597556,0.3927960475328388,0.0,0.0094218977700104,0.0307830903003727,0.0,0.0,0.382008348745333,0
G33_G61,0.0061762068758858,0.0,0.7035977199907093,0.0040046611155072,904.0,0.380539,0.223469691775031,0.8452956332236737,0.0,0.0643063884571657,0.0731601580790294,0.0,0.0,0.02289852397091956,0
G33_G76,0.0021381144192435,0.0,0.6133697883584883,0.0031941334373563,8510.0,0.444964,0.214405105984216,0.5488896718285068,0.0,0.163108066562934,0.136095122695802,0.0,0.0,0.24285113565296632,0
G33_G22,0.0029908257476294,0.0,0.1255721510873559,0.0022644314984677,4492.0,0.383007,0.268650644721784,0.8421206221479768,0.0,0.0238428703058503,0.06968165514384,0.0,0.0,0.000460436379373861,0
G33_G49,0.010335163977382,0.0,0.0090008569833238,0.006088921181662,3097.0,0.404293,0.112113308185494,0.2513809900315381,0.0,0.0085595594440064,0.0277220556458861,0.0,0.0,0.03151264079575374,0
G33_G78,0.0036224087165477,0.0,0.5397352554258849,0.0052913337632125,5014.0,0.382756,0.136276620152947,0.3295554885780322,0.0,0.125507312454683,0.0369708853415402,0.0,0.0,0.03321146412180787,0
G33_G95,0.0067558024290346,0.0,0.9171428049607224,0.0064558006245744,6767.0,0.387857,0.157439493420732,1.1826812260582202,0.0,0.151514109027785,0.0749589916342785,0.0,0.0,0.0026596144965023057,0
G33_G29,0.0788721481397886,0.0,20.750502287572413,0.0635668538866492,7881.0,0.42859,0.56422828488655,1.8583119029668136,0.0,0.0704186540240881,0.0853141665858629,0.010476689964567,0.0,0.4689792725015134,1
G33_G87,0.0343879906912864,0.0,9.351758018241805,0.0334374426876299,3999.0,0.503247,0.254222777531758,1.7267044140173289,0.0,0.0397448807150234,0.0213637036289805,0.0,0.0,0.005763625192027837,0
G33_G7,0.0045479481326213,0.0,0.6396009365181973,0.0031720144177936,8224.0,0.479072,0.155668733108877,0.5054856843506915,0.0,0.268986298451291,0.0440205013144685,0.0,0.0,0.016123587437873982,0
G33_G64,0.0204019259655021,0.0,2.333873740223761,0.0151526453304352,866.0,0.413873,0.218617074784678,1.844818283518216,0.0,0.0221937272432363,0.0482853812462535,0.0,0.0,0.052896720856318774,0
G33_G81,0.0249610735574871,0.0,10.7755330558213,0.041508675726685,517.0,0.373857,0.507116354912158,1.892892365596592,0.0,0.0055167268178388,0.0319004379345951,0.0,0.0,0.047815985406589996,0
G33_G17,0.0137655269376031,0.0,0.3809217003235091,0.009763551756807,7481.0,0.427145,0.214036913906904,0.2708579576949613,0.0,0.12487716007368,0.0589037531224399,0.030395631724522,0.0,0.04213119010815891,0
G33_G98,0.0071641547262256,0.0,0.0564033220250684,0.0099712139408143,4849.0,0.392857,0.163145162415548,1.0090259180438363,0.0,0.0354250059636697,0.0108970258768673,0.0,0.0,0.04607422744119432,0
