Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G51	G51	1	0
G52	G52	1	0
G53	G53	1	0
G54	G54	1	0
G55	G55	1	0
G56	G56	1	0
G57	G57	1	0
G58	G58	1	0
G59	G59	1	0
G60	G60	1	0
G61	G61	1	0
G62	G62	1	0
G63	G63	1	0
G64	G64	1	0
G65	G65	1	0
G66	G66	1	0
G67	G67	1	0
G68	G68	1	0
G69	G69	1	0
G70	G70	1	0
G71	G71	1	0
G72	G72	1	0
G73	G73	1	0
G74	G74	1	0
G75	G75	1	0
G76	G76	1	0
G77	G77	1	0
G78	G78	1	0
G79	G79	1	0
G80	G80	1	0
G81	G81	1	0
G82	G82	1	0
G83	G83	1	0
G84	G84	1	0
G85	G85	1	0
G86	G86	1	0
G87	G87	1	0
G88	G88	1	0
G89	G89	1	0
G90	G90	1	0
G91	G91	1	0
G92	G92	1	0
G93	G93	1	0
G94	G94	1	0
G95	G95	1	0
G96	G96	1	0
G97	G97	1	0
G98	G98	1	0
G99	G99	1	0
G100	G100	1	0
G95	G67	0.792962279162195	0.00209145816045643
G67	G95	0.792962279162189	0.00209145816045674
G37	G74	0.758552177879327	0.00423756988111165
G74	G37	0.758552177879322	0.00423756988111201
G95	G62	0.754937138603867	0.00453427762531759
G62	G95	0.754937138603861	0.00453427762531806
G34	G67	0.740771572069544	0.00585070558853328
G67	G34	0.740771572069542	0.00585070558853344
G15	G67	0.731005947913176	0.00691293652584721
G67	G15	0.731005947913173	0.0069129365258476
G93	G95	0.727875327040705	0.00728227250962257
G95	G93	0.727875327040704	0.00728227250962263
G93	G15	0.72400855456753	0.00775864892928079
G15	G93	0.724008554567529	0.00775864892928092
G34	G92	0.72307519857384	0.00787704960127846
G92	G34	0.72307519857384	0.00787704960127851
G18	G83	0.722775091157556	0.00791540544677426
G83	G18	0.722775091157555	0.00791540544677439
G50	G62	0.71259329847779	0.00930153915487631
G62	G50	0.712593298477784	0.00930153915487728
G68	G18	0.711300920704219	0.00948961928649775
G18	G68	0.711300920704213	0.00948961928649868
G59	G24	0.707360439335928	0.0100806008813384
G24	G59	0.707360439335921	0.0100806008813394
G39	G24	0.705549514642329	0.0103611984578925
G24	G39	0.705549514642329	0.0103611984578925
G62	G1	0.699522738151056	0.0113369927065691
G1	G62	0.699522738151052	0.0113369927065697
G24	G82	0.69810179500662	0.0115766610417125
G82	G24	0.698101795006619	0.0115766610417126
G74	G83	0.696869817792727	0.0117874815685591
G83	G74	0.696869817792723	0.0117874815685598
G20	G37	0.693996024002519	0.0122903115466822
G37	G20	0.693996024002515	0.012290311546683
G37	G18	0.692222976385905	0.0126083641321747
G18	G37	0.692222976385901	0.0126083641321755
G57	G74	0.691383465928607	0.012761064241403
G74	G57	0.6913834659286	0.0127610642414042
G95	G29	0.690021294551402	0.0130117384198393
G29	G95	0.690021294551391	0.0130117384198414
G2	G16	0.678527046201576	0.0152744373979498
G16	G2	0.678527046201573	0.0152744373979505
G50	G18	0.677860397426707	0.0154139921333438
G18	G50	0.677860397426702	0.0154139921333449
G24	G20	0.675698968278355	0.015872920907762
G20	G24	0.675698968278354	0.0158729209077623
G60	G82	0.673601487312929	0.0163278060814532
G82	G60	0.673601487312927	0.0163278060814537
G82	G77	0.6714446697264	0.0168054784670829
G77	G82	0.671444669726395	0.0168054784670841
G99	G97	0.671050971067906	0.0168937666661655
G97	G99	0.6710509710679	0.0168937666661667
G68	G74	0.666324434679494	0.0179804840417042
G74	G68	0.666324434679488	0.0179804840417057
G75	G96	0.665141951840015	0.0182601834670901
G96	G75	0.665141951840014	0.0182601834670903
G62	G83	0.663076866797379	0.0187562746484053
